,#,Title,Acceptance,Difficulty,Frequency
0,39,Combination Sum,62.5%,Medium,11.3739
1,166,Fraction to Recurring Decimal,23.0%,Medium,53.9585
2,251,Flatten 2D Vector,47.2%,Medium,100
3,269,Alien Dictionary,34.3%,Hard,16.9776
4,295,Find Median from Data Stream,49.5%,Hard,0.357314
5,322,Coin Change,39.0%,Medium,0.140993
6,336,Palindrome Pairs,36.2%,Hard,85.9536
7,341,Flatten Nested List Iterator,57.5%,Medium,3.36997
8,588,Design In-Memory File System,47.4%,Hard,4.294
9,591,Tag Validator,35.8%,Hard,20.3198
10,751,IP to CIDR,56.0%,Medium,59.1106
11,755,Pour Water,44.9%,Medium,75.6256
12,759,Employee Free Time,70.2%,Hard,4.24161
13,773,Sliding Puzzle,62.5%,Hard,24.0444
14,787,Cheapest Flights Within K Stops,36.8%,Medium,5.78183
15,864,Shortest Path to Get All Keys,43.4%,Hard,20.706
16,875,Koko Eating Bananas,54.2%,Medium,12.767
17,1058,Minimize Rounding Error to Meet Target,44.0%,Medium,19.875
18,1257,Smallest Common Region,61.9%,Medium,40.5595
19,1235,Maximum Profit in Job Scheduling,50.2%,Hard,7.38198
20,1283,Find the Smallest Divisor Given a Threshold,52.0%,Medium,2.11703
21,1387,Sort Integers by The Power Value,70.3%,Medium,2.94091
