,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,42.1708
1,2,Add Two Numbers,37.2%,Medium,13.2425
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,13.2272
3,4,Median of Two Sorted Arrays,32.9%,Hard,20.659
4,5,Longest Palindromic Substring,31.4%,Medium,15.0846
5,6,Zigzag Conversion,40.0%,Medium,3.72626
6,7,Reverse Integer,26.2%,Medium,4.50586
7,8,String to Integer (atoi),16.1%,Medium,4.11906
8,9,Palindrome Number,51.6%,Easy,0.116476
9,10,Regular Expression Matching,28.0%,Hard,8.43706
10,11,Container With Most Water,53.2%,Medium,8.66635
11,12,Integer to Roman,58.4%,Medium,27.0068
12,13,Roman to Integer,57.7%,Easy,6.10881
13,14,Longest Common Prefix,38.1%,Easy,4.92126
14,15,3Sum,29.8%,Medium,8.63506
15,16,3Sum Closest,46.9%,Medium,7.75607
16,17,Letter Combinations of a Phone Number,51.9%,Medium,23.5305
17,18,4Sum,36.7%,Medium,16.2701
18,19,Remove Nth Node From End of List,37.1%,Medium,3.59463
19,20,Valid Parentheses,40.5%,Easy,15.0766
20,21,Merge Two Sorted Lists,58.3%,Easy,29.7504
21,22,Generate Parentheses,68.3%,Medium,6.43671
22,23,Merge k Sorted Lists,45.0%,Hard,46.1872
23,24,Swap Nodes in Pairs,55.9%,Medium,2.46209
24,25,Reverse Nodes in k-Group,48.7%,Hard,17.1213
25,26,Remove Duplicates from Sorted Array,47.7%,Easy,0.670748
26,27,Remove Element,50.4%,Easy,0.124519
27,28,Implement strStr(),35.7%,Easy,1.30283
28,29,Divide Two Integers,17.0%,Medium,0.752446
29,30,Substring with Concatenation of All Words,27.3%,Hard,1.06597
30,31,Next Permutation,34.7%,Medium,7.05796
31,32,Longest Valid Parentheses,30.7%,Hard,5.52656
32,33,Search in Rotated Sorted Array,37.0%,Medium,16.1048
33,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,1.08155
34,35,Search Insert Position,42.5%,Easy,0.191276
35,36,Valid Sudoku,53.4%,Medium,6.87986
36,37,Sudoku Solver,51.5%,Hard,5.83673
37,38,Count and Say,47.6%,Medium,1.64924
38,39,Combination Sum,62.5%,Medium,1.53672
39,40,Combination Sum II,51.5%,Medium,0.908802
40,41,First Missing Positive,35.2%,Hard,11.9685
41,42,Trapping Rain Water,54.2%,Hard,47.2058
42,43,Multiply Strings,36.2%,Medium,0.909545
43,44,Wildcard Matching,26.1%,Hard,4.16677
44,45,Jump Game II,35.1%,Medium,13.364
45,46,Permutations,69.9%,Medium,3.541
46,47,Permutations II,52.1%,Medium,0.579311
47,48,Rotate Image,64.0%,Medium,8.50922
48,49,Group Anagrams,62.3%,Medium,24.9786
49,50,"Pow(x, n)",31.6%,Medium,2.87311
50,51,N-Queens,54.6%,Hard,5.40639
51,53,Maximum Subarray,48.9%,Easy,9.44114
52,54,Spiral Matrix,39.3%,Medium,3.54739
53,55,Jump Game,36.8%,Medium,4.71106
54,56,Merge Intervals,43.2%,Medium,49.9236
55,57,Insert Interval,36.6%,Medium,4.48115
56,59,Spiral Matrix II,60.4%,Medium,0.576794
57,60,Permutation Sequence,40.9%,Hard,0.608292
58,61,Rotate List,33.0%,Medium,3.50809
59,62,Unique Paths,58.1%,Medium,2.6708
60,63,Unique Paths II,36.6%,Medium,4.60901
61,64,Minimum Path Sum,58.1%,Medium,2.00831
62,66,Plus One,42.1%,Easy,0.368085
63,67,Add Binary,48.9%,Easy,1.22041
64,68,Text Justification,32.9%,Hard,2.23189
65,69,Sqrt(x),36.0%,Easy,1.23685
66,70,Climbing Stairs,50.0%,Easy,2.79418
67,71,Simplify Path,36.4%,Medium,2.03834
68,72,Edit Distance,49.2%,Hard,8.85327
69,73,Set Matrix Zeroes,46.7%,Medium,2.57679
70,74,Search a 2D Matrix,40.7%,Medium,5.93399
71,75,Sort Colors,52.8%,Medium,1.50031
72,76,Minimum Window Substring,37.9%,Hard,12.1625
73,77,Combinations,61.1%,Medium,0.89317
74,78,Subsets,68.4%,Medium,2.48975
75,79,Word Search,38.9%,Medium,18.1089
76,81,Search in Rotated Sorted Array II,34.2%,Medium,3.64113
77,82,Remove Duplicates from Sorted List II,41.2%,Medium,5.25964
78,83,Remove Duplicates from Sorted List,47.8%,Easy,0.314877
79,84,Largest Rectangle in Histogram,39.0%,Hard,9.83708
80,85,Maximal Rectangle,40.9%,Hard,3.55923
81,86,Partition List,46.6%,Medium,1.55826
82,88,Merge Sorted Array,42.2%,Easy,2.15549
83,89,Gray Code,54.2%,Medium,1.97135
84,90,Subsets II,51.5%,Medium,1.08654
85,91,Decode Ways,28.9%,Medium,12.6275
86,92,Reverse Linked List II,42.5%,Medium,4.68873
87,93,Restore IP Addresses,39.9%,Medium,2.21517
88,94,Binary Tree Inorder Traversal,68.8%,Easy,0.103205
89,95,Unique Binary Search Trees II,47.3%,Medium,0.985081
90,96,Unique Binary Search Trees,56.4%,Medium,3.62616
91,97,Interleaving String,34.1%,Medium,3.3238
92,98,Validate Binary Search Tree,29.7%,Medium,10.761
93,99,Recover Binary Search Tree,44.8%,Medium,6.61078
94,100,Same Tree,54.9%,Easy,1.3772
95,101,Symmetric Tree,50.2%,Easy,4.15222
96,102,Binary Tree Level Order Traversal,59.2%,Medium,2.63691
97,103,Binary Tree Zigzag Level Order Traversal,52.1%,Medium,27.3305
98,104,Maximum Depth of Binary Tree,70.1%,Easy,0.102917
99,105,Construct Binary Tree from Preorder and Inorder Traversal,55.4%,Medium,12.3384
100,106,Construct Binary Tree from Inorder and Postorder Traversal,52.6%,Medium,0.305032
101,107,Binary Tree Level Order Traversal II,57.2%,Medium,0.310195
102,108,Convert Sorted Array to Binary Search Tree,64.1%,Easy,0.697593
