,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,0.547416
1,2,Add Two Numbers,37.2%,Medium,0.248223
2,15,3Sum,29.8%,Medium,0.854222
3,16,3Sum Closest,46.9%,Medium,1.09894
4,17,Letter Combinations of a Phone Number,51.9%,Medium,2.39051
5,20,Valid Parentheses,40.5%,Easy,1.55465
6,33,Search in Rotated Sorted Array,37.0%,Medium,0.884125
7,41,First Missing Positive,35.2%,Hard,2.44047
8,48,Rotate Image,64.0%,Medium,35.2862
9,49,Group Anagrams,62.3%,Medium,1.2428
10,50,"Pow(x, n)",31.6%,Medium,0.642764
11,53,Maximum Subarray,48.9%,Easy,2.40018
12,56,Merge Intervals,43.2%,Medium,3.18404
13,79,Word Search,38.9%,Medium,6.09567
14,91,Decode Ways,28.9%,Medium,69.7199
15,121,Best Time to Buy and Sell Stock,52.9%,Easy,0.224611
16,146,LRU Cache,38.3%,Medium,2.60785
17,151,Reverse Words in a String,26.8%,Medium,0.435436
18,165,Compare Version Numbers,31.9%,Medium,4.70297
19,191,Number of 1 Bits,57.0%,Easy,3.87367
20,198,House Robber,45.0%,Medium,7.14532
21,204,Count Primes,32.8%,Medium,1.73077
22,206,Reverse Linked List,68.3%,Easy,1.14586
23,212,Word Search II,38.4%,Hard,16.0313
24,215,Kth Largest Element in an Array,61.4%,Medium,0.56002
25,242,Valid Anagram,60.2%,Easy,1.14355
26,268,Missing Number,57.6%,Easy,1.58503
27,283,Move Zeroes,59.6%,Easy,0.804598
28,327,Count of Range Sum,36.0%,Hard,18.107
29,344,Reverse String,72.5%,Easy,0.357292
30,394,Decode String,54.6%,Medium,24.5938
31,402,Remove K Digits,28.9%,Medium,3.90389
32,412,Fizz Buzz,65.3%,Easy,1.42119
33,423,Reconstruct Original Digits from English,51.5%,Medium,26.6203
34,443,String Compression,46.2%,Medium,5.13534
35,468,Validate IP Address,25.8%,Medium,65.5662
36,526,Beautiful Arrangement,63.4%,Medium,9.62554
37,560,Subarray Sum Equals K,43.7%,Medium,0.56928
38,739,Daily Temperatures,66.1%,Medium,1.7888
39,809,Expressive Words,46.2%,Medium,100
40,881,Boats to Save People,49.6%,Medium,8.03096
41,977,Squares of a Sorted Array,71.5%,Easy,0.355431
42,1010,Pairs of Songs With Total Durations Divisible by 60,51.9%,Medium,3.15371
43,1197,Minimum Knight Moves,39.1%,Medium,4.43437
44,1235,Maximum Profit in Job Scheduling,50.2%,Hard,2.59897
45,1492,The kth Factor of n,62.4%,Medium,4.12866
