,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,1.22628
1,33,Search in Rotated Sorted Array,37.0%,Medium,2.44574
2,146,LRU Cache,38.3%,Medium,9.1408
3,151,Reverse Words in a String,26.8%,Medium,2.70786
4,300,Longest Increasing Subsequence,47.3%,Medium,17.7951
5,443,String Compression,46.2%,Medium,14.2654
6,526,Beautiful Arrangement,63.4%,Medium,73.1238
7,532,K-diff Pairs in an Array,36.9%,Medium,70.6983
8,1010,Pairs of Songs With Total Durations Divisible by 60,51.9%,Medium,43.8221
9,1046,Last Stone Weight,62.7%,Easy,28.2892
10,1290,Convert Binary Number in a Linked List to Integer,81.8%,Easy,42.5094
11,1529,Bulb Switcher IV,72.5%,Medium,100
