,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,2.38966
1,2,Add Two Numbers,37.2%,Medium,2.9779
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,4.38209
3,4,Median of Two Sorted Arrays,32.9%,Hard,4.36949
4,5,Longest Palindromic Substring,31.4%,Medium,0.984747
5,6,Zigzag Conversion,40.0%,Medium,0.276098
6,7,Reverse Integer,26.2%,Medium,0.827218
7,8,String to Integer (atoi),16.1%,Medium,22.6284
8,9,Palindrome Number,51.6%,Easy,0.109745
9,10,Regular Expression Matching,28.0%,Hard,15.5732
10,11,Container With Most Water,53.2%,Medium,0.782957
11,13,Roman to Integer,57.7%,Easy,0.363999
12,14,Longest Common Prefix,38.1%,Easy,4.2533
13,15,3Sum,29.8%,Medium,4.35138
14,16,3Sum Closest,46.9%,Medium,12.2415
15,17,Letter Combinations of a Phone Number,51.9%,Medium,2.17131
16,19,Remove Nth Node From End of List,37.1%,Medium,10.7346
17,20,Valid Parentheses,40.5%,Easy,4.09719
18,21,Merge Two Sorted Lists,58.3%,Easy,0.812739
19,22,Generate Parentheses,68.3%,Medium,5.52558
20,23,Merge k Sorted Lists,45.0%,Hard,27.9395
21,24,Swap Nodes in Pairs,55.9%,Medium,0.8564
22,25,Reverse Nodes in k-Group,48.7%,Hard,2.29674
23,26,Remove Duplicates from Sorted Array,47.7%,Easy,1.50651
24,28,Implement strStr(),35.7%,Easy,0.246579
25,29,Divide Two Integers,17.0%,Medium,36.3076
26,30,Substring with Concatenation of All Words,27.3%,Hard,0.450633
27,31,Next Permutation,34.7%,Medium,49.3093
28,32,Longest Valid Parentheses,30.7%,Hard,1.39091
29,33,Search in Rotated Sorted Array,37.0%,Medium,8.0306
30,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,21.6436
31,35,Search Insert Position,42.5%,Easy,0.180223
32,36,Valid Sudoku,53.4%,Medium,0.319744
33,37,Sudoku Solver,51.5%,Hard,0.240938
34,38,Count and Say,47.6%,Medium,2.09546
35,39,Combination Sum,62.5%,Medium,15.9474
36,40,Combination Sum II,51.5%,Medium,0.311147
37,41,First Missing Positive,35.2%,Hard,5.09824
38,42,Trapping Rain Water,54.2%,Hard,42.8641
39,43,Multiply Strings,36.2%,Medium,16.2698
40,44,Wildcard Matching,26.1%,Hard,3.05181
41,45,Jump Game II,35.1%,Medium,0.167783
42,46,Permutations,69.9%,Medium,3.33638
43,47,Permutations II,52.1%,Medium,0.308279
44,48,Rotate Image,64.0%,Medium,1.09469
45,49,Group Anagrams,62.3%,Medium,2.00837
46,50,"Pow(x, n)",31.6%,Medium,44.0089
47,51,N-Queens,54.6%,Hard,5.09396
48,53,Maximum Subarray,48.9%,Easy,0.25035
49,54,Spiral Matrix,39.3%,Medium,2.83342
50,55,Jump Game,36.8%,Medium,0.132809
51,56,Merge Intervals,43.2%,Medium,50.7174
52,57,Insert Interval,36.6%,Medium,0.59439
53,60,Permutation Sequence,40.9%,Hard,0.57314
54,62,Unique Paths,58.1%,Medium,2.93218
55,63,Unique Paths II,36.6%,Medium,0.951417
56,64,Minimum Path Sum,58.1%,Medium,0.121907
