,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,9.40611
1,2,Add Two Numbers,37.2%,Medium,3.95625
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,1.01717
3,4,Median of Two Sorted Arrays,32.9%,Hard,1.27814
4,5,Longest Palindromic Substring,31.4%,Medium,9.87005
5,12,Integer to Roman,58.4%,Medium,3.0559
6,13,Roman to Integer,57.7%,Easy,0.996585
7,14,Longest Common Prefix,38.1%,Easy,1.01658
8,16,3Sum Closest,46.9%,Medium,2.80892
9,17,Letter Combinations of a Phone Number,51.9%,Medium,18.551
10,20,Valid Parentheses,40.5%,Easy,5.71525
11,21,Merge Two Sorted Lists,58.3%,Easy,1.50053
12,23,Merge k Sorted Lists,45.0%,Hard,18.9703
13,27,Remove Element,50.4%,Easy,1.27922
14,31,Next Permutation,34.7%,Medium,3.72293
15,32,Longest Valid Parentheses,30.7%,Hard,3.86794
16,33,Search in Rotated Sorted Array,37.0%,Medium,15.9179
17,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,2.81788
18,36,Valid Sudoku,53.4%,Medium,17.5113
19,37,Sudoku Solver,51.5%,Hard,23.3319
20,39,Combination Sum,62.5%,Medium,4.02996
21,41,First Missing Positive,35.2%,Hard,11.0525
22,42,Trapping Rain Water,54.2%,Hard,1.37975
23,46,Permutations,69.9%,Medium,3.45514
24,48,Rotate Image,64.0%,Medium,1.70624
25,49,Group Anagrams,62.3%,Medium,5.63768
26,53,Maximum Subarray,48.9%,Easy,6.13493
27,54,Spiral Matrix,39.3%,Medium,14.9055
28,55,Jump Game,36.8%,Medium,3.25454
29,56,Merge Intervals,43.2%,Medium,11.0549
30,59,Spiral Matrix II,60.4%,Medium,13.3178
31,62,Unique Paths,58.1%,Medium,1.78631
32,65,Valid Number,17.3%,Hard,16.6372
33,68,Text Justification,32.9%,Hard,5.91158
34,73,Set Matrix Zeroes,46.7%,Medium,9.85627
35,75,Sort Colors,52.8%,Medium,1.88746
36,78,Subsets,68.4%,Medium,1.97566
37,79,Word Search,38.9%,Medium,8.80562
38,88,Merge Sorted Array,42.2%,Easy,2.05827
39,92,Reverse Linked List II,42.5%,Medium,10.4385
40,94,Binary Tree Inorder Traversal,68.8%,Easy,1.06006
41,97,Interleaving String,34.1%,Medium,8.94275
42,99,Recover Binary Search Tree,44.8%,Medium,41.3012
43,102,Binary Tree Level Order Traversal,59.2%,Medium,2.91152
44,103,Binary Tree Zigzag Level Order Traversal,52.1%,Medium,2.5208
45,109,Convert Sorted List to Binary Search Tree,53.9%,Medium,8.57501
46,112,Path Sum,44.1%,Easy,1.89574
47,121,Best Time to Buy and Sell Stock,52.9%,Easy,7.00151
48,124,Binary Tree Maximum Path Sum,36.8%,Hard,1.98588
49,127,Word Ladder,33.7%,Hard,7.38309
50,133,Clone Graph,43.4%,Medium,2.48145
51,138,Copy List with Random Pointer,44.5%,Medium,6.53047
52,139,Word Break,43.3%,Medium,1.49276
53,141,Linked List Cycle,44.3%,Easy,1.09283
54,142,Linked List Cycle II,41.9%,Medium,6.43186
55,146,LRU Cache,38.3%,Medium,75.7933
56,150,Evaluate Reverse Polish Notation,40.7%,Medium,48.7756
57,151,Reverse Words in a String,26.8%,Medium,9.95544
58,152,Maximum Product Subarray,33.6%,Medium,1.65807
59,153,Find Minimum in Rotated Sorted Array,47.4%,Medium,1.59493
60,155,Min Stack,48.8%,Easy,2.23396
61,158,Read N Characters Given read4 II - Call Multiple Times,39.6%,Hard,15.4391
62,160,Intersection of Two Linked Lists,47.5%,Easy,4.80052
63,167,Two Sum II - Input Array Is Sorted,57.3%,Easy,4.3441
64,172,Factorial Trailing Zeroes,39.9%,Medium,11.1112
65,173,Binary Search Tree Iterator,63.3%,Medium,15.1805
66,177,Nth Highest Salary,35.1%,Medium,6.07506
67,188,Best Time to Buy and Sell Stock IV,31.8%,Hard,8.78978
68,198,House Robber,45.0%,Medium,1.15516
69,199,Binary Tree Right Side View,58.2%,Medium,17.7806
70,200,Number of Islands,52.0%,Medium,87.3554
71,206,Reverse Linked List,68.3%,Easy,4.57111
72,207,Course Schedule,44.7%,Medium,7.29102
73,210,Course Schedule II,44.9%,Medium,9.26373
74,211,Design Add and Search Words Data Structure,42.5%,Medium,21.9986
75,212,Word Search II,38.4%,Hard,1.68466
76,227,Basic Calculator II,40.0%,Medium,7.21686
77,230,Kth Smallest Element in a BST,65.1%,Medium,6.12173
78,234,Palindrome Linked List,44.6%,Easy,4.25702
79,235,Lowest Common Ancestor of a Binary Search Tree,54.9%,Easy,2.54893
80,236,Lowest Common Ancestor of a Binary Tree,52.7%,Medium,3.58265
81,238,Product of Array Except Self,62.7%,Medium,2.99045
82,239,Sliding Window Maximum,45.7%,Hard,2.37968
83,242,Valid Anagram,60.2%,Easy,5.18818
84,253,Meeting Rooms II,48.4%,Medium,37.6723
85,268,Missing Number,57.6%,Easy,1.80343
86,272,Closest Binary Search Tree Value II,54.7%,Hard,51.5329
87,273,Integer to English Words,29.0%,Hard,7.00697
88,297,Serialize and Deserialize Binary Tree,52.1%,Hard,20.2056
89,317,Shortest Distance from All Buildings,43.7%,Hard,22.2065
90,322,Coin Change,39.0%,Medium,5.89764
91,329,Longest Increasing Path in a Matrix,48.3%,Hard,5.03367
92,341,Flatten Nested List Iterator,57.5%,Medium,9.00149
93,344,Reverse String,72.5%,Easy,2.05318
94,347,Top K Frequent Elements,63.7%,Medium,27.8801
95,352,Data Stream as Disjoint Intervals,49.7%,Hard,100
96,359,Logger Rate Limiter,74.0%,Easy,5.61952
97,380,Insert Delete GetRandom O(1),50.7%,Medium,17.289
98,394,Decode String,54.6%,Medium,19.9945
99,402,Remove K Digits,28.9%,Medium,9.97845
100,415,Add Strings,50.8%,Easy,10.829
101,420,Strong Password Checker,13.9%,Hard,51.4101
102,425,Word Squares,51.2%,Hard,49.0435
103,437,Path Sum III,49.6%,Medium,1.85076
104,450,Delete Node in a BST,46.9%,Medium,22.5017
105,468,Validate IP Address,25.8%,Medium,59.1244
106,543,Diameter of Binary Tree,52.3%,Easy,2.23127
107,560,Subarray Sum Equals K,43.7%,Medium,22.9356
108,581,Shortest Unsorted Continuous Subarray,33.6%,Medium,24.8486
109,599,Minimum Index Sum of Two Lists,52.8%,Easy,15.649
110,678,Valid Parenthesis String,32.4%,Medium,26.9147
111,680,Valid Palindrome II,37.9%,Easy,26.4508
112,692,Top K Frequent Words,53.9%,Medium,64.2311
113,694,Number of Distinct Islands,59.0%,Medium,17.1404
114,695,Max Area of Island,68.0%,Medium,14.7033
115,725,Split Linked List in Parts,56.1%,Medium,25.4019
116,733,Flood Fill,56.9%,Easy,2.60807
117,735,Asteroid Collision,44.1%,Medium,4.68003
118,759,Employee Free Time,70.2%,Hard,44.4924
119,430,Flatten a Multilevel Doubly Linked List,58.3%,Medium,14.4599
120,763,Partition Labels,78.4%,Medium,11.2006
121,767,Reorganize String,51.2%,Medium,7.09508
122,706,Design HashMap,63.8%,Easy,39.8865
123,622,Design Circular Queue,48.1%,Medium,24.0368
124,844,Backspace String Compare,47.4%,Easy,15.5539
125,863,All Nodes Distance K in Binary Tree,59.8%,Medium,10.1585
126,918,Maximum Sum Circular Subarray,35.6%,Medium,6.6878
127,938,Range Sum of BST,84.0%,Easy,10.3985
128,973,K Closest Points to Origin,65.7%,Medium,2.08668
129,981,Time Based Key-Value Store,53.4%,Medium,88.4378
130,986,Interval List Intersections,69.7%,Medium,4.31123
131,994,Rotting Oranges,51.1%,Medium,7.59225
132,1008,Construct Binary Search Tree from Preorder Traversal,79.8%,Medium,4.07331
133,1047,Remove All Adjacent Duplicates In String,71.2%,Easy,4.00745
134,1048,Longest String Chain,57.0%,Medium,4.61918
135,1091,Shortest Path in Binary Matrix,41.3%,Medium,5.49504
136,1209,Remove All Adjacent Duplicates in String II,56.2%,Medium,6.83879
137,1239,Maximum Length of a Concatenated String with Unique Characters,50.6%,Medium,41.1741
138,1344,Angle Between Hands of a Clock,62.2%,Medium,9.37999
