,#,Title,Acceptance,Difficulty,Frequency
0,37,Sudoku Solver,51.5%,Hard,6.11101
1,71,Simplify Path,36.4%,Medium,4.0981
2,79,Word Search,38.9%,Medium,1.01818
3,208,Implement Trie (Prefix Tree),55.8%,Medium,5.98604
4,210,Course Schedule II,44.9%,Medium,9.58806
5,269,Alien Dictionary,34.3%,Hard,67.9669
6,277,Find the Celebrity,45.4%,Medium,62.505
7,298,Binary Tree Longest Consecutive Sequence,49.7%,Medium,16.7056
8,362,Design Hit Counter,66.5%,Medium,31.5863
9,392,Is Subsequence,50.0%,Easy,4.45083
10,621,Task Scheduler,53.7%,Medium,26.8907
11,721,Accounts Merge,54.2%,Medium,5.37442
12,723,Candy Crush,74.1%,Medium,28.7812
13,726,Number of Atoms,51.4%,Hard,82.8211
14,759,Employee Free Time,70.2%,Hard,100
15,811,Subdomain Visit Count,73.1%,Medium,22.4978
16,710,Random Pick with Blacklist,33.1%,Hard,48.7652
17,1306,Jump Game III,61.6%,Medium,12.8055
