,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,6.36645
1,3,Longest Substring Without Repeating Characters,32.4%,Medium,3.21538
2,11,Container With Most Water,53.2%,Medium,3.03338
3,20,Valid Parentheses,40.5%,Easy,2.01448
4,121,Best Time to Buy and Sell Stock,52.9%,Easy,7.25062
5,127,Word Ladder,33.7%,Hard,10.4023
6,136,Single Number,67.8%,Easy,43.0433
7,200,Number of Islands,52.0%,Medium,7.47601
8,283,Move Zeroes,59.6%,Easy,6.50103
9,394,Decode String,54.6%,Medium,10.2315
10,696,Count Binary Substrings,62.9%,Easy,18.201
11,724,Find Pivot Index,49.2%,Easy,15.2914
12,704,Binary Search,54.7%,Easy,5.19001
13,957,Prison Cells After N Days,39.8%,Medium,71.5217
14,1177,Can Make Palindrome from Substring,36.9%,Medium,100
