,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,0.737897
1,3,Longest Substring Without Repeating Characters,32.4%,Medium,5.95212
2,20,Valid Parentheses,40.5%,Easy,13.0869
3,33,Search in Rotated Sorted Array,37.0%,Medium,13.2149
4,48,Rotate Image,64.0%,Medium,5.61924
5,53,Maximum Subarray,48.9%,Easy,1.65582
6,56,Merge Intervals,43.2%,Medium,2.99312
7,75,Sort Colors,52.8%,Medium,2.7647
8,103,Binary Tree Zigzag Level Order Traversal,52.1%,Medium,18.6385
9,121,Best Time to Buy and Sell Stock,52.9%,Easy,11.7925
10,146,LRU Cache,38.3%,Medium,5.50724
11,200,Number of Islands,52.0%,Medium,13.8291
12,206,Reverse Linked List,68.3%,Easy,2.41512
13,215,Kth Largest Element in an Array,61.4%,Medium,4.71419
14,238,Product of Array Except Self,62.7%,Medium,4.38221
15,300,Longest Increasing Subsequence,47.3%,Medium,13.5797
16,387,First Unique Character in a String,55.6%,Easy,4.99995
17,438,Find All Anagrams in a String,46.5%,Medium,11.3461
18,560,Subarray Sum Equals K,43.7%,Medium,10.7687
19,741,Cherry Pickup,35.9%,Hard,100
20,706,Design HashMap,63.8%,Easy,14.9604
21,1010,Pairs of Songs With Total Durations Divisible by 60,51.9%,Medium,59.3192
