,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,1.36768
1,3,Longest Substring Without Repeating Characters,32.4%,Medium,2.76064
2,8,String to Integer (atoi),16.1%,Medium,11.0202
3,20,Valid Parentheses,40.5%,Easy,3.89004
4,49,Group Anagrams,62.3%,Medium,8.62867
5,53,Maximum Subarray,48.9%,Easy,12.2633
6,56,Merge Intervals,43.2%,Medium,49.6788
7,105,Construct Binary Tree from Preorder and Inorder Traversal,55.4%,Medium,17.5979
8,143,Reorder List,44.0%,Medium,56.5364
9,146,LRU Cache,38.3%,Medium,63.4117
10,169,Majority Element,61.4%,Easy,22.9165
11,198,House Robber,45.0%,Medium,7.05132
12,200,Number of Islands,52.0%,Medium,39.9846
13,207,Course Schedule,44.7%,Medium,11.1688
14,236,Lowest Common Ancestor of a Binary Tree,52.7%,Medium,21.8692
15,273,Integer to English Words,29.0%,Hard,42.7718
16,300,Longest Increasing Subsequence,47.3%,Medium,11.2044
17,449,Serialize and Deserialize BST,55.4%,Medium,81.7058
18,628,Maximum Product of Three Numbers,46.7%,Easy,49.9046
19,1291,Sequential Digits,57.5%,Medium,100
