,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,0.0841812
1,3,Longest Substring Without Repeating Characters,32.4%,Medium,1.06024
2,20,Valid Parentheses,40.5%,Easy,2.91854
3,66,Plus One,42.1%,Easy,2.04794
4,104,Maximum Depth of Binary Tree,70.1%,Easy,0.397167
5,110,Balanced Binary Tree,45.8%,Easy,1.14668
6,215,Kth Largest Element in an Array,61.4%,Medium,2.14484
7,242,Valid Anagram,60.2%,Easy,0.488637
8,286,Walls and Gates,57.8%,Medium,3.68013
9,341,Flatten Nested List Iterator,57.5%,Medium,3.38198
10,346,Moving Average from Data Stream,74.9%,Easy,100
11,383,Ransom Note,54.6%,Easy,26.023
12,480,Sliding Window Median,40.2%,Hard,63.0115
13,1152,Analyze User Website Visit Pattern,43.3%,Medium,24.2995
