,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,2.58033
1,2,Add Two Numbers,37.2%,Medium,2.25933
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,2.31813
3,4,Median of Two Sorted Arrays,32.9%,Hard,0.183978
4,5,Longest Palindromic Substring,31.4%,Medium,0.11671
5,6,Zigzag Conversion,40.0%,Medium,0.973895
6,7,Reverse Integer,26.2%,Medium,0.3283
7,10,Regular Expression Matching,28.0%,Hard,0.501972
8,13,Roman to Integer,57.7%,Easy,0.572612
9,14,Longest Common Prefix,38.1%,Easy,0.584078
10,15,3Sum,29.8%,Medium,0.705804
11,16,3Sum Closest,46.9%,Medium,0.907513
12,17,Letter Combinations of a Phone Number,51.9%,Medium,0.879514
13,20,Valid Parentheses,40.5%,Easy,0.0917304
14,21,Merge Two Sorted Lists,58.3%,Easy,0.383668
15,22,Generate Parentheses,68.3%,Medium,1.4746
16,23,Merge k Sorted Lists,45.0%,Hard,1.40216
17,25,Reverse Nodes in k-Group,48.7%,Hard,0.525336
18,26,Remove Duplicates from Sorted Array,47.7%,Easy,0.11122
19,28,Implement strStr(),35.7%,Easy,0.490146
20,29,Divide Two Integers,17.0%,Medium,0.907248
21,31,Next Permutation,34.7%,Medium,0.535886
22,32,Longest Valid Parentheses,30.7%,Hard,0.556758
23,33,Search in Rotated Sorted Array,37.0%,Medium,0.325287
24,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,4.41994
25,36,Valid Sudoku,53.4%,Medium,1.75691
26,37,Sudoku Solver,51.5%,Hard,0.849875
27,39,Combination Sum,62.5%,Medium,0.258214
28,40,Combination Sum II,51.5%,Medium,0.489226
29,41,First Missing Positive,35.2%,Hard,0.400026
30,45,Jump Game II,35.1%,Medium,0.263453
31,48,Rotate Image,64.0%,Medium,4.86327
32,49,Group Anagrams,62.3%,Medium,2.46539
33,51,N-Queens,54.6%,Hard,0.964446
34,53,Maximum Subarray,48.9%,Easy,0.883072
35,54,Spiral Matrix,39.3%,Medium,0.346286
36,55,Jump Game,36.8%,Medium,0.263772
37,56,Merge Intervals,43.2%,Medium,9.05042
38,57,Insert Interval,36.6%,Medium,2.09663
39,64,Minimum Path Sum,58.1%,Medium,2.65872
40,67,Add Binary,48.9%,Easy,0.337126
41,68,Text Justification,32.9%,Hard,62.3023
42,69,Sqrt(x),36.0%,Easy,1.62522
43,70,Climbing Stairs,50.0%,Easy,0.165162
44,74,Search a 2D Matrix,40.7%,Medium,0.240438
45,76,Minimum Window Substring,37.9%,Hard,0.837842
46,78,Subsets,68.4%,Medium,1.13286
47,79,Word Search,38.9%,Medium,0.318331
48,84,Largest Rectangle in Histogram,39.0%,Hard,0.598941
