,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,2.88373
1,2,Add Two Numbers,37.2%,Medium,5.66472
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,0.647555
3,4,Median of Two Sorted Arrays,32.9%,Hard,4.11315
4,5,Longest Palindromic Substring,31.4%,Medium,2.61031
5,9,Palindrome Number,51.6%,Easy,0.96403
6,11,Container With Most Water,53.2%,Medium,1.37399
7,13,Roman to Integer,57.7%,Easy,1.42695
8,14,Longest Common Prefix,38.1%,Easy,13.0268
9,15,3Sum,29.8%,Medium,9.54448
10,18,4Sum,36.7%,Medium,5.32704
11,20,Valid Parentheses,40.5%,Easy,2.05193
12,21,Merge Two Sorted Lists,58.3%,Easy,0.955446
13,22,Generate Parentheses,68.3%,Medium,2.36102
14,23,Merge k Sorted Lists,45.0%,Hard,5.043
15,28,Implement strStr(),35.7%,Easy,4.87565
16,31,Next Permutation,34.7%,Medium,2.37258
17,32,Longest Valid Parentheses,30.7%,Hard,5.53826
18,45,Jump Game II,35.1%,Medium,5.88713
19,49,Group Anagrams,62.3%,Medium,2.024
20,53,Maximum Subarray,48.9%,Easy,1.61906
21,56,Merge Intervals,43.2%,Medium,11.653
22,74,Search a 2D Matrix,40.7%,Medium,2.39172
23,85,Maximal Rectangle,40.9%,Hard,13.758
24,91,Decode Ways,28.9%,Medium,3.56843
25,102,Binary Tree Level Order Traversal,59.2%,Medium,1.85489
26,108,Convert Sorted Array to Binary Search Tree,64.1%,Easy,3.72488
27,118,Pascal's Triangle,60.4%,Easy,5.02278
28,121,Best Time to Buy and Sell Stock,52.9%,Easy,7.37482
29,124,Binary Tree Maximum Path Sum,36.8%,Hard,2.84346
30,136,Single Number,67.8%,Easy,1.60548
31,138,Copy List with Random Pointer,44.5%,Medium,4.16629
32,139,Word Break,43.3%,Medium,2.13739
33,146,LRU Cache,38.3%,Medium,2.39436
34,148,Sort List,49.0%,Medium,7.57719
35,155,Min Stack,48.8%,Easy,1.42286
36,178,Rank Scores,54.8%,Medium,9.30342
37,200,Number of Islands,52.0%,Medium,6.01243
38,202,Happy Number,52.2%,Easy,4.66644
39,224,Basic Calculator,39.5%,Hard,9.86707
40,234,Palindrome Linked List,44.6%,Easy,2.71351
41,239,Sliding Window Maximum,45.7%,Hard,3.40731
42,287,Find the Duplicate Number,58.3%,Medium,2.93125
43,345,Reverse Vowels of a String,46.2%,Easy,11.2983
44,347,Top K Frequent Elements,63.7%,Medium,5.70807
45,387,First Unique Character in a String,55.6%,Easy,2.17381
46,560,Subarray Sum Equals K,43.7%,Medium,4.68187
47,665,Non-decreasing Array,21.2%,Medium,28.9174
48,718,Maximum Length of Repeated Subarray,51.2%,Medium,14.2974
49,759,Employee Free Time,70.2%,Hard,16.2996
50,775,Global and Local Inversions,45.7%,Medium,67.9481
51,796,Rotate String,50.2%,Easy,14.9132
52,852,Peak Index in a Mountain Array,71.4%,Easy,7.28772
53,912,Sort an Array,62.8%,Medium,6.77709
54,940,Distinct Subsequences II,43.2%,Hard,35.8961
55,1249,Minimum Remove to Make Valid Parentheses,65.0%,Medium,7.99024
56,1412,Find the Quiet Students in All Exams,62.8%,Hard,100
