,#,Title,Acceptance,Difficulty,Frequency
0,3,Longest Substring Without Repeating Characters,32.4%,Medium,0.416554
1,4,Median of Two Sorted Arrays,32.9%,Hard,10.5207
2,20,Valid Parentheses,40.5%,Easy,11.7859
3,23,Merge k Sorted Lists,45.0%,Hard,3.24402
4,33,Search in Rotated Sorted Array,37.0%,Medium,0.9259
5,54,Spiral Matrix,39.3%,Medium,4.97524
6,56,Merge Intervals,43.2%,Medium,1.88198
7,57,Insert Interval,36.6%,Medium,7.57989
8,72,Edit Distance,49.2%,Hard,8.65333
9,98,Validate Binary Search Tree,29.7%,Medium,8.97499
10,127,Word Ladder,33.7%,Hard,46.9064
11,128,Longest Consecutive Sequence,48.0%,Medium,2.47301
12,146,LRU Cache,38.3%,Medium,37.4707
13,200,Number of Islands,52.0%,Medium,0.969025
14,207,Course Schedule,44.7%,Medium,3.78582
15,223,Rectangle Area,39.4%,Medium,53.9031
16,236,Lowest Common Ancestor of a Binary Tree,52.7%,Medium,13.1019
17,283,Move Zeroes,59.6%,Easy,0.842548
18,362,Design Hit Counter,66.5%,Medium,85.5937
19,387,First Unique Character in a String,55.6%,Easy,22.027
20,487,Max Consecutive Ones II,48.2%,Medium,100
21,503,Next Greater Element II,60.6%,Medium,10.7769
22,529,Minesweeper,63.4%,Medium,69.7484
23,692,Top K Frequent Words,53.9%,Medium,5.03244
24,739,Daily Temperatures,66.1%,Medium,9.43803
25,509,Fibonacci Number,67.8%,Easy,4.29383
26,1004,Max Consecutive Ones III,61.6%,Medium,4.81574
