,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,1.75465
1,20,Valid Parentheses,40.5%,Easy,2.21789
2,42,Trapping Rain Water,54.2%,Hard,1.20207
3,54,Spiral Matrix,39.3%,Medium,2.09593
4,75,Sort Colors,52.8%,Medium,0.731375
5,78,Subsets,68.4%,Medium,1.72124
6,121,Best Time to Buy and Sell Stock,52.9%,Easy,0.50018
7,122,Best Time to Buy and Sell Stock II,60.4%,Medium,1.34418
8,134,Gas Station,43.2%,Medium,4.99535
9,160,Intersection of Two Linked Lists,47.5%,Easy,1.86226
10,199,Binary Tree Right Side View,58.2%,Medium,3.90876
11,215,Kth Largest Element in an Array,61.4%,Medium,1.24709
12,445,Add Two Numbers II,57.7%,Medium,14.0402
13,749,Contain Virus,49.4%,Hard,100
14,994,Rotting Oranges,51.1%,Medium,1.06303
15,1857,Largest Color Value in a Directed Graph,37.7%,Hard,57.0201
