,#,Title,Acceptance,Difficulty,Frequency
0,48,Rotate Image,64.0%,Medium,0.750749
1,152,Maximum Product Subarray,33.6%,Medium,1.29444
2,200,Number of Islands,52.0%,Medium,0.206045
3,239,Sliding Window Maximum,45.7%,Hard,1.85502
4,295,Find Median from Data Stream,49.5%,Hard,0.734039
5,332,Reconstruct Itinerary,39.4%,Hard,1.10574
6,341,Flatten Nested List Iterator,57.5%,Medium,1.76291
7,713,Subarray Product Less Than K,42.0%,Medium,1.32705
8,1012,Numbers With Repeated Digits,38.4%,Hard,89.8431
9,1177,Can Make Palindrome from Substring,36.9%,Medium,20.9122
10,1223,Dice Roll Simulation,47.5%,Hard,62.3175
11,1319,Number of Operations to Make Network Connected,56.3%,Medium,6.37979
12,1338,Reduce Array Size to The Half,68.5%,Medium,6.23546
13,1370,Increasing Decreasing String,77.8%,Easy,100
14,1411,Number of Ways to Paint N × 3 Grid,61.8%,Hard,48.4378
