,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,1.42035
1,3,Longest Substring Without Repeating Characters,32.4%,Medium,0.717072
2,4,Median of Two Sorted Arrays,32.9%,Hard,2.02656
3,7,Reverse Integer,26.2%,Medium,14.3969
4,15,3Sum,29.8%,Medium,0.866464
5,20,Valid Parentheses,40.5%,Easy,1.01043
6,100,Same Tree,54.9%,Easy,15.8003
7,125,Valid Palindrome,39.9%,Easy,5.05506
8,239,Sliding Window Maximum,45.7%,Hard,3.77309
9,242,Valid Anagram,60.2%,Easy,2.0621
10,560,Subarray Sum Equals K,43.7%,Medium,5.18448
11,1239,Maximum Length of a Concatenated String with Unique Characters,50.6%,Medium,29.4771
12,1402,Reducing Dishes,72.4%,Hard,68.2236
13,1466,Reorder Routes to Make All Paths Lead to the City Zero,61.5%,Medium,36.4472
14,1531,String Compression II,36.4%,Hard,100
