,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,94.861
1,2,Add Two Numbers,37.2%,Medium,68.5496
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,29.1772
3,4,Median of Two Sorted Arrays,32.9%,Hard,68.1426
4,5,Longest Palindromic Substring,31.4%,Medium,22.684
5,6,Zigzag Conversion,40.0%,Medium,0.544969
6,7,Reverse Integer,26.2%,Medium,37.9673
7,8,String to Integer (atoi),16.1%,Medium,15.0989
8,9,Palindrome Number,51.6%,Easy,1.93367
9,10,Regular Expression Matching,28.0%,Hard,20.9637
10,11,Container With Most Water,53.2%,Medium,6.10304
11,12,Integer to Roman,58.4%,Medium,21.5069
12,13,Roman to Integer,57.7%,Easy,13.8383
13,14,Longest Common Prefix,38.1%,Easy,29.8175
14,15,3Sum,29.8%,Medium,31.5237
15,16,3Sum Closest,46.9%,Medium,22.8056
16,17,Letter Combinations of a Phone Number,51.9%,Medium,12.9234
17,18,4Sum,36.7%,Medium,8.00769
18,19,Remove Nth Node From End of List,37.1%,Medium,2.51976
19,20,Valid Parentheses,40.5%,Easy,23.6438
20,21,Merge Two Sorted Lists,58.3%,Easy,5.00102
21,22,Generate Parentheses,68.3%,Medium,15.7868
22,23,Merge k Sorted Lists,45.0%,Hard,35.52
23,24,Swap Nodes in Pairs,55.9%,Medium,5.13656
24,25,Reverse Nodes in k-Group,48.7%,Hard,12.7472
25,26,Remove Duplicates from Sorted Array,47.7%,Easy,2.21685
26,27,Remove Element,50.4%,Easy,0.231229
27,28,Implement strStr(),35.7%,Easy,6.68062
28,29,Divide Two Integers,17.0%,Medium,3.14038
29,30,Substring with Concatenation of All Words,27.3%,Hard,1.99609
30,31,Next Permutation,34.7%,Medium,12.0894
31,32,Longest Valid Parentheses,30.7%,Hard,16.4414
32,33,Search in Rotated Sorted Array,37.0%,Medium,12.5155
33,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,9.24658
34,35,Search Insert Position,42.5%,Easy,1.14801
35,36,Valid Sudoku,53.4%,Medium,43.2182
36,37,Sudoku Solver,51.5%,Hard,16.1063
37,38,Count and Say,47.6%,Medium,9.28191
38,39,Combination Sum,62.5%,Medium,9.46783
39,40,Combination Sum II,51.5%,Medium,0.614353
40,41,First Missing Positive,35.2%,Hard,19.6952
41,42,Trapping Rain Water,54.2%,Hard,36.5391
42,43,Multiply Strings,36.2%,Medium,17.4226
43,44,Wildcard Matching,26.1%,Hard,4.5704
44,45,Jump Game II,35.1%,Medium,11.4097
45,46,Permutations,69.9%,Medium,29.9401
46,47,Permutations II,52.1%,Medium,5.37815
47,48,Rotate Image,64.0%,Medium,38.2459
48,49,Group Anagrams,62.3%,Medium,45.0049
49,50,"Pow(x, n)",31.6%,Medium,4.67201
50,51,N-Queens,54.6%,Hard,18.142
51,53,Maximum Subarray,48.9%,Easy,42.4558
52,54,Spiral Matrix,39.3%,Medium,51.187
53,55,Jump Game,36.8%,Medium,1.31991
54,56,Merge Intervals,43.2%,Medium,53.2147
55,57,Insert Interval,36.6%,Medium,7.90043
56,59,Spiral Matrix II,60.4%,Medium,6.57986
57,60,Permutation Sequence,40.9%,Hard,2.53874
58,61,Rotate List,33.0%,Medium,4.69724
59,62,Unique Paths,58.1%,Medium,7.84101
60,63,Unique Paths II,36.6%,Medium,1.53294
61,64,Minimum Path Sum,58.1%,Medium,3.33873
62,66,Plus One,42.1%,Easy,1.53623
63,67,Add Binary,48.9%,Easy,5.09345
64,68,Text Justification,32.9%,Hard,4.22255
65,69,Sqrt(x),36.0%,Easy,2.92884
66,70,Climbing Stairs,50.0%,Easy,3.84044
67,72,Edit Distance,49.2%,Hard,3.00387
68,73,Set Matrix Zeroes,46.7%,Medium,5.3808
69,74,Search a 2D Matrix,40.7%,Medium,5.98157
70,75,Sort Colors,52.8%,Medium,5.35416
71,76,Minimum Window Substring,37.9%,Hard,13.4794
72,77,Combinations,61.1%,Medium,3.7277
73,78,Subsets,68.4%,Medium,4.30849
74,79,Word Search,38.9%,Medium,12.2597
75,80,Remove Duplicates from Sorted Array II,47.8%,Medium,1.51788
76,81,Search in Rotated Sorted Array II,34.2%,Medium,1.00362
77,82,Remove Duplicates from Sorted List II,41.2%,Medium,1.48603
78,83,Remove Duplicates from Sorted List,47.8%,Easy,2.04758
79,84,Largest Rectangle in Histogram,39.0%,Hard,4.63099
80,85,Maximal Rectangle,40.9%,Hard,19.8275
81,86,Partition List,46.6%,Medium,18.97
82,87,Scramble String,35.2%,Hard,37.411
83,88,Merge Sorted Array,42.2%,Easy,12.7653
84,90,Subsets II,51.5%,Medium,4.53473
85,91,Decode Ways,28.9%,Medium,1.79264
86,92,Reverse Linked List II,42.5%,Medium,16.0702
87,93,Restore IP Addresses,39.9%,Medium,13.1137
88,94,Binary Tree Inorder Traversal,68.8%,Easy,0.764764
89,95,Unique Binary Search Trees II,47.3%,Medium,11.114
