,#,Title,Acceptance,Difficulty,Frequency
0,12,Integer to Roman,58.4%,Medium,8.36779
1,49,Group Anagrams,62.3%,Medium,61.0364
2,56,Merge Intervals,43.2%,Medium,2.48861
3,121,Best Time to Buy and Sell Stock,52.9%,Easy,19.1718
4,146,LRU Cache,38.3%,Medium,4.57896
5,176,Second Highest Salary,34.7%,Medium,9.08561
6,242,Valid Anagram,60.2%,Easy,8.00374
7,283,Move Zeroes,59.6%,Easy,2.50483
8,322,Coin Change,39.0%,Medium,100
9,1010,Pairs of Songs With Total Durations Divisible by 60,51.9%,Medium,22.0729
