,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,0.0416631
1,2,Add Two Numbers,37.2%,Medium,0.265304
2,16,3Sum Closest,46.9%,Medium,4.62902
3,17,Letter Combinations of a Phone Number,51.9%,Medium,17.1136
4,21,Merge Two Sorted Lists,58.3%,Easy,3.70346
5,25,Reverse Nodes in k-Group,48.7%,Hard,10.4657
6,53,Maximum Subarray,48.9%,Easy,0.210262
7,66,Plus One,42.1%,Easy,0.254114
8,68,Text Justification,32.9%,Hard,1.09925
9,101,Symmetric Tree,50.2%,Easy,24.089
10,138,Copy List with Random Pointer,44.5%,Medium,4.79257
11,146,LRU Cache,38.3%,Medium,12.5458
12,155,Min Stack,48.8%,Easy,47.2212
13,203,Remove Linked List Elements,41.3%,Easy,0.414624
14,204,Count Primes,32.8%,Medium,64.2743
15,228,Summary Ranges,44.1%,Easy,82.1371
16,234,Palindrome Linked List,44.6%,Easy,4.25418
17,268,Missing Number,57.6%,Easy,19.9283
18,283,Move Zeroes,59.6%,Easy,4.1889
19,290,Word Pattern,39.1%,Easy,12.7778
20,322,Coin Change,39.0%,Medium,2.45497
21,328,Odd Even Linked List,58.3%,Medium,18.8732
22,347,Top K Frequent Elements,63.7%,Medium,37.8087
23,412,Fizz Buzz,65.3%,Easy,1.51506
24,445,Add Two Numbers II,57.7%,Medium,11.6037
25,482,License Key Formatting,43.1%,Easy,100
26,723,Candy Crush,74.1%,Medium,11.3654
27,814,Binary Tree Pruning,71.1%,Medium,22.4421
28,905,Sort Array By Parity,74.9%,Easy,6.06533
29,1099,Two Sum Less Than K,60.5%,Easy,7.34333
30,1071,Greatest Common Divisor of Strings,51.8%,Easy,21.4849
31,1878,Get Biggest Three Rhombus Sums in a Grid,44.1%,Medium,51.2183
