,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,0.140125
1,15,3Sum,29.8%,Medium,0.192242
2,20,Valid Parentheses,40.5%,Easy,1.58445
3,32,Longest Valid Parentheses,30.7%,Hard,1.35678
4,39,Combination Sum,62.5%,Medium,0.280604
5,42,Trapping Rain Water,54.2%,Hard,0.860824
6,44,Wildcard Matching,26.1%,Hard,2.24183
7,46,Permutations,69.9%,Medium,0.240526
8,49,Group Anagrams,62.3%,Medium,0.881862
9,53,Maximum Subarray,48.9%,Easy,0.0786457
10,85,Maximal Rectangle,40.9%,Hard,3.35397
11,98,Validate Binary Search Tree,29.7%,Medium,0.17038
12,105,Construct Binary Tree from Preorder and Inorder Traversal,55.4%,Medium,2.78928
13,121,Best Time to Buy and Sell Stock,52.9%,Easy,0.805671
14,123,Best Time to Buy and Sell Stock III,42.2%,Hard,0.315205
15,126,Word Ladder II,25.8%,Hard,1.60425
16,127,Word Ladder,33.7%,Hard,3.1792
17,138,Copy List with Random Pointer,44.5%,Medium,0.455152
18,146,LRU Cache,38.3%,Medium,2.33257
19,150,Evaluate Reverse Polish Notation,40.7%,Medium,1.95644
20,151,Reverse Words in a String,26.8%,Medium,0.174097
21,188,Best Time to Buy and Sell Stock IV,31.8%,Hard,3.07029
22,198,House Robber,45.0%,Medium,0.180694
23,200,Number of Islands,52.0%,Medium,4.0437
24,208,Implement Trie (Prefix Tree),55.8%,Medium,0.226853
25,212,Word Search II,38.4%,Hard,0.26352
26,221,Maximal Square,41.3%,Medium,2.89964
27,225,Implement Stack using Queues,50.4%,Easy,1.11672
28,230,Kth Smallest Element in a BST,65.1%,Medium,0.426597
29,232,Implement Queue using Stacks,55.3%,Easy,0.531772
30,238,Product of Array Except Self,62.7%,Medium,0.20814
31,239,Sliding Window Maximum,45.7%,Hard,21.6416
32,240,Search a 2D Matrix II,46.9%,Medium,0.570309
33,241,Different Ways to Add Parentheses,59.7%,Medium,11.897
34,253,Meeting Rooms II,48.4%,Medium,0.37748
35,259,3Sum Smaller,49.9%,Medium,63.7142
36,264,Ugly Number II,44.2%,Medium,1.06771
37,282,Expression Add Operators,38.7%,Hard,7.26878
38,285,Inorder Successor in BST,45.3%,Medium,14.4993
39,295,Find Median from Data Stream,49.5%,Hard,1.31486
40,297,Serialize and Deserialize Binary Tree,52.1%,Hard,4.52366
41,301,Remove Invalid Parentheses,45.9%,Hard,0.915677
42,322,Coin Change,39.0%,Medium,0.231342
43,332,Reconstruct Itinerary,39.4%,Hard,0.88316
44,340,Longest Substring with At Most K Distinct Characters,46.7%,Medium,0.988465
45,343,Integer Break,52.6%,Medium,8.07172
46,359,Logger Rate Limiter,74.0%,Easy,0.879021
47,362,Design Hit Counter,66.5%,Medium,2.14668
48,370,Range Addition,66.5%,Medium,57.9274
49,380,Insert Delete GetRandom O(1),50.7%,Medium,0.501623
50,460,LFU Cache,38.3%,Hard,4.31409
51,518,Coin Change 2,55.1%,Medium,0.803115
52,560,Subarray Sum Equals K,43.7%,Medium,0.22761
53,588,Design In-Memory File System,47.4%,Hard,3.18595
54,628,Maximum Product of Three Numbers,46.7%,Easy,5.03038
55,647,Palindromic Substrings,63.7%,Medium,1.54774
56,724,Find Pivot Index,49.2%,Easy,1.69542
57,752,Open the Lock,55.0%,Medium,13.9041
58,772,Basic Calculator III,46.2%,Hard,3.30769
59,706,Design HashMap,63.8%,Easy,0.710569
60,829,Consecutive Numbers Sum,40.2%,Hard,100
61,622,Design Circular Queue,48.1%,Medium,1.6866
62,489,Robot Room Cleaner,74.6%,Hard,2.16214
63,867,Transpose Matrix,61.4%,Easy,2.40599
64,887,Super Egg Drop,26.9%,Hard,3.72979
65,935,Knight Dialer,48.1%,Medium,2.82947
66,1010,Pairs of Songs With Total Durations Divisible by 60,51.9%,Medium,18.6532
67,1048,Longest String Chain,57.0%,Medium,13.7972
68,1091,Shortest Path in Binary Matrix,41.3%,Medium,1.92484
69,1248,Count Number of Nice Subarrays,57.5%,Medium,3.62758
70,1395,Count Number of Teams,70.8%,Medium,2.49952
