,#,Title,Acceptance,Difficulty,Frequency
0,23,Merge k Sorted Lists,45.0%,Hard,5.75701
1,36,Valid Sudoku,53.4%,Medium,3.21499
2,63,Unique Paths II,36.6%,Medium,54.4945
3,79,Word Search,38.9%,Medium,10.0141
4,146,LRU Cache,38.3%,Medium,33.0538
5,200,Number of Islands,52.0%,Medium,6.8637
6,304,Range Sum Query 2D - Immutable,45.4%,Medium,26.8224
7,311,Sparse Matrix Multiplication,65.0%,Medium,100
8,695,Max Area of Island,68.0%,Medium,15.4379
9,528,Random Pick with Weight,45.6%,Medium,15.9877
10,980,Unique Paths III,77.6%,Hard,72.6632
11,1094,Car Pooling,59.5%,Medium,21.0752
12,1258,Synonymous Sentences,57.5%,Medium,94.104
