,#,Title,Acceptance,Difficulty,Frequency
0,72,Edit Distance,49.2%,Hard,7.15459
1,91,Decode Ways,28.9%,Medium,4.25483
2,116,Populating Next Right Pointers in Each Node,53.1%,Medium,3.6629
3,124,Binary Tree Maximum Path Sum,36.8%,Hard,3.39041
4,133,Clone Graph,43.4%,Medium,4.23648
5,146,LRU Cache,38.3%,Medium,2.85493
6,243,Shortest Word Distance,63.4%,Easy,17.3119
7,348,Design Tic-Tac-Toe,56.7%,Medium,18.5471
8,364,Nested List Weight Sum II,66.1%,Medium,24.5783
9,402,Remove K Digits,28.9%,Medium,17.0358
10,460,LFU Cache,38.3%,Hard,21.1501
11,863,All Nodes Distance K in Binary Tree,59.8%,Medium,7.73832
12,1239,Maximum Length of a Concatenated String with Unique Characters,50.6%,Medium,100
13,1293,Shortest Path in a Grid with Obstacles Elimination,44.0%,Hard,41.344
14,1374,Generate a String With Characters That Have Odd Counts,77.2%,Easy,70.672
