,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,2.02365
1,2,Add Two Numbers,37.2%,Medium,1.13382
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,8.439
3,5,Longest Palindromic Substring,31.4%,Medium,8.94759
4,6,Zigzag Conversion,40.0%,Medium,1.34874
5,7,Reverse Integer,26.2%,Medium,1.02032
6,8,String to Integer (atoi),16.1%,Medium,1.81434
7,10,Regular Expression Matching,28.0%,Hard,6.19542
8,13,Roman to Integer,57.7%,Easy,0.445827
9,14,Longest Common Prefix,38.1%,Easy,1.81525
10,15,3Sum,29.8%,Medium,1.52489
11,17,Letter Combinations of a Phone Number,51.9%,Medium,20.1175
12,20,Valid Parentheses,40.5%,Easy,4.53137
13,21,Merge Two Sorted Lists,58.3%,Easy,0.298513
14,23,Merge k Sorted Lists,45.0%,Hard,11.0402
15,24,Swap Nodes in Pairs,55.9%,Medium,2.37289
16,25,Reverse Nodes in k-Group,48.7%,Hard,3.66196
17,26,Remove Duplicates from Sorted Array,47.7%,Easy,0.345658
18,31,Next Permutation,34.7%,Medium,0.741273
19,33,Search in Rotated Sorted Array,37.0%,Medium,4.0249
20,39,Combination Sum,62.5%,Medium,12.6059
21,40,Combination Sum II,51.5%,Medium,9.3871
22,41,First Missing Positive,35.2%,Hard,2.79056
23,42,Trapping Rain Water,54.2%,Hard,1.38712
24,44,Wildcard Matching,26.1%,Hard,2.8653
25,45,Jump Game II,35.1%,Medium,0.818781
26,46,Permutations,69.9%,Medium,23.8818
27,48,Rotate Image,64.0%,Medium,3.04237
28,49,Group Anagrams,62.3%,Medium,33.7702
29,50,"Pow(x, n)",31.6%,Medium,6.55506
30,51,N-Queens,54.6%,Hard,2.99739
31,53,Maximum Subarray,48.9%,Easy,2.74449
32,54,Spiral Matrix,39.3%,Medium,9.55879
33,56,Merge Intervals,43.2%,Medium,22.1072
34,62,Unique Paths,58.1%,Medium,0.799112
35,64,Minimum Path Sum,58.1%,Medium,1.33642
36,66,Plus One,42.1%,Easy,1.3739
37,68,Text Justification,32.9%,Hard,10.4503
38,70,Climbing Stairs,50.0%,Easy,0.228237
39,73,Set Matrix Zeroes,46.7%,Medium,1.10799
40,74,Search a 2D Matrix,40.7%,Medium,1.67889
41,75,Sort Colors,52.8%,Medium,3.36423
42,76,Minimum Window Substring,37.9%,Hard,1.1599
43,78,Subsets,68.4%,Medium,3.5208
44,79,Word Search,38.9%,Medium,1.75672
45,83,Remove Duplicates from Sorted List,47.8%,Easy,0.816185
46,84,Largest Rectangle in Histogram,39.0%,Hard,4.1732
