,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,0.342409
1,3,Longest Substring Without Repeating Characters,32.4%,Medium,1.55447
2,31,Next Permutation,34.7%,Medium,2.53229
3,168,Excel Sheet Column Title,33.0%,Easy,100
4,171,Excel Sheet Column Number,58.4%,Easy,10.703
5,199,Binary Tree Right Side View,58.2%,Medium,3.05257
6,221,Maximal Square,41.3%,Medium,7.15097
7,453,Minimum Moves to Equal Array Elements,52.7%,Medium,47.9259
8,881,Boats to Save People,49.6%,Medium,69.3651
9,968,Binary Tree Cameras,41.2%,Hard,41.3379
10,994,Rotting Oranges,51.1%,Medium,1.86467
