,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,62.4971
1,2,Add Two Numbers,37.2%,Medium,22.1717
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,7.42727
3,4,Median of Two Sorted Arrays,32.9%,Hard,11.8383
4,5,Longest Palindromic Substring,31.4%,Medium,5.3941
5,7,Reverse Integer,26.2%,Medium,7.21665
6,8,String to Integer (atoi),16.1%,Medium,3.65183
7,9,Palindrome Number,51.6%,Easy,2.16455
8,10,Regular Expression Matching,28.0%,Hard,13.9962
9,11,Container With Most Water,53.2%,Medium,2.31354
10,12,Integer to Roman,58.4%,Medium,3.48696
11,13,Roman to Integer,57.7%,Easy,0.522879
12,14,Longest Common Prefix,38.1%,Easy,3.22764
13,15,3Sum,29.8%,Medium,5.46982
14,16,3Sum Closest,46.9%,Medium,6.45081
15,17,Letter Combinations of a Phone Number,51.9%,Medium,9.67989
16,18,4Sum,36.7%,Medium,1.92334
17,20,Valid Parentheses,40.5%,Easy,3.9313
18,21,Merge Two Sorted Lists,58.3%,Easy,3.05636
19,22,Generate Parentheses,68.3%,Medium,5.11961
20,23,Merge k Sorted Lists,45.0%,Hard,7.57805
21,24,Swap Nodes in Pairs,55.9%,Medium,1.2302
22,25,Reverse Nodes in k-Group,48.7%,Hard,2.54881
23,26,Remove Duplicates from Sorted Array,47.7%,Easy,0.907839
24,27,Remove Element,50.4%,Easy,0.29915
25,28,Implement strStr(),35.7%,Easy,0.354207
26,29,Divide Two Integers,17.0%,Medium,0.369469
27,30,Substring with Concatenation of All Words,27.3%,Hard,2.53174
28,31,Next Permutation,34.7%,Medium,8.75045
29,32,Longest Valid Parentheses,30.7%,Hard,0.508449
30,33,Search in Rotated Sorted Array,37.0%,Medium,2.07115
31,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,10.8946
32,35,Search Insert Position,42.5%,Easy,0.372295
33,36,Valid Sudoku,53.4%,Medium,1.80795
34,37,Sudoku Solver,51.5%,Hard,6.50837
35,38,Count and Say,47.6%,Medium,3.89018
36,39,Combination Sum,62.5%,Medium,0.65296
37,40,Combination Sum II,51.5%,Medium,0.446957
38,41,First Missing Positive,35.2%,Hard,11.5002
39,42,Trapping Rain Water,54.2%,Hard,9.54107
40,43,Multiply Strings,36.2%,Medium,5.65009
41,44,Wildcard Matching,26.1%,Hard,8.50905
42,45,Jump Game II,35.1%,Medium,2.60359
43,46,Permutations,69.9%,Medium,2.64484
44,48,Rotate Image,64.0%,Medium,1.5725
45,49,Group Anagrams,62.3%,Medium,2.88499
46,50,"Pow(x, n)",31.6%,Medium,4.47801
47,51,N-Queens,54.6%,Hard,0.878626
48,53,Maximum Subarray,48.9%,Easy,11.333
49,54,Spiral Matrix,39.3%,Medium,2.76764
50,55,Jump Game,36.8%,Medium,0.190778
51,56,Merge Intervals,43.2%,Medium,23.8108
52,57,Insert Interval,36.6%,Medium,30.785
53,58,Length of Last Word,35.0%,Easy,0.312339
54,59,Spiral Matrix II,60.4%,Medium,1.37803
55,60,Permutation Sequence,40.9%,Hard,1.83034
56,62,Unique Paths,58.1%,Medium,8.53659
57,63,Unique Paths II,36.6%,Medium,5.21957
58,64,Minimum Path Sum,58.1%,Medium,19.7998
59,65,Valid Number,17.3%,Hard,0.436234
