,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,1.48428
1,5,Longest Palindromic Substring,31.4%,Medium,5.37131
2,13,Roman to Integer,57.7%,Easy,6.60197
3,54,Spiral Matrix,39.3%,Medium,15.937
4,84,Largest Rectangle in Histogram,39.0%,Hard,27.5649
5,146,LRU Cache,38.3%,Medium,11.0778
6,206,Reverse Linked List,68.3%,Easy,4.85802
7,207,Course Schedule,44.7%,Medium,12.121
8,270,Closest Binary Search Tree Value,52.3%,Easy,55.1622
9,347,Top K Frequent Elements,63.7%,Medium,26.4092
10,394,Decode String,54.6%,Medium,21.4418
11,621,Task Scheduler,53.7%,Medium,43.6147
12,820,Short Encoding of Words,55.1%,Medium,100
13,1004,Max Consecutive Ones III,61.6%,Medium,77.5811
