,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,0.0498624
1,17,Letter Combinations of a Phone Number,51.9%,Medium,0.191665
2,20,Valid Parentheses,40.5%,Easy,10.1079
3,31,Next Permutation,34.7%,Medium,0.0922328
4,37,Sudoku Solver,51.5%,Hard,0.328645
5,41,First Missing Positive,35.2%,Hard,0.154689
6,49,Group Anagrams,62.3%,Medium,0.176817
7,53,Maximum Subarray,48.9%,Easy,0.341482
8,56,Merge Intervals,43.2%,Medium,36.0675
9,91,Decode Ways,28.9%,Medium,100
10,121,Best Time to Buy and Sell Stock,52.9%,Easy,0.791354
11,141,Linked List Cycle,44.3%,Easy,0.0608289
12,146,LRU Cache,38.3%,Medium,0.209126
13,173,Binary Search Tree Iterator,63.3%,Medium,0.477491
14,174,Dungeon Game,35.6%,Hard,0.503997
15,202,Happy Number,52.2%,Easy,58.5023
16,215,Kth Largest Element in an Array,61.4%,Medium,0.079676
17,242,Valid Anagram,60.2%,Easy,0.0723915
18,276,Paint Fence,41.0%,Medium,2.77721
19,283,Move Zeroes,59.6%,Easy,0.0509173
20,399,Evaluate Division,55.9%,Medium,0.466596
21,423,Reconstruct Original Digits from English,51.5%,Medium,80.0376
22,453,Minimum Moves to Equal Array Elements,52.7%,Medium,4.67256
23,480,Sliding Window Median,40.2%,Hard,2.41147
24,560,Subarray Sum Equals K,43.7%,Medium,0.182005
25,572,Subtree of Another Tree,44.9%,Easy,0.186084
26,696,Count Binary Substrings,62.9%,Easy,57.6028
27,742,Closest Leaf in a Binary Tree,44.8%,Medium,3.93881
28,509,Fibonacci Number,67.8%,Easy,23.239
29,980,Unique Paths III,77.6%,Hard,1.11865
30,1091,Shortest Path in Binary Matrix,41.3%,Medium,0.305865
31,1328,Break a Palindrome,52.2%,Medium,1.66532
32,1290,Convert Binary Number in a Linked List to Integer,81.8%,Easy,21.2317
33,1609,Even Odd Tree,52.6%,Medium,5.22311
