,#,Title,Acceptance,Difficulty,Frequency
0,5,Longest Palindromic Substring,31.4%,Medium,0.104372
1,8,String to Integer (atoi),16.1%,Medium,0.232195
2,12,Integer to Roman,58.4%,Medium,2.09364
3,13,Roman to Integer,57.7%,Easy,1.40321
4,20,Valid Parentheses,40.5%,Easy,8.42154
5,21,Merge Two Sorted Lists,58.3%,Easy,0.34256
6,23,Merge k Sorted Lists,45.0%,Hard,0.357796
7,33,Search in Rotated Sorted Array,37.0%,Medium,13.9792
8,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,4.88864
9,39,Combination Sum,62.5%,Medium,0.230721
10,40,Combination Sum II,51.5%,Medium,0.194585
11,46,Permutations,69.9%,Medium,3.56461
12,47,Permutations II,52.1%,Medium,0.432508
13,50,"Pow(x, n)",31.6%,Medium,6.29678
14,53,Maximum Subarray,48.9%,Easy,14.9314
15,56,Merge Intervals,43.2%,Medium,2.14302
16,57,Insert Interval,36.6%,Medium,2.50232
17,61,Rotate List,33.0%,Medium,4.63734
18,65,Valid Number,17.3%,Hard,16.9603
19,68,Text Justification,32.9%,Hard,26.6459
20,69,Sqrt(x),36.0%,Easy,3.03845
21,70,Climbing Stairs,50.0%,Easy,0.116713
22,72,Edit Distance,49.2%,Hard,3.68053
23,75,Sort Colors,52.8%,Medium,0.299469
24,76,Minimum Window Substring,37.9%,Hard,10.5664
25,81,Search in Rotated Sorted Array II,34.2%,Medium,2.77626
26,88,Merge Sorted Array,42.2%,Easy,1.04861
27,100,Same Tree,54.9%,Easy,0.570522
28,101,Symmetric Tree,50.2%,Easy,2.82629
29,102,Binary Tree Level Order Traversal,59.2%,Medium,9.50383
30,103,Binary Tree Zigzag Level Order Traversal,52.1%,Medium,1.734
31,104,Maximum Depth of Binary Tree,70.1%,Easy,9.14162
32,126,Word Ladder II,25.8%,Hard,0.587163
33,127,Word Ladder,33.7%,Hard,7.29266
34,128,Longest Consecutive Sequence,48.0%,Medium,0.153718
35,141,Linked List Cycle,44.3%,Easy,0.062566
36,146,LRU Cache,38.3%,Medium,0.215098
37,149,Max Points on a Line,19.2%,Hard,38.0463
38,150,Evaluate Reverse Polish Notation,40.7%,Medium,23.7367
39,151,Reverse Words in a String,26.8%,Medium,0.396644
40,152,Maximum Product Subarray,33.6%,Medium,17.2232
41,156,Binary Tree Upside Down,58.3%,Medium,40.4211
42,159,Longest Substring with At Most Two Distinct Characters,51.7%,Medium,0.698132
43,160,Intersection of Two Linked Lists,47.5%,Easy,2.40991
44,173,Binary Search Tree Iterator,63.3%,Medium,0.219002
45,187,Repeated DNA Sequences,43.0%,Medium,0.503999
