,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,32.9592
1,2,Add Two Numbers,37.2%,Medium,27.557
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,21.6703
3,4,Median of Two Sorted Arrays,32.9%,Hard,17.6612
4,5,Longest Palindromic Substring,31.4%,Medium,39.7745
5,6,Zigzag Conversion,40.0%,Medium,1.84192
6,7,Reverse Integer,26.2%,Medium,2.07553
7,8,String to Integer (atoi),16.1%,Medium,28.3339
8,9,Palindrome Number,51.6%,Easy,1.14876
9,10,Regular Expression Matching,28.0%,Hard,21.2993
10,11,Container With Most Water,53.2%,Medium,4.57082
11,12,Integer to Roman,58.4%,Medium,10.6576
12,13,Roman to Integer,57.7%,Easy,7.69868
13,14,Longest Common Prefix,38.1%,Easy,2.46517
14,15,3Sum,29.8%,Medium,8.82526
15,16,3Sum Closest,46.9%,Medium,0.435099
16,17,Letter Combinations of a Phone Number,51.9%,Medium,43.1871
17,18,4Sum,36.7%,Medium,0.575836
18,19,Remove Nth Node From End of List,37.1%,Medium,6.27922
19,20,Valid Parentheses,40.5%,Easy,17.0464
20,21,Merge Two Sorted Lists,58.3%,Easy,9.99226
21,22,Generate Parentheses,68.3%,Medium,21.8002
22,23,Merge k Sorted Lists,45.0%,Hard,44.9833
23,24,Swap Nodes in Pairs,55.9%,Medium,16.6332
24,25,Reverse Nodes in k-Group,48.7%,Hard,60.0377
25,26,Remove Duplicates from Sorted Array,47.7%,Easy,4.59561
26,28,Implement strStr(),35.7%,Easy,4.23711
27,29,Divide Two Integers,17.0%,Medium,1.71748
28,30,Substring with Concatenation of All Words,27.3%,Hard,0.762092
29,31,Next Permutation,34.7%,Medium,9.38636
30,32,Longest Valid Parentheses,30.7%,Hard,10.1877
31,33,Search in Rotated Sorted Array,37.0%,Medium,33.0355
32,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,7.98239
33,35,Search Insert Position,42.5%,Easy,0.109938
34,36,Valid Sudoku,53.4%,Medium,8.01575
35,37,Sudoku Solver,51.5%,Hard,25.3867
36,38,Count and Say,47.6%,Medium,5.72859
37,39,Combination Sum,62.5%,Medium,8.23354
38,40,Combination Sum II,51.5%,Medium,1.44811
39,41,First Missing Positive,35.2%,Hard,50.9256
40,42,Trapping Rain Water,54.2%,Hard,28.2888
41,43,Multiply Strings,36.2%,Medium,17.6792
42,44,Wildcard Matching,26.1%,Hard,27.0513
43,45,Jump Game II,35.1%,Medium,5.83977
44,46,Permutations,69.9%,Medium,16.3477
45,47,Permutations II,52.1%,Medium,0.521349
46,48,Rotate Image,64.0%,Medium,18.9721
47,49,Group Anagrams,62.3%,Medium,35.4076
48,50,"Pow(x, n)",31.6%,Medium,8.43537
49,51,N-Queens,54.6%,Hard,12.3742
50,53,Maximum Subarray,48.9%,Easy,17.397
51,54,Spiral Matrix,39.3%,Medium,73.6285
52,55,Jump Game,36.8%,Medium,1.12673
53,56,Merge Intervals,43.2%,Medium,42.1067
54,57,Insert Interval,36.6%,Medium,1.00521
55,59,Spiral Matrix II,60.4%,Medium,12.9858
56,60,Permutation Sequence,40.9%,Hard,0.969271
57,61,Rotate List,33.0%,Medium,3.45612
58,62,Unique Paths,58.1%,Medium,11.0234
59,63,Unique Paths II,36.6%,Medium,5.03445
60,64,Minimum Path Sum,58.1%,Medium,1.2747
61,66,Plus One,42.1%,Easy,1.14313
62,67,Add Binary,48.9%,Easy,0.161632
63,68,Text Justification,32.9%,Hard,7.67103
64,69,Sqrt(x),36.0%,Easy,8.3376
65,70,Climbing Stairs,50.0%,Easy,1.25206
66,71,Simplify Path,36.4%,Medium,1.08409
67,72,Edit Distance,49.2%,Hard,12.4985
68,73,Set Matrix Zeroes,46.7%,Medium,13.4534
69,74,Search a 2D Matrix,40.7%,Medium,9.4554
70,75,Sort Colors,52.8%,Medium,7.71555
71,76,Minimum Window Substring,37.9%,Hard,10.3212
72,77,Combinations,61.1%,Medium,0.915537
73,78,Subsets,68.4%,Medium,2.69051
74,79,Word Search,38.9%,Medium,21.6734
75,80,Remove Duplicates from Sorted Array II,47.8%,Medium,3.51572
76,81,Search in Rotated Sorted Array II,34.2%,Medium,1.51526
77,82,Remove Duplicates from Sorted List II,41.2%,Medium,1.00419
78,83,Remove Duplicates from Sorted List,47.8%,Easy,0.781747
79,84,Largest Rectangle in Histogram,39.0%,Hard,8.02646
80,85,Maximal Rectangle,40.9%,Hard,9.67406
81,86,Partition List,46.6%,Medium,3.82696
82,88,Merge Sorted Array,42.2%,Easy,16.3485
83,89,Gray Code,54.2%,Medium,11.5237
84,91,Decode Ways,28.9%,Medium,5.8445
85,92,Reverse Linked List II,42.5%,Medium,12.0403
86,93,Restore IP Addresses,39.9%,Medium,41.3476
87,94,Binary Tree Inorder Traversal,68.8%,Easy,3.46363
88,96,Unique Binary Search Trees,56.4%,Medium,2.65134
89,97,Interleaving String,34.1%,Medium,2.42388
90,98,Validate Binary Search Tree,29.7%,Medium,31.1498
91,99,Recover Binary Search Tree,44.8%,Medium,30.6301
92,100,Same Tree,54.9%,Easy,0.687713
93,101,Symmetric Tree,50.2%,Easy,2.39044
94,102,Binary Tree Level Order Traversal,59.2%,Medium,16.9008
95,103,Binary Tree Zigzag Level Order Traversal,52.1%,Medium,47.8683
96,104,Maximum Depth of Binary Tree,70.1%,Easy,1.79239
97,105,Construct Binary Tree from Preorder and Inorder Traversal,55.4%,Medium,25.7157
98,106,Construct Binary Tree from Inorder and Postorder Traversal,52.6%,Medium,5.64936
99,107,Binary Tree Level Order Traversal II,57.2%,Medium,3.01143
100,108,Convert Sorted Array to Binary Search Tree,64.1%,Easy,3.5147
101,109,Convert Sorted List to Binary Search Tree,53.9%,Medium,2.32592
102,110,Balanced Binary Tree,45.8%,Easy,1.8642
103,112,Path Sum,44.1%,Easy,1.16523
104,113,Path Sum II,52.3%,Medium,6.30835
105,114,Flatten Binary Tree to Linked List,55.7%,Medium,8.12039
106,116,Populating Next Right Pointers in Each Node,53.1%,Medium,37.6729
107,117,Populating Next Right Pointers in Each Node II,44.5%,Medium,35.7994
108,118,Pascal's Triangle,60.4%,Easy,2.13743
109,119,Pascal's Triangle II,55.0%,Easy,0.470217
110,120,Triangle,48.7%,Medium,0.270717
