,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,1.47052
1,2,Add Two Numbers,37.2%,Medium,2.03792
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,1.89781
3,4,Median of Two Sorted Arrays,32.9%,Hard,0.756955
4,5,Longest Palindromic Substring,31.4%,Medium,0.480383
5,6,Zigzag Conversion,40.0%,Medium,15.4724
6,11,Container With Most Water,53.2%,Medium,0.252859
7,12,Integer to Roman,58.4%,Medium,3.20067
8,14,Longest Common Prefix,38.1%,Easy,0.267875
9,15,3Sum,29.8%,Medium,0.898206
10,19,Remove Nth Node From End of List,37.1%,Medium,0.231676
11,20,Valid Parentheses,40.5%,Easy,4.15414
12,22,Generate Parentheses,68.3%,Medium,2.69947
13,26,Remove Duplicates from Sorted Array,47.7%,Easy,0.203603
14,33,Search in Rotated Sorted Array,37.0%,Medium,1.05735
15,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,0.330371
16,46,Permutations,69.9%,Medium,0.405183
17,49,Group Anagrams,62.3%,Medium,4.51325
18,53,Maximum Subarray,48.9%,Easy,1.18904
19,54,Spiral Matrix,39.3%,Medium,3.92769
20,56,Merge Intervals,43.2%,Medium,13.0218
21,68,Text Justification,32.9%,Hard,9.53222
22,73,Set Matrix Zeroes,46.7%,Medium,1.46529
23,75,Sort Colors,52.8%,Medium,0.221208
24,79,Word Search,38.9%,Medium,0.259221
25,82,Remove Duplicates from Sorted List II,41.2%,Medium,0.965867
26,83,Remove Duplicates from Sorted List,47.8%,Easy,0.480759
27,88,Merge Sorted Array,42.2%,Easy,0.241243
28,91,Decode Ways,28.9%,Medium,0.656708
29,102,Binary Tree Level Order Traversal,59.2%,Medium,0.767201
30,109,Convert Sorted List to Binary Search Tree,53.9%,Medium,2.25956
31,112,Path Sum,44.1%,Easy,0.499539
32,121,Best Time to Buy and Sell Stock,52.9%,Easy,0.943537
33,122,Best Time to Buy and Sell Stock II,60.4%,Medium,0.406552
34,128,Longest Consecutive Sequence,48.0%,Medium,0.707502
35,146,LRU Cache,38.3%,Medium,23.32
36,149,Max Points on a Line,19.2%,Hard,2.85725
37,151,Reverse Words in a String,26.8%,Medium,0.293278
38,155,Min Stack,48.8%,Easy,0.261853
39,160,Intersection of Two Linked Lists,47.5%,Easy,1.26496
40,162,Find Peak Element,45.0%,Medium,0.497997
41,189,Rotate Array,37.2%,Medium,1.0377
42,199,Binary Tree Right Side View,58.2%,Medium,0.526342
43,200,Number of Islands,52.0%,Medium,0.277227
44,202,Happy Number,52.2%,Easy,13.2944
45,206,Reverse Linked List,68.3%,Easy,0.434506
46,215,Kth Largest Element in an Array,61.4%,Medium,0.847622
47,221,Maximal Square,41.3%,Medium,2.76309
48,224,Basic Calculator,39.5%,Hard,4.06151
49,225,Implement Stack using Queues,50.4%,Easy,11.4623
50,226,Invert Binary Tree,69.8%,Easy,0.217571
51,227,Basic Calculator II,40.0%,Medium,1.90168
52,234,Palindrome Linked List,44.6%,Easy,1.12175
53,238,Product of Array Except Self,62.7%,Medium,3.13254
54,240,Search a 2D Matrix II,46.9%,Medium,2.15483
55,242,Valid Anagram,60.2%,Easy,1.36711
56,243,Shortest Word Distance,63.4%,Easy,2.672
57,253,Meeting Rooms II,48.4%,Medium,1.42777
58,283,Move Zeroes,59.6%,Easy,0.962342
59,287,Find the Duplicate Number,58.3%,Medium,1.2116
60,322,Coin Change,39.0%,Medium,0.389711
61,324,Wiggle Sort II,31.5%,Medium,4.5628
62,344,Reverse String,72.5%,Easy,0.541025
63,346,Moving Average from Data Stream,74.9%,Easy,2.38163
64,347,Top K Frequent Elements,63.7%,Medium,0.467596
65,355,Design Twitter,33.4%,Medium,30.2451
66,387,First Unique Character in a String,55.6%,Easy,0.898935
67,438,Find All Anagrams in a String,46.5%,Medium,2.03651
68,547,Number of Provinces,62.2%,Medium,0.650009
69,557,Reverse Words in a String III,75.5%,Easy,2.11228
70,560,Subarray Sum Equals K,43.7%,Medium,0.861619
71,572,Subtree of Another Tree,44.9%,Easy,0.880927
72,658,Find K Closest Elements,43.7%,Medium,13.2444
73,692,Top K Frequent Words,53.9%,Medium,1.43973
74,739,Daily Temperatures,66.1%,Medium,2.70012
75,767,Reorganize String,51.2%,Medium,1.86959
76,704,Binary Search,54.7%,Easy,0.192403
77,811,Subdomain Visit Count,73.1%,Medium,2.56707
78,844,Backspace String Compare,47.4%,Easy,1.03297
79,845,Longest Mountain in Array,39.3%,Medium,6.85699
80,876,Middle of the Linked List,70.7%,Easy,0.394004
81,881,Boats to Save People,49.6%,Medium,5.40907
82,977,Squares of a Sorted Array,71.5%,Easy,0.955762
83,986,Interval List Intersections,69.7%,Medium,1.13603
84,994,Rotting Oranges,51.1%,Medium,0.321518
85,1010,Pairs of Songs With Total Durations Divisible by 60,51.9%,Medium,8.35728
86,1041,Robot Bounded In Circle,54.5%,Medium,8.21511
87,1047,Remove All Adjacent Duplicates In String,71.2%,Easy,1.05598
88,1091,Shortest Path in Binary Matrix,41.3%,Medium,1.44797
89,1220,Count Vowels Permutation,56.5%,Hard,58.1163
90,1297,Maximum Number of Occurrences of a Substring,52.2%,Medium,12.0789
91,1411,Number of Ways to Paint N × 3 Grid,61.8%,Hard,29.5272
92,1436,Destination City,77.4%,Easy,5.70623
93,1473,Paint House III,49.7%,Hard,85.9876
94,1497,Check If Array Pairs Are Divisible by k,40.5%,Medium,100
