,#,Title,Acceptance,Difficulty,Frequency
0,10,Regular Expression Matching,28.0%,Hard,5.10816
1,221,Maximal Square,41.3%,Medium,6.85408
2,325,Maximum Size Subarray Sum Equals k,48.5%,Medium,29.3151
3,347,Top K Frequent Elements,63.7%,Medium,2.59928
4,366,Find Leaves of Binary Tree,75.0%,Medium,60.8324
5,547,Number of Provinces,62.2%,Medium,100
6,740,Delete and Earn,53.7%,Medium,14.6795
7,1010,Pairs of Songs With Total Durations Divisible by 60,51.9%,Medium,71.7155
8,1428,Leftmost Column with at Least a One,51.5%,Medium,18.028
9,1761,Minimum Degree of a Connected Trio in a Graph,40.5%,Hard,57.5996
