,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,12.6778
1,2,Add Two Numbers,37.2%,Medium,8.98118
2,5,Longest Palindromic Substring,31.4%,Medium,5.10392
3,13,Roman to Integer,57.7%,Easy,25.0413
4,20,Valid Parentheses,40.5%,Easy,4.01152
5,82,Remove Duplicates from Sorted List II,41.2%,Medium,23.0733
6,83,Remove Duplicates from Sorted List,47.8%,Easy,11.4847
7,121,Best Time to Buy and Sell Stock,52.9%,Easy,14.4385
8,138,Copy List with Random Pointer,44.5%,Medium,18.3163
9,151,Reverse Words in a String,26.8%,Medium,15.7484
10,160,Intersection of Two Linked Lists,47.5%,Easy,51.3319
11,191,Number of 1 Bits,57.0%,Easy,60.0752
12,206,Reverse Linked List,68.3%,Easy,71.0492
13,215,Kth Largest Element in an Array,61.4%,Medium,9.01057
14,237,Delete Node in a Linked List,70.0%,Easy,100
15,242,Valid Anagram,60.2%,Easy,8.18676
16,283,Move Zeroes,59.6%,Easy,12.9458
17,287,Find the Duplicate Number,58.3%,Medium,12.8867
18,622,Design Circular Queue,48.1%,Medium,65.6215
19,1021,Remove Outermost Parentheses,79.5%,Easy,97.3398
