,#,Title,Acceptance,Difficulty,Frequency
0,2,Add Two Numbers,37.2%,Medium,0.0981639
1,3,Longest Substring Without Repeating Characters,32.4%,Medium,0.0699725
2,5,Longest Palindromic Substring,31.4%,Medium,0.282061
3,15,3Sum,29.8%,Medium,0.190148
4,17,Letter Combinations of a Phone Number,51.9%,Medium,1.47363
5,20,Valid Parentheses,40.5%,Easy,0.884259
6,23,Merge k Sorted Lists,45.0%,Hard,0.544928
7,37,Sudoku Solver,51.5%,Hard,0.913509
8,38,Count and Say,47.6%,Medium,0.670244
9,41,First Missing Positive,35.2%,Hard,2.66051
10,42,Trapping Rain Water,54.2%,Hard,0.213474
11,49,Group Anagrams,62.3%,Medium,0.218706
12,53,Maximum Subarray,48.9%,Easy,0.0777892
13,54,Spiral Matrix,39.3%,Medium,1.48145
14,62,Unique Paths,58.1%,Medium,0.276376
15,64,Minimum Path Sum,58.1%,Medium,1.03728
16,141,Linked List Cycle,44.3%,Easy,0.169081
17,146,LRU Cache,38.3%,Medium,7.57208
18,179,Largest Number,32.0%,Medium,2.67515
19,200,Number of Islands,52.0%,Medium,1.01347
20,214,Shortest Palindrome,31.3%,Hard,3.35551
21,273,Integer to English Words,29.0%,Hard,1.08411
22,283,Move Zeroes,59.6%,Easy,0.565047
23,543,Diameter of Binary Tree,52.3%,Easy,0.34522
24,560,Subarray Sum Equals K,43.7%,Medium,0.505906
25,572,Subtree of Another Tree,44.9%,Easy,0.517243
26,588,Design In-Memory File System,47.4%,Hard,6.96886
27,767,Reorganize String,51.2%,Medium,1.09775
28,976,Largest Perimeter Triangle,59.8%,Easy,4.58604
29,1189,Maximum Number of Balloons,62.5%,Easy,98.8419
30,1239,Maximum Length of a Concatenated String with Unique Characters,50.6%,Medium,100
31,1304,Find N Unique Integers Sum up to Zero,76.6%,Easy,20.4638
32,1578,Minimum Deletion Cost to Avoid Repeating Letters,61.3%,Medium,59.6529
33,1647,Minimum Deletions to Make Character Frequencies Unique,55.9%,Medium,1.39053
34,1758,Minimum Changes To Make Alternating Binary String,58.8%,Easy,6.94831
