,#,Title,Acceptance,Difficulty,Frequency
0,2,Add Two Numbers,37.2%,Medium,11.5816
1,3,Longest Substring Without Repeating Characters,32.4%,Medium,22.9068
2,5,Longest Palindromic Substring,31.4%,Medium,14.7984
3,14,Longest Common Prefix,38.1%,Easy,8.252
4,15,3Sum,29.8%,Medium,4.43596
5,42,Trapping Rain Water,54.2%,Hard,11.2
6,44,Wildcard Matching,26.1%,Hard,51.9918
7,55,Jump Game,36.8%,Medium,6.61581
8,56,Merge Intervals,43.2%,Medium,7.37739
9,217,Contains Duplicate,59.0%,Easy,5.12905
10,946,Validate Stack Sequences,64.9%,Medium,81.0768
11,1329,Sort the Matrix Diagonally,81.5%,Medium,100
