,#,Title,Acceptance,Difficulty,Frequency
0,39,Combination Sum,62.5%,Medium,4.69868
1,166,Fraction to Recurring Decimal,23.0%,Medium,100
2,251,Flatten 2D Vector,47.2%,Medium,72.8579
3,269,Alien Dictionary,34.3%,Hard,14.2369
4,336,Palindrome Pairs,36.2%,Hard,73.352
5,591,Tag Validator,35.8%,Hard,46.21
6,755,Pour Water,44.9%,Medium,41.4079
7,759,Employee Free Time,70.2%,Hard,5.49909
8,773,Sliding Puzzle,62.5%,Hard,20.0403
9,787,Cheapest Flights Within K Stops,36.8%,Medium,9.76687
10,864,Shortest Path to Get All Keys,43.4%,Hard,13.1702
11,875,Koko Eating Bananas,54.2%,Medium,23.3724
12,1257,Smallest Common Region,61.9%,Medium,39.7568
13,1235,Maximum Profit in Job Scheduling,50.2%,Hard,8.79063
14,1283,Find the Smallest Divisor Given a Threshold,52.0%,Medium,4.81442
