,#,Title,Acceptance,Difficulty,FrequencyFrequency of problems that appear in real interviews,Frequency
0,1,Two Sum,47.8%,Easy,,48.7701
1,2,Add Two Numbers,37.2%,Medium,,34.8737
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,,21.8497
3,4,Median of Two Sorted Arrays,32.9%,Hard,,25.4697
4,5,Longest Palindromic Substring,31.4%,Medium,,7.27028
5,7,Reverse Integer,26.2%,Medium,,20.2871
6,8,String to Integer (atoi),16.1%,Medium,,1.80676
7,9,Palindrome Number,51.6%,Easy,,2.69144
8,10,Regular Expression Matching,28.0%,Hard,,21.5403
9,11,Container With Most Water,53.2%,Medium,,3.83371
10,12,Integer to Roman,58.4%,Medium,,6.86295
11,13,Roman to Integer,57.7%,Easy,,6.21095
12,14,Longest Common Prefix,38.1%,Easy,,25.0127
13,15,3Sum,29.8%,Medium,,38.4816
14,16,3Sum Closest,46.9%,Medium,,6.30963
15,17,Letter Combinations of a Phone Number,51.9%,Medium,,13.6863
16,18,4Sum,36.7%,Medium,,3.72331
17,19,Remove Nth Node From End of List,37.1%,Medium,,1.97825
18,20,Valid Parentheses,40.5%,Easy,,7.77402
19,21,Merge Two Sorted Lists,58.3%,Easy,,1.50169
20,22,Generate Parentheses,68.3%,Medium,,6.57834
21,23,Merge k Sorted Lists,45.0%,Hard,,9.74877
22,25,Reverse Nodes in k-Group,48.7%,Hard,,3.65248
23,26,Remove Duplicates from Sorted Array,47.7%,Easy,,4.81938
24,28,Implement strStr(),35.7%,Easy,,3.40781
25,30,Substring with Concatenation of All Words,27.3%,Hard,,11.0515
26,31,Next Permutation,34.7%,Medium,,14.789
27,32,Longest Valid Parentheses,30.7%,Hard,,15.3605
28,33,Search in Rotated Sorted Array,37.0%,Medium,,6.26478
29,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,,11.2146
30,35,Search Insert Position,42.5%,Easy,,0.709004
31,36,Valid Sudoku,53.4%,Medium,,47.6644
32,37,Sudoku Solver,51.5%,Hard,,5.90889
33,38,Count and Say,47.6%,Medium,,4.33537
34,39,Combination Sum,62.5%,Medium,,7.15439
35,41,First Missing Positive,35.2%,Hard,,17.2091
36,43,Multiply Strings,36.2%,Medium,,21.0171
37,45,Jump Game II,35.1%,Medium,,11.3724
38,46,Permutations,69.9%,Medium,,13.7327
39,48,Rotate Image,64.0%,Medium,,15.2242
40,49,Group Anagrams,62.3%,Medium,,3.1791
