,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,28.2799
1,2,Add Two Numbers,37.2%,Medium,6.26868
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,8.19482
3,4,Median of Two Sorted Arrays,32.9%,Hard,14.1486
4,5,Longest Palindromic Substring,31.4%,Medium,4.92652
5,6,Zigzag Conversion,40.0%,Medium,5.02776
6,7,Reverse Integer,26.2%,Medium,2.43484
7,8,String to Integer (atoi),16.1%,Medium,1.27449
8,9,Palindrome Number,51.6%,Easy,0.088474
9,10,Regular Expression Matching,28.0%,Hard,3.14773
10,11,Container With Most Water,53.2%,Medium,6.83421
11,12,Integer to Roman,58.4%,Medium,11.2736
12,13,Roman to Integer,57.7%,Easy,4.47382
13,14,Longest Common Prefix,38.1%,Easy,3.21764
14,15,3Sum,29.8%,Medium,2.51117
15,16,3Sum Closest,46.9%,Medium,2.5524
16,17,Letter Combinations of a Phone Number,51.9%,Medium,9.64989
17,18,4Sum,36.7%,Medium,8.32744
18,19,Remove Nth Node From End of List,37.1%,Medium,1.266
19,20,Valid Parentheses,40.5%,Easy,7.64386
20,21,Merge Two Sorted Lists,58.3%,Easy,11.5953
21,22,Generate Parentheses,68.3%,Medium,4.47968
22,23,Merge k Sorted Lists,45.0%,Hard,22.4737
23,24,Swap Nodes in Pairs,55.9%,Medium,2.15612
24,25,Reverse Nodes in k-Group,48.7%,Hard,7.06847
25,26,Remove Duplicates from Sorted Array,47.7%,Easy,0.549809
26,27,Remove Element,50.4%,Easy,0.0747544
27,28,Implement strStr(),35.7%,Easy,0.353109
28,31,Next Permutation,34.7%,Medium,5.12729
29,32,Longest Valid Parentheses,30.7%,Hard,1.99183
30,33,Search in Rotated Sorted Array,37.0%,Medium,4.99637
31,35,Search Insert Position,42.5%,Easy,0.0930931
32,36,Valid Sudoku,53.4%,Medium,1.02331
33,37,Sudoku Solver,51.5%,Hard,5.20703
34,38,Count and Say,47.6%,Medium,0.25315
35,39,Combination Sum,62.5%,Medium,0.650936
36,40,Combination Sum II,51.5%,Medium,0.198615
37,41,First Missing Positive,35.2%,Hard,10.3664
38,42,Trapping Rain Water,54.2%,Hard,34.9748
39,43,Multiply Strings,36.2%,Medium,0.19878
40,44,Wildcard Matching,26.1%,Hard,2.28644
41,45,Jump Game II,35.1%,Medium,7.10227
42,46,Permutations,69.9%,Medium,1.78319
43,48,Rotate Image,64.0%,Medium,2.42439
44,49,Group Anagrams,62.3%,Medium,16.269
45,50,"Pow(x, n)",31.6%,Medium,0.856279
46,51,N-Queens,54.6%,Hard,3.39917
47,53,Maximum Subarray,48.9%,Easy,7.32491
48,54,Spiral Matrix,39.3%,Medium,1.69059
49,55,Jump Game,36.8%,Medium,2.27252
50,56,Merge Intervals,43.2%,Medium,45.797
51,57,Insert Interval,36.6%,Medium,3.30599
52,59,Spiral Matrix II,60.4%,Medium,0.778255
53,61,Rotate List,33.0%,Medium,3.78319
54,62,Unique Paths,58.1%,Medium,1.63987
55,63,Unique Paths II,36.6%,Medium,1.36246
56,64,Minimum Path Sum,58.1%,Medium,1.07938
57,67,Add Binary,48.9%,Easy,0.307325
58,69,Sqrt(x),36.0%,Easy,0.659804
59,70,Climbing Stairs,50.0%,Easy,1.86673
60,71,Simplify Path,36.4%,Medium,1.42567
61,72,Edit Distance,49.2%,Hard,2.90591
62,73,Set Matrix Zeroes,46.7%,Medium,1.73957
63,74,Search a 2D Matrix,40.7%,Medium,1.93379
64,75,Sort Colors,52.8%,Medium,1.20957
65,76,Minimum Window Substring,37.9%,Hard,4.35777
66,77,Combinations,61.1%,Medium,0.437838
67,78,Subsets,68.4%,Medium,1.3929
68,79,Word Search,38.9%,Medium,13.3126
69,81,Search in Rotated Sorted Array II,34.2%,Medium,0.726548
70,82,Remove Duplicates from Sorted List II,41.2%,Medium,1.32118
71,83,Remove Duplicates from Sorted List,47.8%,Easy,0.106617
72,84,Largest Rectangle in Histogram,39.0%,Hard,3.73121
73,85,Maximal Rectangle,40.9%,Hard,2.20237
74,88,Merge Sorted Array,42.2%,Easy,0.84794
75,89,Gray Code,54.2%,Medium,1.203
76,90,Subsets II,51.5%,Medium,0.533684
77,91,Decode Ways,28.9%,Medium,11.4543
78,92,Reverse Linked List II,42.5%,Medium,1.0784
79,93,Restore IP Addresses,39.9%,Medium,1.10063
80,95,Unique Binary Search Trees II,47.3%,Medium,1.32915
81,96,Unique Binary Search Trees,56.4%,Medium,3.91198
82,97,Interleaving String,34.1%,Medium,4.48473
83,98,Validate Binary Search Tree,29.7%,Medium,4.3674
84,99,Recover Binary Search Tree,44.8%,Medium,3.43312
85,100,Same Tree,54.9%,Easy,0.210572
86,101,Symmetric Tree,50.2%,Easy,1.647
87,102,Binary Tree Level Order Traversal,59.2%,Medium,1.19519
88,103,Binary Tree Zigzag Level Order Traversal,52.1%,Medium,9.5022
89,105,Construct Binary Tree from Preorder and Inorder Traversal,55.4%,Medium,3.28651
90,108,Convert Sorted Array to Binary Search Tree,64.1%,Easy,0.341281
91,109,Convert Sorted List to Binary Search Tree,53.9%,Medium,1.11919
92,110,Balanced Binary Tree,45.8%,Easy,0.400232
93,112,Path Sum,44.1%,Easy,0.986686
94,113,Path Sum II,52.3%,Medium,2.70228
95,114,Flatten Binary Tree to Linked List,55.7%,Medium,1.27734
96,115,Distinct Subsequences,41.6%,Hard,1.8194
97,116,Populating Next Right Pointers in Each Node,53.1%,Medium,4.29341
98,117,Populating Next Right Pointers in Each Node II,44.5%,Medium,2.30144
99,118,Pascal's Triangle,60.4%,Easy,0.814045
100,120,Triangle,48.7%,Medium,0.514035
101,121,Best Time to Buy and Sell Stock,52.9%,Easy,8.26841
102,122,Best Time to Buy and Sell Stock II,60.4%,Medium,3.12982
103,123,Best Time to Buy and Sell Stock III,42.2%,Hard,1.42027
104,124,Binary Tree Maximum Path Sum,36.8%,Hard,5.34029
105,126,Word Ladder II,25.8%,Hard,10.7297
106,127,Word Ladder,33.7%,Hard,35.4702
107,128,Longest Consecutive Sequence,48.0%,Medium,1.39147
108,129,Sum Root to Leaf Numbers,53.8%,Medium,0.656234
109,130,Surrounded Regions,31.7%,Medium,0.292415
110,131,Palindrome Partitioning,55.8%,Medium,0.805252
111,133,Clone Graph,43.4%,Medium,0.325571
112,134,Gas Station,43.2%,Medium,5.06473
113,135,Candy,36.0%,Hard,10.52
114,136,Single Number,67.8%,Easy,0.40786
115,138,Copy List with Random Pointer,44.5%,Medium,11.9346
116,139,Word Break,43.3%,Medium,17.0188
117,140,Word Break II,39.2%,Hard,11.2721
118,141,Linked List Cycle,44.3%,Easy,0.397554
119,142,Linked List Cycle II,41.9%,Medium,0.375861
120,143,Reorder List,44.0%,Medium,2.86587
121,146,LRU Cache,38.3%,Medium,74.432
122,148,Sort List,49.0%,Medium,0.692632
123,149,Max Points on a Line,19.2%,Hard,2.47923
124,150,Evaluate Reverse Polish Notation,40.7%,Medium,4.94089
125,151,Reverse Words in a String,26.8%,Medium,0.146199
126,152,Maximum Product Subarray,33.6%,Medium,1.52411
127,153,Find Minimum in Rotated Sorted Array,47.4%,Medium,2.27026
128,155,Min Stack,48.8%,Easy,4.46164
129,158,Read N Characters Given read4 II - Call Multiple Times,39.6%,Hard,0.90222
130,160,Intersection of Two Linked Lists,47.5%,Easy,0.774673
131,162,Find Peak Element,45.0%,Medium,2.67754
132,163,Missing Ranges,29.8%,Easy,4.4491
133,164,Maximum Gap,40.5%,Hard,3.37716
134,165,Compare Version Numbers,31.9%,Medium,2.74209
135,166,Fraction to Recurring Decimal,23.0%,Medium,1.53766
136,167,Two Sum II - Input Array Is Sorted,57.3%,Easy,0.142983
137,169,Majority Element,61.4%,Easy,2.37561
138,172,Factorial Trailing Zeroes,39.9%,Medium,1.44709
139,173,Binary Search Tree Iterator,63.3%,Medium,2.6597
140,175,Combine Two Tables,67.8%,Easy,1.41357
141,176,Second Highest Salary,34.7%,Medium,2.99991
142,177,Nth Highest Salary,35.1%,Medium,1.4024
143,178,Rank Scores,54.8%,Medium,0.84955
144,179,Largest Number,32.0%,Medium,0.452067
145,180,Consecutive Numbers,44.4%,Medium,5.1054
146,181,Employees Earning More Than Their Managers,64.2%,Easy,0.921754
147,184,Department Highest Salary,44.0%,Medium,0.888449
148,185,Department Top Three Salaries,43.9%,Hard,1.1401
149,188,Best Time to Buy and Sell Stock IV,31.8%,Hard,5.89719
150,189,Rotate Array,37.2%,Medium,0.516033
151,190,Reverse Bits,45.7%,Easy,0.214172
152,191,Number of 1 Bits,57.0%,Easy,0.145398
153,197,Rising Temperature,41.5%,Easy,0.385619
154,198,House Robber,45.0%,Medium,2.76164
155,199,Binary Tree Right Side View,58.2%,Medium,1.82981
156,200,Number of Islands,52.0%,Medium,51.4547
157,201,Bitwise AND of Numbers Range,41.1%,Medium,0.111517
158,202,Happy Number,52.2%,Easy,0.19045
159,205,Isomorphic Strings,41.6%,Easy,1.5819
160,206,Reverse Linked List,68.3%,Easy,0.680476
161,207,Course Schedule,44.7%,Medium,15.0477
162,208,Implement Trie (Prefix Tree),55.8%,Medium,0.5269
163,210,Course Schedule II,44.9%,Medium,23.0193
164,211,Design Add and Search Words Data Structure,42.5%,Medium,1.28554
165,212,Word Search II,38.4%,Hard,20.7533
166,213,House Robber II,38.8%,Medium,0.304211
167,215,Kth Largest Element in an Array,61.4%,Medium,5.04382
168,217,Contains Duplicate,59.0%,Easy,0.741466
169,218,The Skyline Problem,37.8%,Hard,0.830073
170,220,Contains Duplicate III,21.5%,Medium,0.642118
171,221,Maximal Square,41.3%,Medium,10.2368
172,222,Count Complete Tree Nodes,53.3%,Medium,0.21083
173,224,Basic Calculator,39.5%,Hard,0.900717
174,225,Implement Stack using Queues,50.4%,Easy,0.417189
175,226,Invert Binary Tree,69.8%,Easy,1.18995
176,227,Basic Calculator II,40.0%,Medium,4.46392
177,229,Majority Element II,40.7%,Medium,0.373791
178,230,Kth Smallest Element in a BST,65.1%,Medium,1.91185
179,232,Implement Queue using Stacks,55.3%,Easy,1.75504
180,234,Palindrome Linked List,44.6%,Easy,1.73785
181,235,Lowest Common Ancestor of a Binary Search Tree,54.9%,Easy,0.334404
182,236,Lowest Common Ancestor of a Binary Tree,52.7%,Medium,6.25095
183,238,Product of Array Except Self,62.7%,Medium,8.49772
184,239,Sliding Window Maximum,45.7%,Hard,33.0728
185,240,Search a 2D Matrix II,46.9%,Medium,0.845834
186,241,Different Ways to Add Parentheses,59.7%,Medium,0.743465
187,243,Shortest Word Distance,63.4%,Easy,3.57349
188,244,Shortest Word Distance II,57.4%,Medium,0.731181
189,252,Meeting Rooms,56.2%,Easy,6.64422
190,253,Meeting Rooms II,48.4%,Medium,45.2714
191,257,Binary Tree Paths,56.6%,Easy,0.303717
192,258,Add Digits,59.8%,Easy,0.570261
193,262,Trips and Users,37.0%,Hard,1.84965
194,268,Missing Number,57.6%,Easy,0.939113
195,269,Alien Dictionary,34.3%,Hard,10.4069
196,270,Closest Binary Search Tree Value,52.3%,Easy,0.486601
197,273,Integer to English Words,29.0%,Hard,28.6913
198,274,H-Index,37.0%,Medium,6.03005
199,277,Find the Celebrity,45.4%,Medium,4.9927
200,278,First Bad Version,39.9%,Easy,0.110394
201,279,Perfect Squares,51.1%,Medium,0.527111
202,283,Move Zeroes,59.6%,Easy,0.650199
203,284,Peeking Iterator,52.4%,Medium,1.31597
204,285,Inorder Successor in BST,45.3%,Medium,2.49395
205,286,Walls and Gates,57.8%,Medium,2.24426
206,287,Find the Duplicate Number,58.3%,Medium,1.06463
207,289,Game of Life,61.2%,Medium,7.81016
208,295,Find Median from Data Stream,49.5%,Hard,28.1187
209,296,Best Meeting Point,59.1%,Hard,1.67854
210,297,Serialize and Deserialize Binary Tree,52.1%,Hard,7.40326
211,300,Longest Increasing Subsequence,47.3%,Medium,0.955658
212,301,Remove Invalid Parentheses,45.9%,Hard,0.765811
213,307,Range Sum Query - Mutable,38.2%,Medium,4.47867
214,310,Minimum Height Trees,36.0%,Medium,1.35098
215,314,Binary Tree Vertical Order Traversal,49.1%,Medium,2.48882
216,315,Count of Smaller Numbers After Self,42.0%,Hard,32.6694
217,316,Remove Duplicate Letters,40.6%,Medium,1.96321
218,322,Coin Change,39.0%,Medium,6.4814
219,323,Number of Connected Components in an Undirected Graph,59.8%,Medium,29.9634
220,328,Odd Even Linked List,58.3%,Medium,1.00704
221,329,Longest Increasing Path in a Matrix,48.3%,Hard,1.16447
222,330,Patching Array,39.1%,Hard,4.32688
223,332,Reconstruct Itinerary,39.4%,Hard,2.88016
224,333,Largest BST Subtree,39.8%,Medium,1.58219
225,337,House Robber III,52.4%,Medium,6.22683
226,340,Longest Substring with At Most K Distinct Characters,46.7%,Medium,4.31441
227,341,Flatten Nested List Iterator,57.5%,Medium,3.18458
228,344,Reverse String,72.5%,Easy,0.0533678
229,346,Moving Average from Data Stream,74.9%,Easy,4.53041
230,347,Top K Frequent Elements,63.7%,Medium,10.1239
231,348,Design Tic-Tac-Toe,56.7%,Medium,18.3636
232,349,Intersection of Two Arrays,67.4%,Easy,3.58453
233,350,Intersection of Two Arrays II,53.8%,Easy,0.565239
234,353,Design Snake Game,37.3%,Medium,2.89559
235,354,Russian Doll Envelopes,39.2%,Hard,0.884658
236,355,Design Twitter,33.4%,Medium,3.90359
237,370,Range Addition,66.5%,Medium,38.7695
238,371,Sum of Two Integers,50.7%,Medium,0.350862
239,374,Guess Number Higher or Lower,47.5%,Easy,0.0711428
240,376,Wiggle Subsequence,43.6%,Medium,0.732455
241,378,Kth Smallest Element in a Sorted Matrix,58.5%,Medium,10.0437
242,380,Insert Delete GetRandom O(1),50.7%,Medium,5.63581
243,381,Insert Delete GetRandom O(1) - Duplicates allowed,35.2%,Hard,0.826808
244,383,Ransom Note,54.6%,Easy,0.469455
245,387,First Unique Character in a String,55.6%,Easy,5.33125
246,394,Decode String,54.6%,Medium,2.26036
247,399,Evaluate Division,55.9%,Medium,1.9261
248,402,Remove K Digits,28.9%,Medium,2.28545
249,403,Frog Jump,42.4%,Hard,1.04457
250,407,Trapping Rain Water II,45.9%,Hard,4.72878
251,410,Split Array Largest Sum,48.6%,Hard,4.9842
252,412,Fizz Buzz,65.3%,Easy,0.47613
253,414,Third Maximum Number,31.1%,Easy,0.322594
254,415,Add Strings,50.8%,Easy,0.35713
255,417,Pacific Atlantic Water Flow,46.5%,Medium,0.973234
256,421,Maximum XOR of Two Numbers in an Array,55.0%,Medium,3.64402
257,424,Longest Repeating Character Replacement,49.8%,Medium,0.329871
258,435,Non-overlapping Intervals,46.4%,Medium,4.05414
259,437,Path Sum III,49.6%,Medium,0.430954
260,438,Find All Anagrams in a String,46.5%,Medium,1.77814
261,442,Find All Duplicates in an Array,71.4%,Medium,0.0673667
262,443,String Compression,46.2%,Medium,0.767053
263,445,Add Two Numbers II,57.7%,Medium,16.8591
264,449,Serialize and Deserialize BST,55.4%,Medium,6.56528
265,450,Delete Node in a BST,46.9%,Medium,3.90367
266,451,Sort Characters By Frequency,66.8%,Medium,0.178581
267,454,4Sum II,55.6%,Medium,14.842
268,460,LFU Cache,38.3%,Hard,28.6546
269,463,Island Perimeter,68.3%,Easy,0.338061
270,468,Validate IP Address,25.8%,Medium,0.89075
271,472,Concatenated Words,43.0%,Hard,67.1019
272,474,Ones and Zeroes,44.0%,Medium,1.23844
273,485,Max Consecutive Ones,54.4%,Easy,0.147996
274,486,Predict the Winner,49.6%,Medium,1.40036
275,487,Max Consecutive Ones II,48.2%,Medium,0.919989
276,490,The Maze,54.0%,Medium,10.9908
277,493,Reverse Pairs,28.8%,Hard,2.06466
278,494,Target Sum,45.2%,Medium,1.10916
279,496,Next Greater Element I,68.6%,Easy,1.556
280,503,Next Greater Element II,60.6%,Medium,9.79446
281,505,The Maze II,50.4%,Medium,1.94673
282,508,Most Frequent Subtree Sum,61.3%,Medium,1.19191
283,516,Longest Palindromic Subsequence,58.0%,Medium,1.26928
284,518,Coin Change 2,55.1%,Medium,5.69381
285,523,Continuous Subarray Sum,26.1%,Medium,0.537933
286,525,Contiguous Array,44.5%,Medium,0.790655
287,526,Beautiful Arrangement,63.4%,Medium,0.645073
288,1721,Swapping Nodes in a Linked List,66.1%,Medium,2.57414
289,532,K-diff Pairs in an Array,36.9%,Medium,1.40413
290,535,Encode and Decode TinyURL,83.0%,Medium,3.29478
291,538,Convert BST to Greater Tree,61.6%,Medium,2.40917
292,540,Single Element in a Sorted Array,58.1%,Medium,6.93616
293,542,01 Matrix,43.1%,Medium,1.9118
294,543,Diameter of Binary Tree,52.3%,Easy,0.918545
295,545,Boundary of Binary Tree,41.9%,Medium,2.37737
296,547,Number of Provinces,62.2%,Medium,51.5977
297,1730,Shortest Path to Get Food,54.4%,Medium,31.7973
298,556,Next Greater Element III,33.4%,Medium,1.65831
299,560,Subarray Sum Equals K,43.7%,Medium,5.12241
300,572,Subtree of Another Tree,44.9%,Easy,4.63076
301,581,Shortest Unsorted Continuous Subarray,33.6%,Medium,0.651572
302,582,Kill Process,65.2%,Medium,3.80921
303,588,Design In-Memory File System,47.4%,Hard,22.7483
304,603,Consecutive Available Seats,67.3%,Easy,2.39847
305,608,Tree Node,70.8%,Medium,1.74292
306,617,Merge Two Binary Trees,76.9%,Easy,0.14584
307,621,Task Scheduler,53.7%,Medium,0.860759
308,628,Maximum Product of Three Numbers,46.7%,Easy,2.90059
309,630,Course Schedule III,35.3%,Hard,2.0192
310,632,Smallest Range Covering Elements from K Lists,56.7%,Hard,17.8559
311,642,Design Search Autocomplete System,47.6%,Hard,41.2017
312,646,Maximum Length of Pair Chain,54.8%,Medium,0.999259
313,653,Two Sum IV - Input is a BST,58.0%,Easy,0.295343
