,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,0.201411
1,17,Letter Combinations of a Phone Number,51.9%,Medium,5.49263
2,41,First Missing Positive,35.2%,Hard,2.49819
3,48,Rotate Image,64.0%,Medium,37.2938
4,53,Maximum Subarray,48.9%,Easy,1.80594
5,56,Merge Intervals,43.2%,Medium,0.816977
6,79,Word Search,38.9%,Medium,10.7504
7,91,Decode Ways,28.9%,Medium,76.1289
8,198,House Robber,45.0%,Medium,2.33407
9,206,Reverse Linked List,68.3%,Easy,0.659211
10,212,Word Search II,38.4%,Hard,36.8349
11,215,Kth Largest Element in an Array,61.4%,Medium,1.28675
12,394,Decode String,54.6%,Medium,25.7264
13,402,Remove K Digits,28.9%,Medium,8.9699
14,423,Reconstruct Original Digits from English,51.5%,Medium,61.1649
15,468,Validate IP Address,25.8%,Medium,30.4315
16,560,Subarray Sum Equals K,43.7%,Medium,1.30802
17,809,Expressive Words,46.2%,Medium,100
18,1010,Pairs of Songs With Total Durations Divisible by 60,51.9%,Medium,7.24623
