,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,1.28094
1,2,Add Two Numbers,37.2%,Medium,1.30579
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,1.45162
3,4,Median of Two Sorted Arrays,32.9%,Hard,2.18799
4,5,Longest Palindromic Substring,31.4%,Medium,0.421692
5,6,Zigzag Conversion,40.0%,Medium,0.392741
6,8,String to Integer (atoi),16.1%,Medium,13.8298
7,9,Palindrome Number,51.6%,Easy,0.0390821
8,10,Regular Expression Matching,28.0%,Hard,2.41461
9,11,Container With Most Water,53.2%,Medium,0.125225
10,13,Roman to Integer,57.7%,Easy,0.230917
11,14,Longest Common Prefix,38.1%,Easy,1.74916
12,15,3Sum,29.8%,Medium,1.31966
13,16,3Sum Closest,46.9%,Medium,6.38789
14,17,Letter Combinations of a Phone Number,51.9%,Medium,0.793837
15,19,Remove Nth Node From End of List,37.1%,Medium,7.84504
16,20,Valid Parentheses,40.5%,Easy,2.0315
17,21,Merge Two Sorted Lists,58.3%,Easy,0.615475
18,22,Generate Parentheses,68.3%,Medium,3.31466
19,23,Merge k Sorted Lists,45.0%,Hard,19.4662
20,24,Swap Nodes in Pairs,55.9%,Medium,0.849731
21,25,Reverse Nodes in k-Group,48.7%,Hard,0.841034
22,26,Remove Duplicates from Sorted Array,47.7%,Easy,1.10708
23,29,Divide Two Integers,17.0%,Medium,18.6551
24,31,Next Permutation,34.7%,Medium,48.7821
25,32,Longest Valid Parentheses,30.7%,Hard,0.890939
26,33,Search in Rotated Sorted Array,37.0%,Medium,2.39698
27,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,10.7883
28,35,Search Insert Position,42.5%,Easy,0.0924715
29,36,Valid Sudoku,53.4%,Medium,0.256449
30,38,Count and Say,47.6%,Medium,0.25146
31,39,Combination Sum,62.5%,Medium,11.0235
32,40,Combination Sum II,51.5%,Medium,0.442598
33,41,First Missing Positive,35.2%,Hard,1.42991
34,42,Trapping Rain Water,54.2%,Hard,30.1837
35,43,Multiply Strings,36.2%,Medium,8.72071
36,44,Wildcard Matching,26.1%,Hard,3.23265
37,45,Jump Game II,35.1%,Medium,0.106242
38,46,Permutations,69.9%,Medium,1.08047
39,48,Rotate Image,64.0%,Medium,0.615195
40,49,Group Anagrams,62.3%,Medium,1.29389
41,50,"Pow(x, n)",31.6%,Medium,38.0414
42,51,N-Queens,54.6%,Hard,0.388931
43,53,Maximum Subarray,48.9%,Easy,0.116617
44,54,Spiral Matrix,39.3%,Medium,1.24032
45,55,Jump Game,36.8%,Medium,0.106371
46,56,Merge Intervals,43.2%,Medium,31.7264
47,57,Insert Interval,36.6%,Medium,0.212986
48,62,Unique Paths,58.1%,Medium,3.02804
49,63,Unique Paths II,36.6%,Medium,0.219507
50,65,Valid Number,17.3%,Hard,38.2197
51,66,Plus One,42.1%,Easy,0.316404
52,67,Add Binary,48.9%,Easy,19.4783
53,68,Text Justification,32.9%,Hard,2.09984
54,70,Climbing Stairs,50.0%,Easy,0.0296152
55,71,Simplify Path,36.4%,Medium,45.7716
56,73,Set Matrix Zeroes,46.7%,Medium,1.72795
57,74,Search a 2D Matrix,40.7%,Medium,0.602346
58,75,Sort Colors,52.8%,Medium,0.194578
59,76,Minimum Window Substring,37.9%,Hard,18.681
60,78,Subsets,68.4%,Medium,11.0585
61,79,Word Search,38.9%,Medium,0.511142
62,81,Search in Rotated Sorted Array II,34.2%,Medium,0.322295
63,83,Remove Duplicates from Sorted List,47.8%,Easy,0.105905
64,84,Largest Rectangle in Histogram,39.0%,Hard,0.541501
65,88,Merge Sorted Array,42.2%,Easy,21.5062
66,90,Subsets II,51.5%,Medium,0.530121
67,92,Reverse Linked List II,42.5%,Medium,1.0712
68,93,Restore IP Addresses,39.9%,Medium,0.489442
69,94,Binary Tree Inorder Traversal,68.8%,Easy,0.0615334
70,98,Validate Binary Search Tree,29.7%,Medium,1.55264
71,101,Symmetric Tree,50.2%,Easy,0.184975
72,102,Binary Tree Level Order Traversal,59.2%,Medium,1.49698
73,103,Binary Tree Zigzag Level Order Traversal,52.1%,Medium,1.7581
74,108,Convert Sorted Array to Binary Search Tree,64.1%,Easy,0.600782
75,109,Convert Sorted List to Binary Search Tree,53.9%,Medium,1.95638
76,110,Balanced Binary Tree,45.8%,Easy,0.39756
77,112,Path Sum,44.1%,Easy,0.438441
78,113,Path Sum II,52.3%,Medium,1.98874
79,114,Flatten Binary Tree to Linked List,55.7%,Medium,11.4641
80,116,Populating Next Right Pointers in Each Node,53.1%,Medium,3.61212
81,117,Populating Next Right Pointers in Each Node II,44.5%,Medium,1.03151
82,121,Best Time to Buy and Sell Stock,52.9%,Easy,1.38534
83,124,Binary Tree Maximum Path Sum,36.8%,Hard,21.268
84,125,Valid Palindrome,39.9%,Easy,28.0046
85,126,Word Ladder II,25.8%,Hard,6.76599
86,127,Word Ladder,33.7%,Hard,13.1879
87,128,Longest Consecutive Sequence,48.0%,Medium,1.87027
88,129,Sum Root to Leaf Numbers,53.8%,Medium,17.076
89,133,Clone Graph,43.4%,Medium,20.3959
90,136,Single Number,67.8%,Easy,0.0650866
91,138,Copy List with Random Pointer,44.5%,Medium,29.7221
92,139,Word Break,43.3%,Medium,30.0086
93,140,Word Break II,39.2%,Hard,41.6107
94,146,LRU Cache,38.3%,Medium,26.4706
