,#,Title,Acceptance,Difficulty,Frequency
0,68,Text Justification,32.9%,Hard,16.5849
1,79,Word Search,38.9%,Medium,0.196026
2,91,Decode Ways,28.9%,Medium,0.495961
3,210,Course Schedule II,44.9%,Medium,1.83287
4,224,Basic Calculator,39.5%,Hard,2.40895
5,236,Lowest Common Ancestor of a Binary Tree,52.7%,Medium,0.141333
6,718,Maximum Length of Repeated Subarray,51.2%,Medium,63.129
7,759,Employee Free Time,70.2%,Hard,8.55333
8,811,Subdomain Visit Count,73.1%,Medium,100
9,1143,Longest Common Subsequence,58.8%,Medium,0.244015
10,1604,Alert Using Same Key-Card Three or More Times in a One Hour Period,45.6%,Medium,53.4559
