,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,0.320424
1,3,Longest Substring Without Repeating Characters,32.4%,Medium,0.64677
2,104,Maximum Depth of Binary Tree,70.1%,Easy,1.51176
3,110,Balanced Binary Tree,45.8%,Easy,4.36469
4,215,Kth Largest Element in an Array,61.4%,Medium,2.04709
5,242,Valid Anagram,60.2%,Easy,1.85993
6,286,Walls and Gates,57.8%,Medium,14.0079
7,346,Moving Average from Data Stream,74.9%,Easy,100
8,383,Ransom Note,54.6%,Easy,20.3365
9,480,Sliding Window Median,40.2%,Hard,61.9571
10,1152,Analyze User Website Visit Pattern,43.3%,Medium,23.9143
