,#,Title,Acceptance,Difficulty,Frequency
0,5,Longest Palindromic Substring,31.4%,Medium,1.15493
1,42,Trapping Rain Water,54.2%,Hard,1.96532
2,54,Spiral Matrix,39.3%,Medium,3.42675
3,179,Largest Number,32.0%,Medium,11.0191
4,543,Diameter of Binary Tree,52.3%,Easy,1.41377
5,560,Subarray Sum Equals K,43.7%,Medium,2.07265
6,588,Design In-Memory File System,47.4%,Hard,64.158
7,976,Largest Perimeter Triangle,59.8%,Easy,42.2209
8,1239,Maximum Length of a Concatenated String with Unique Characters,50.6%,Medium,100
9,1304,Find N Unique Integers Sum up to Zero,76.6%,Easy,77.7654
10,1578,Minimum Deletion Cost to Avoid Repeating Letters,61.3%,Medium,19.9864
