,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,0.473937
1,2,Add Two Numbers,37.2%,Medium,1.02483
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,0.731548
3,7,Reverse Integer,26.2%,Medium,0.134443
4,13,Roman to Integer,57.7%,Easy,0.296877
5,14,Longest Common Prefix,38.1%,Easy,0.302828
6,15,3Sum,29.8%,Medium,0.289329
7,16,3Sum Closest,46.9%,Medium,0.835451
8,17,Letter Combinations of a Phone Number,51.9%,Medium,0.456288
9,22,Generate Parentheses,68.3%,Medium,0.490934
10,23,Merge k Sorted Lists,45.0%,Hard,0.466713
11,25,Reverse Nodes in k-Group,48.7%,Hard,0.483621
12,26,Remove Duplicates from Sorted Array,47.7%,Easy,0.102388
13,28,Implement strStr(),35.7%,Easy,0.451225
14,29,Divide Two Integers,17.0%,Medium,0.372107
15,31,Next Permutation,34.7%,Medium,0.493333
16,33,Search in Rotated Sorted Array,37.0%,Medium,0.133208
17,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,1.03364
18,36,Valid Sudoku,53.4%,Medium,0.260635
19,37,Sudoku Solver,51.5%,Hard,0.78239
20,45,Jump Game II,35.1%,Medium,0.242533
21,48,Rotate Image,64.0%,Medium,0.226097
22,49,Group Anagrams,62.3%,Medium,0.187314
23,53,Maximum Subarray,48.9%,Easy,0.415637
24,55,Jump Game,36.8%,Medium,0.242827
25,56,Merge Intervals,43.2%,Medium,3.57739
26,57,Insert Interval,36.6%,Medium,1.09051
27,64,Minimum Path Sum,58.1%,Medium,2.4476
28,67,Add Binary,48.9%,Easy,0.310356
29,68,Text Justification,32.9%,Hard,9.17918
30,69,Sqrt(x),36.0%,Easy,0.541328
31,79,Word Search,38.9%,Medium,0.130357
32,88,Merge Sorted Array,42.2%,Easy,0.121317
33,97,Interleaving String,34.1%,Medium,4.65418
34,105,Construct Binary Tree from Preorder and Inorder Traversal,55.4%,Medium,0.382023
35,118,Pascal's Triangle,60.4%,Easy,0.206876
36,121,Best Time to Buy and Sell Stock,52.9%,Easy,0.303943
37,122,Best Time to Buy and Sell Stock II,60.4%,Medium,0.459391
38,126,Word Ladder II,25.8%,Hard,3.031
39,127,Word Ladder,33.7%,Hard,10.3444
40,139,Word Break,43.3%,Medium,2.39532
41,140,Word Break II,39.2%,Hard,0.596397
42,146,LRU Cache,38.3%,Medium,0.22159
43,151,Reverse Words in a String,26.8%,Medium,0.147484
44,162,Find Peak Element,45.0%,Medium,0.99781
45,173,Binary Search Tree Iterator,63.3%,Medium,1.13674
46,174,Dungeon Game,35.6%,Hard,13.7499
47,200,Number of Islands,52.0%,Medium,0.313392
48,205,Isomorphic Strings,41.6%,Easy,0.583082
49,210,Course Schedule II,44.9%,Medium,0.308374
50,212,Word Search II,38.4%,Hard,14.9174
51,215,Kth Largest Element in an Array,61.4%,Medium,0.189681
52,224,Basic Calculator,39.5%,Hard,0.913165
53,227,Basic Calculator II,40.0%,Medium,1.69355
54,235,Lowest Common Ancestor of a Binary Search Tree,54.9%,Easy,0.758292
55,239,Sliding Window Maximum,45.7%,Hard,0.315335
56,243,Shortest Word Distance,63.4%,Easy,1.3437
57,253,Meeting Rooms II,48.4%,Medium,0.319778
58,262,Trips and Users,37.0%,Hard,4.19424
59,269,Alien Dictionary,34.3%,Hard,0.740891
60,273,Integer to English Words,29.0%,Hard,0.928507
61,286,Walls and Gates,57.8%,Medium,1.29796
62,287,Find the Duplicate Number,58.3%,Medium,0.271278
63,295,Find Median from Data Stream,49.5%,Hard,1.9713
64,297,Serialize and Deserialize Binary Tree,52.1%,Hard,3.83217
65,305,Number of Islands II,39.3%,Hard,11.6405
66,315,Count of Smaller Numbers After Self,42.0%,Hard,1.11372
67,332,Reconstruct Itinerary,39.4%,Hard,6.53101
68,340,Longest Substring with At Most K Distinct Characters,46.7%,Medium,0.837367
69,341,Flatten Nested List Iterator,57.5%,Medium,2.66312
70,346,Moving Average from Data Stream,74.9%,Easy,1.19767
71,347,Top K Frequent Elements,63.7%,Medium,0.93712
72,354,Russian Doll Envelopes,39.2%,Hard,4.45566
73,380,Insert Delete GetRandom O(1),50.7%,Medium,0.189098
74,388,Longest Absolute File Path,44.7%,Medium,2.26054
75,394,Decode String,54.6%,Medium,8.33003
76,399,Evaluate Division,55.9%,Medium,12.7894
77,416,Partition Equal Subset Sum,45.7%,Medium,0.55459
78,418,Sentence Screen Fitting,34.8%,Medium,1.76141
79,420,Strong Password Checker,13.9%,Hard,6.81245
80,424,Longest Repeating Character Replacement,49.8%,Medium,2.95747
81,465,Optimal Account Balancing,48.6%,Hard,40.9274
82,493,Reverse Pairs,28.8%,Hard,2.10924
83,494,Target Sum,45.2%,Medium,0.635031
84,502,IPO,43.0%,Hard,24.9436
85,518,Coin Change 2,55.1%,Medium,0.68035
86,529,Minesweeper,63.4%,Medium,2.19546
87,542,01 Matrix,43.1%,Medium,0.491538
88,545,Boundary of Binary Tree,41.9%,Medium,2.43367
89,546,Remove Boxes,47.2%,Hard,14.2022
90,547,Number of Provinces,62.2%,Medium,0.326877
91,621,Task Scheduler,53.7%,Medium,3.4428
92,628,Maximum Product of Three Numbers,46.7%,Easy,1.08335
93,631,Design Excel Sum Formula,37.0%,Hard,9.19591
94,642,Design Search Autocomplete System,47.6%,Hard,5.42157
95,655,Print Binary Tree,57.9%,Medium,12.768
96,658,Find K Closest Elements,43.7%,Medium,0.763437
97,679,24 Game,48.1%,Hard,4.46609
98,694,Number of Distinct Islands,59.0%,Medium,2.27131
99,724,Find Pivot Index,49.2%,Easy,0.641009
100,735,Asteroid Collision,44.1%,Medium,0.620159
101,739,Daily Temperatures,66.1%,Medium,0.605872
102,746,Min Cost Climbing Stairs,55.8%,Easy,0.288934
103,752,Open the Lock,55.0%,Medium,1.98516
104,759,Employee Free Time,70.2%,Hard,5.89577
105,428,Serialize and Deserialize N-ary Tree,63.4%,Hard,3.93997
106,764,Largest Plus Sign,48.5%,Medium,17.7051
107,427,Construct Quad Tree,63.9%,Medium,81.4818
108,767,Reorganize String,51.2%,Medium,0.940182
109,773,Sliding Puzzle,62.5%,Hard,18.5048
110,815,Bus Routes,44.6%,Hard,100
111,855,Exam Room,43.5%,Medium,14.2081
112,871,Minimum Number of Refueling Stops,35.2%,Hard,12.1955
113,528,Random Pick with Weight,45.6%,Medium,0.57822
114,907,Sum of Subarray Minimums,33.0%,Medium,1.717
115,909,Snakes and Ladders,39.6%,Medium,5.45605
116,947,Most Stones Removed with Same Row or Column,56.2%,Medium,2.32249
117,953,Verifying an Alien Dictionary,52.2%,Easy,1.11648
118,973,K Closest Points to Origin,65.7%,Medium,0.621024
119,977,Squares of a Sorted Array,71.5%,Easy,0.120386
120,986,Interval List Intersections,69.7%,Medium,21.5734
121,992,Subarrays with K Different Integers,52.5%,Hard,2.40451
122,1182,Shortest Distance to Target Color,54.3%,Medium,6.57734
123,1052,Grumpy Bookstore Owner,56.3%,Medium,12.3271
124,1091,Shortest Path in Binary Matrix,41.3%,Medium,1.6306
125,1146,Snapshot Array,37.1%,Medium,1.23331
126,1218,Longest Arithmetic Subsequence of Given Difference,48.7%,Medium,2.82073
127,1281,Subtract the Product and Sum of Digits of an Integer,85.7%,Easy,3.12825
128,1335,Minimum Difficulty of a Job Schedule,56.8%,Hard,8.89768
