,#,Title,Acceptance,Difficulty,Frequency
0,4,Median of Two Sorted Arrays,32.9%,Hard,2.89845
1,20,Valid Parentheses,40.5%,Easy,10.2203
2,23,Merge k Sorted Lists,45.0%,Hard,1.58157
3,54,Spiral Matrix,39.3%,Medium,5.45018
4,57,Insert Interval,36.6%,Medium,8.30347
5,72,Edit Distance,49.2%,Hard,4.22835
6,98,Validate Binary Search Tree,29.7%,Medium,1.09902
7,127,Word Ladder,33.7%,Hard,29.3497
8,146,LRU Cache,38.3%,Medium,6.72562
9,207,Course Schedule,44.7%,Medium,1.84613
10,236,Lowest Common Ancestor of a Binary Tree,52.7%,Medium,6.414
11,362,Design Hit Counter,66.5%,Medium,100
12,387,First Unique Character in a String,55.6%,Easy,13.6715
13,487,Max Consecutive Ones II,48.2%,Medium,15.8846
14,503,Next Greater Element II,60.6%,Medium,11.8056
15,529,Minesweeper,63.4%,Medium,64.6749
16,509,Fibonacci Number,67.8%,Easy,2.64959
