,#,Title,Acceptance,Difficulty,FrequencyFrequency of problems that appear in real interviews,Frequency
0,49,Group Anagrams,62.3%,Medium,,0.179296
1,122,Best Time to Buy and Sell Stock II,60.4%,Medium,,0.195696
2,695,Max Area of Island,68.0%,Medium,,0.675783
3,735,Asteroid Collision,44.1%,Medium,,0.593613
4,739,Daily Temperatures,66.1%,Medium,,0.579937
5,829,Consecutive Numbers Sum,40.2%,Hard,,2.02119
6,943,Find the Shortest Superstring,45.6%,Hard,,51.3121
7,953,Verifying an Alien Dictionary,52.2%,Easy,,0.476517
8,1004,Max Consecutive Ones III,61.6%,Medium,,2.62427
9,1011,Capacity To Ship Packages Within D Days,61.7%,Medium,,0.961577
10,1192,Critical Connections in a Network,51.9%,Hard,,1.77368
11,1405,Longest Happy String,54.4%,Medium,,2.3688
12,1326,Minimum Number of Taps to Open to Water a Garden,48.0%,Hard,,1.82877
13,1473,Paint House III,49.7%,Hard,,100
