,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,10.5271
1,2,Add Two Numbers,37.2%,Medium,3.13195
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,1.61253
3,4,Median of Two Sorted Arrays,32.9%,Hard,4.48358
4,5,Longest Palindromic Substring,31.4%,Medium,0.385131
5,7,Reverse Integer,26.2%,Medium,3.5774
6,8,String to Integer (atoi),16.1%,Medium,0.482422
7,9,Palindrome Number,51.6%,Easy,0.0800861
8,10,Regular Expression Matching,28.0%,Hard,2.5602
9,11,Container With Most Water,53.2%,Medium,0.71091
10,12,Integer to Roman,58.4%,Medium,0.815707
11,14,Longest Common Prefix,38.1%,Easy,0.482664
12,15,3Sum,29.8%,Medium,0.792901
13,16,3Sum Closest,46.9%,Medium,1.32872
14,17,Letter Combinations of a Phone Number,51.9%,Medium,0.726803
15,18,4Sum,36.7%,Medium,1.75659
16,20,Valid Parentheses,40.5%,Easy,0.679823
17,21,Merge Two Sorted Lists,58.3%,Easy,0.178486
18,22,Generate Parentheses,68.3%,Medium,0.440686
19,23,Merge k Sorted Lists,45.0%,Hard,0.743377
20,24,Swap Nodes in Pairs,55.9%,Medium,0.280992
21,25,Reverse Nodes in k-Group,48.7%,Hard,1.72343
22,26,Remove Duplicates from Sorted Array,47.7%,Easy,0.206656
23,27,Remove Element,50.4%,Easy,0.607032
24,28,Implement strStr(),35.7%,Easy,0.180255
25,31,Next Permutation,34.7%,Medium,0.442839
26,32,Longest Valid Parentheses,30.7%,Hard,0.460087
27,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,1.80921
28,35,Search Insert Position,42.5%,Easy,0.189491
29,37,Sudoku Solver,51.5%,Hard,4.29775
30,38,Count and Say,47.6%,Medium,0.515287
31,41,First Missing Positive,35.2%,Hard,2.04541
32,42,Trapping Rain Water,54.2%,Hard,1.9891
33,43,Multiply Strings,36.2%,Medium,1.60711
34,44,Wildcard Matching,26.1%,Hard,1.70476
35,45,Jump Game II,35.1%,Medium,0.489069
36,46,Permutations,69.9%,Medium,0.410985
37,48,Rotate Image,64.0%,Medium,0.808949
38,49,Group Anagrams,62.3%,Medium,0.377857
39,50,"Pow(x, n)",31.6%,Medium,0.779032
40,53,Maximum Subarray,48.9%,Easy,1.20297
41,54,Spiral Matrix,39.3%,Medium,0.28616
42,56,Merge Intervals,43.2%,Medium,5.87817
43,62,Unique Paths,58.1%,Medium,6.20499
44,63,Unique Paths II,36.6%,Medium,0.449809
45,64,Minimum Path Sum,58.1%,Medium,5.51572
46,66,Plus One,42.1%,Easy,1.01093
47,67,Add Binary,48.9%,Easy,0.278591
48,68,Text Justification,32.9%,Hard,55.361
49,69,Sqrt(x),36.0%,Easy,0.216306
50,70,Climbing Stairs,50.0%,Easy,0.965863
51,71,Simplify Path,36.4%,Medium,4.14828
52,72,Edit Distance,49.2%,Hard,1.97673
53,74,Search a 2D Matrix,40.7%,Medium,0.198691
54,76,Minimum Window Substring,37.9%,Hard,1.22703
55,78,Subsets,68.4%,Medium,0.235002
56,79,Word Search,38.9%,Medium,0.117015
57,84,Largest Rectangle in Histogram,39.0%,Hard,3.04747
58,85,Maximal Rectangle,40.9%,Hard,6.90504
59,91,Decode Ways,28.9%,Medium,1.83615
60,92,Reverse Linked List II,42.5%,Medium,0.554071
61,93,Restore IP Addresses,39.9%,Medium,3.94316
62,97,Interleaving String,34.1%,Medium,1.06373
63,98,Validate Binary Search Tree,29.7%,Medium,0.806566
64,100,Same Tree,54.9%,Easy,0.428619
65,101,Symmetric Tree,50.2%,Easy,0.168673
66,103,Binary Tree Zigzag Level Order Traversal,52.1%,Medium,1.19313
67,104,Maximum Depth of Binary Tree,70.1%,Easy,0.501859
68,110,Balanced Binary Tree,45.8%,Easy,1.44299
69,114,Flatten Binary Tree to Linked List,55.7%,Medium,1.67309
70,118,Pascal's Triangle,60.4%,Easy,0.185702
71,120,Triangle,48.7%,Medium,0.46661
72,121,Best Time to Buy and Sell Stock,52.9%,Easy,0.612658
73,122,Best Time to Buy and Sell Stock II,60.4%,Medium,0.412371
74,124,Binary Tree Maximum Path Sum,36.8%,Hard,2.8497
75,127,Word Ladder,33.7%,Hard,1.55509
76,128,Longest Consecutive Sequence,48.0%,Medium,4.97223
77,130,Surrounded Regions,31.7%,Medium,7.02071
78,133,Clone Graph,43.4%,Medium,0.295166
79,134,Gas Station,43.2%,Medium,1.52697
