,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,4.77718
1,2,Add Two Numbers,37.2%,Medium,5.00861
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,8.67819
3,4,Median of Two Sorted Arrays,32.9%,Hard,6.20026
4,5,Longest Palindromic Substring,31.4%,Medium,8.24654
5,6,Zigzag Conversion,40.0%,Medium,0.495931
6,7,Reverse Integer,26.2%,Medium,0.666151
7,8,String to Integer (atoi),16.1%,Medium,4.66431
8,9,Palindrome Number,51.6%,Easy,0.442378
9,10,Regular Expression Matching,28.0%,Hard,1.2868
10,11,Container With Most Water,53.2%,Medium,3.88434
11,12,Integer to Roman,58.4%,Medium,4.44899
12,13,Roman to Integer,57.7%,Easy,1.46726
13,14,Longest Common Prefix,38.1%,Easy,1.04127
14,15,3Sum,29.8%,Medium,1.80712
15,17,Letter Combinations of a Phone Number,51.9%,Medium,18.8546
16,19,Remove Nth Node From End of List,37.1%,Medium,2.29302
17,20,Valid Parentheses,40.5%,Easy,5.75679
18,21,Merge Two Sorted Lists,58.3%,Easy,2.20311
19,22,Generate Parentheses,68.3%,Medium,3.28059
20,23,Merge k Sorted Lists,45.0%,Hard,10.432
21,24,Swap Nodes in Pairs,55.9%,Medium,1.54672
22,25,Reverse Nodes in k-Group,48.7%,Hard,19.8967
23,26,Remove Duplicates from Sorted Array,47.7%,Easy,2.01738
24,28,Implement strStr(),35.7%,Easy,3.92667
25,29,Divide Two Integers,17.0%,Medium,1.03678
26,30,Substring with Concatenation of All Words,27.3%,Hard,1.81648
27,31,Next Permutation,34.7%,Medium,2.43079
28,32,Longest Valid Parentheses,30.7%,Hard,2.52471
29,33,Search in Rotated Sorted Array,37.0%,Medium,20.0796
30,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,0.822783
31,36,Valid Sudoku,53.4%,Medium,5.07335
32,37,Sudoku Solver,51.5%,Hard,5.94328
33,38,Count and Say,47.6%,Medium,0.712581
34,39,Combination Sum,62.5%,Medium,0.662897
35,41,First Missing Positive,35.2%,Hard,7.1104
36,42,Trapping Rain Water,54.2%,Hard,2.75068
37,43,Multiply Strings,36.2%,Medium,3.45446
38,44,Wildcard Matching,26.1%,Hard,15.8254
39,45,Jump Game II,35.1%,Medium,1.1997
40,46,Permutations,69.9%,Medium,1.00851
41,48,Rotate Image,64.0%,Medium,1.74332
42,49,Group Anagrams,62.3%,Medium,15.7237
43,50,"Pow(x, n)",31.6%,Medium,1.67901
44,51,N-Queens,54.6%,Hard,6.72576
45,53,Maximum Subarray,48.9%,Easy,2.47654
46,54,Spiral Matrix,39.3%,Medium,40.2651
47,55,Jump Game,36.8%,Medium,0.134064
48,56,Merge Intervals,43.2%,Medium,36.8497
49,57,Insert Interval,36.6%,Medium,0.603553
50,61,Rotate List,33.0%,Medium,1.55669
51,62,Unique Paths,58.1%,Medium,0.293834
52,63,Unique Paths II,36.6%,Medium,0.622033
53,66,Plus One,42.1%,Easy,0.896615
54,68,Text Justification,32.9%,Hard,0.972409
55,69,Sqrt(x),36.0%,Easy,1.19199
56,70,Climbing Stairs,50.0%,Easy,0.75317
57,72,Edit Distance,49.2%,Hard,4.24391
58,73,Set Matrix Zeroes,46.7%,Medium,4.89662
59,74,Search a 2D Matrix,40.7%,Medium,0.617328
60,75,Sort Colors,52.8%,Medium,3.40476
61,79,Word Search,38.9%,Medium,11.1565
62,80,Remove Duplicates from Sorted Array II,47.8%,Medium,3.08555
63,81,Search in Rotated Sorted Array II,34.2%,Medium,0.913309
64,84,Largest Rectangle in Histogram,39.0%,Hard,4.21428
65,88,Merge Sorted Array,42.2%,Easy,2.38682
66,91,Decode Ways,28.9%,Medium,0.920393
67,92,Reverse Linked List II,42.5%,Medium,0.766215
