,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,5.45448
1,3,Longest Substring Without Repeating Characters,32.4%,Medium,15.8273
2,6,Zigzag Conversion,40.0%,Medium,46.7191
3,15,3Sum,29.8%,Medium,4.7909
4,20,Valid Parentheses,40.5%,Easy,2.48426
5,33,Search in Rotated Sorted Array,37.0%,Medium,3.91873
6,49,Group Anagrams,62.3%,Medium,12.3833
7,56,Merge Intervals,43.2%,Medium,7.96518
8,83,Remove Duplicates from Sorted List,47.8%,Easy,7.11225
9,146,LRU Cache,38.3%,Medium,78.8295
10,162,Find Peak Element,45.0%,Medium,7.36728
11,189,Rotate Array,37.2%,Medium,3.84579
12,202,Happy Number,52.2%,Easy,100
13,225,Implement Stack using Queues,50.4%,Easy,62.2334
14,234,Palindrome Linked List,44.6%,Easy,7.38766
15,238,Product of Array Except Self,62.7%,Medium,11.6575
16,240,Search a 2D Matrix II,46.9%,Medium,14.2128
17,387,First Unique Character in a String,55.6%,Easy,5.91831
18,438,Find All Anagrams in a String,46.5%,Medium,13.4301
19,557,Reverse Words in a String III,75.5%,Easy,7.84487
20,560,Subarray Sum Equals K,43.7%,Medium,12.7466
21,572,Subtree of Another Tree,44.9%,Easy,13.0323
22,658,Find K Closest Elements,43.7%,Medium,50.2819
23,811,Subdomain Visit Count,73.1%,Medium,37.9767
24,986,Interval List Intersections,69.7%,Medium,16.8063
