,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,4.84724
1,3,Longest Substring Without Repeating Characters,32.4%,Medium,9.78405
2,4,Median of Two Sorted Arrays,32.9%,Hard,62.1465
3,5,Longest Palindromic Substring,31.4%,Medium,17.5411
4,14,Longest Common Prefix,38.1%,Easy,49.4399
5,15,3Sum,29.8%,Medium,73.7433
6,20,Valid Parentheses,40.5%,Easy,13.7868
7,21,Merge Two Sorted Lists,58.3%,Easy,14.4361
8,22,Generate Parentheses,68.3%,Medium,35.6732
9,28,Implement strStr(),35.7%,Easy,32.7841
10,31,Next Permutation,34.7%,Medium,35.8478
11,32,Longest Valid Parentheses,30.7%,Hard,83.6789
12,45,Jump Game II,35.1%,Medium,88.95
13,49,Group Anagrams,62.3%,Medium,30.5811
14,53,Maximum Subarray,48.9%,Easy,24.4627
15,56,Merge Intervals,43.2%,Medium,19.6617
16,121,Best Time to Buy and Sell Stock,52.9%,Easy,49.622
17,155,Min Stack,48.8%,Easy,21.4983
18,200,Number of Islands,52.0%,Medium,22.7605
19,202,Happy Number,52.2%,Easy,70.5063
20,347,Top K Frequent Elements,63.7%,Medium,38.3899
21,560,Subarray Sum Equals K,43.7%,Medium,31.4795
22,912,Sort an Array,62.8%,Medium,100
23,1249,Minimum Remove to Make Valid Parentheses,65.0%,Medium,53.7718
