,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,4.14508
1,20,Valid Parentheses,40.5%,Easy,5.23701
2,42,Trapping Rain Water,54.2%,Hard,19.9434
3,54,Spiral Matrix,39.3%,Medium,8.77383
4,75,Sort Colors,52.8%,Medium,0.769235
5,78,Subsets,68.4%,Medium,7.21171
6,121,Best Time to Buy and Sell Stock,52.9%,Easy,1.18307
7,122,Best Time to Buy and Sell Stock II,60.4%,Medium,3.1767
8,134,Gas Station,43.2%,Medium,5.25393
9,160,Intersection of Two Linked Lists,47.5%,Easy,4.39882
10,199,Binary Tree Right Side View,58.2%,Medium,7.29097
11,215,Kth Largest Element in an Array,61.4%,Medium,2.94755
12,445,Add Two Numbers II,57.7%,Medium,14.7669
13,749,Contain Virus,49.4%,Hard,100
14,994,Rotting Oranges,51.1%,Medium,2.51297
15,1234,Replace the Substring for Balanced String,35.4%,Medium,0
16,1857,Largest Color Value in a Directed Graph,37.7%,Hard,59.9717
