,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,91.8589
1,2,Add Two Numbers,37.2%,Medium,76.5488
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,62.7852
3,4,Median of Two Sorted Arrays,32.9%,Hard,68.0638
4,5,Longest Palindromic Substring,31.4%,Medium,83.2443
5,6,Zigzag Conversion,40.0%,Medium,28.6328
6,7,Reverse Integer,26.2%,Medium,29.5315
7,8,String to Integer (atoi),16.1%,Medium,41.125
8,9,Palindrome Number,51.6%,Easy,15.4603
9,10,Regular Expression Matching,28.0%,Hard,39.5052
10,11,Container With Most Water,53.2%,Medium,56.0907
11,12,Integer to Roman,58.4%,Medium,62.7261
12,13,Roman to Integer,57.7%,Easy,40.6371
13,14,Longest Common Prefix,38.1%,Easy,28.5587
14,15,3Sum,29.8%,Medium,53.6085
15,16,3Sum Closest,46.9%,Medium,34.0325
16,17,Letter Combinations of a Phone Number,51.9%,Medium,64.3714
17,18,4Sum,36.7%,Medium,38.2777
18,19,Remove Nth Node From End of List,37.1%,Medium,26.811
19,20,Valid Parentheses,40.5%,Easy,70.0276
20,21,Merge Two Sorted Lists,58.3%,Easy,74.5547
21,22,Generate Parentheses,68.3%,Medium,48.0555
22,23,Merge k Sorted Lists,45.0%,Hard,80.9935
23,24,Swap Nodes in Pairs,55.9%,Medium,27.7307
24,25,Reverse Nodes in k-Group,48.7%,Hard,56.5845
25,26,Remove Duplicates from Sorted Array,47.7%,Easy,16.0827
26,27,Remove Element,50.4%,Easy,3.07587
27,28,Implement strStr(),35.7%,Easy,23.6506
28,29,Divide Two Integers,17.0%,Medium,22.676
29,30,Substring with Concatenation of All Words,27.3%,Hard,23.9361
30,31,Next Permutation,34.7%,Medium,41.0001
31,32,Longest Valid Parentheses,30.7%,Hard,36.9042
32,33,Search in Rotated Sorted Array,37.0%,Medium,59.1879
33,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,22.2424
34,35,Search Insert Position,42.5%,Easy,3.23208
35,36,Valid Sudoku,53.4%,Medium,30.6034
36,37,Sudoku Solver,51.5%,Hard,30.021
37,38,Count and Say,47.6%,Medium,24.6175
38,39,Combination Sum,62.5%,Medium,29.6267
39,40,Combination Sum II,51.5%,Medium,15.9651
40,41,First Missing Positive,35.2%,Hard,46.1486
41,42,Trapping Rain Water,54.2%,Hard,84.9737
42,43,Multiply Strings,36.2%,Medium,13.6399
43,44,Wildcard Matching,26.1%,Hard,32.3697
44,45,Jump Game II,35.1%,Medium,49.3471
45,46,Permutations,69.9%,Medium,33.1546
46,47,Permutations II,52.1%,Medium,7.71885
47,48,Rotate Image,64.0%,Medium,58.0875
48,49,Group Anagrams,62.3%,Medium,60.0153
49,50,"Pow(x, n)",31.6%,Medium,35.7911
50,51,N-Queens,54.6%,Hard,35.8632
51,52,N-Queens II,64.3%,Hard,2.60518
52,53,Maximum Subarray,48.9%,Easy,54.6741
53,54,Spiral Matrix,39.3%,Medium,55.9774
54,55,Jump Game,36.8%,Medium,33.7084
55,56,Merge Intervals,43.2%,Medium,65.0709
56,57,Insert Interval,36.6%,Medium,28.1495
57,59,Spiral Matrix II,60.4%,Medium,27.6971
58,60,Permutation Sequence,40.9%,Hard,16.3838
59,61,Rotate List,33.0%,Medium,26.4891
60,62,Unique Paths,58.1%,Medium,37.3297
61,63,Unique Paths II,36.6%,Medium,31.8606
62,64,Minimum Path Sum,58.1%,Medium,46.2132
63,65,Valid Number,17.3%,Hard,9.61986
64,66,Plus One,42.1%,Easy,12.3243
65,67,Add Binary,48.9%,Easy,10.4198
66,68,Text Justification,32.9%,Hard,20.2161
67,69,Sqrt(x),36.0%,Easy,16.2839
68,70,Climbing Stairs,50.0%,Easy,27.0463
69,71,Simplify Path,36.4%,Medium,28.2175
70,72,Edit Distance,49.2%,Hard,45.1916
71,73,Set Matrix Zeroes,46.7%,Medium,24.671
72,74,Search a 2D Matrix,40.7%,Medium,34.9402
73,75,Sort Colors,52.8%,Medium,21.0965
74,76,Minimum Window Substring,37.9%,Hard,57.5983
75,77,Combinations,61.1%,Medium,5.49077
76,78,Subsets,68.4%,Medium,39.1471
77,79,Word Search,38.9%,Medium,49.4883
78,80,Remove Duplicates from Sorted Array II,47.8%,Medium,2.95545
79,81,Search in Rotated Sorted Array II,34.2%,Medium,25.5016
80,82,Remove Duplicates from Sorted List II,41.2%,Medium,17.3563
81,83,Remove Duplicates from Sorted List,47.8%,Easy,13.7612
82,84,Largest Rectangle in Histogram,39.0%,Hard,54.8384
83,85,Maximal Rectangle,40.9%,Hard,42.5487
84,86,Partition List,46.6%,Medium,27.3766
85,87,Scramble String,35.2%,Hard,7.98958
86,88,Merge Sorted Array,42.2%,Easy,29.9957
87,89,Gray Code,54.2%,Medium,18.0276
88,90,Subsets II,51.5%,Medium,17.9181
89,91,Decode Ways,28.9%,Medium,46.2312
90,92,Reverse Linked List II,42.5%,Medium,37.641
91,93,Restore IP Addresses,39.9%,Medium,39.9434
92,94,Binary Tree Inorder Traversal,68.8%,Easy,13.1901
93,95,Unique Binary Search Trees II,47.3%,Medium,15.2264
94,96,Unique Binary Search Trees,56.4%,Medium,35.7984
95,97,Interleaving String,34.1%,Medium,35.5011
96,98,Validate Binary Search Tree,29.7%,Medium,49.6464
97,99,Recover Binary Search Tree,44.8%,Medium,45.6663
98,100,Same Tree,54.9%,Easy,22.2577
99,101,Symmetric Tree,50.2%,Easy,42.1664
100,102,Binary Tree Level Order Traversal,59.2%,Medium,40.9631
101,103,Binary Tree Zigzag Level Order Traversal,52.1%,Medium,72.0336
102,104,Maximum Depth of Binary Tree,70.1%,Easy,21.6664
103,105,Construct Binary Tree from Preorder and Inorder Traversal,55.4%,Medium,52.4657
104,106,Construct Binary Tree from Inorder and Postorder Traversal,52.6%,Medium,30.0652
105,107,Binary Tree Level Order Traversal II,57.2%,Medium,16.1605
106,108,Convert Sorted Array to Binary Search Tree,64.1%,Easy,22.1853
107,109,Convert Sorted List to Binary Search Tree,53.9%,Medium,34.2294
108,110,Balanced Binary Tree,45.8%,Easy,17.5946
109,111,Minimum Depth of Binary Tree,41.3%,Easy,8.99672
110,112,Path Sum,44.1%,Easy,20.882
111,113,Path Sum II,52.3%,Medium,29.447
112,114,Flatten Binary Tree to Linked List,55.7%,Medium,23.1133
113,115,Distinct Subsequences,41.6%,Hard,12.7841
114,116,Populating Next Right Pointers in Each Node,53.1%,Medium,40.4252
115,117,Populating Next Right Pointers in Each Node II,44.5%,Medium,42.7027
116,118,Pascal's Triangle,60.4%,Easy,12.3362
117,119,Pascal's Triangle II,55.0%,Easy,3.23334
118,120,Triangle,48.7%,Medium,24.4296
119,121,Best Time to Buy and Sell Stock,52.9%,Easy,65.5305
120,122,Best Time to Buy and Sell Stock II,60.4%,Medium,40.5924
121,123,Best Time to Buy and Sell Stock III,42.2%,Hard,27.4394
122,124,Binary Tree Maximum Path Sum,36.8%,Hard,50.874
123,125,Valid Palindrome,39.9%,Easy,11.513
124,126,Word Ladder II,25.8%,Hard,74.9215
125,127,Word Ladder,33.7%,Hard,82.5376
126,128,Longest Consecutive Sequence,48.0%,Medium,32.9958
127,129,Sum Root to Leaf Numbers,53.8%,Medium,15.5242
128,130,Surrounded Regions,31.7%,Medium,25.3513
129,131,Palindrome Partitioning,55.8%,Medium,30.0205
130,132,Palindrome Partitioning II,32.8%,Hard,23.2591
131,133,Clone Graph,43.4%,Medium,32.5722
132,134,Gas Station,43.2%,Medium,47.0038
133,135,Candy,36.0%,Hard,42.8133
134,136,Single Number,67.8%,Easy,22.3984
135,137,Single Number II,55.4%,Medium,18.8655
136,138,Copy List with Random Pointer,44.5%,Medium,88.9322
137,139,Word Break,43.3%,Medium,66.8126
138,140,Word Break II,39.2%,Hard,69.6037
139,141,Linked List Cycle,44.3%,Easy,24.9901
140,142,Linked List Cycle II,41.9%,Medium,18.9787
141,143,Reorder List,44.0%,Medium,39.8953
142,144,Binary Tree Preorder Traversal,60.3%,Easy,2.15583
143,145,Binary Tree Postorder Traversal,61.2%,Easy,5.95697
144,146,LRU Cache,38.3%,Medium,96.7408
145,148,Sort List,49.0%,Medium,30.1817
146,149,Max Points on a Line,19.2%,Hard,42.7628
147,150,Evaluate Reverse Polish Notation,40.7%,Medium,38.6294
148,151,Reverse Words in a String,26.8%,Medium,15.9783
149,152,Maximum Product Subarray,33.6%,Medium,34.55
150,153,Find Minimum in Rotated Sorted Array,47.4%,Medium,30.1764
151,154,Find Minimum in Rotated Sorted Array II,43.2%,Hard,2.52861
152,155,Min Stack,48.8%,Easy,52.732
153,157,Read N Characters Given Read4,39.4%,Easy,8.61402
154,158,Read N Characters Given read4 II - Call Multiple Times,39.6%,Hard,9.90836
155,159,Longest Substring with At Most Two Distinct Characters,51.7%,Medium,13.8079
156,160,Intersection of Two Linked Lists,47.5%,Easy,31.8014
157,161,One Edit Distance,33.6%,Medium,11.7108
158,162,Find Peak Element,45.0%,Medium,22.0392
159,163,Missing Ranges,29.8%,Easy,11.9402
160,164,Maximum Gap,40.5%,Hard,16.2097
161,165,Compare Version Numbers,31.9%,Medium,66.2614
162,166,Fraction to Recurring Decimal,23.0%,Medium,24.8213
163,167,Two Sum II - Input Array Is Sorted,57.3%,Easy,20.2056
164,168,Excel Sheet Column Title,33.0%,Easy,12.5699
165,169,Majority Element,61.4%,Easy,35.7738
166,171,Excel Sheet Column Number,58.4%,Easy,18.3818
167,172,Factorial Trailing Zeroes,39.9%,Medium,9.73137
168,173,Binary Search Tree Iterator,63.3%,Medium,39.841
169,174,Dungeon Game,35.6%,Hard,1.57035
170,175,Combine Two Tables,67.8%,Easy,18.4177
171,176,Second Highest Salary,34.7%,Medium,34.9891
172,177,Nth Highest Salary,35.1%,Medium,37.0062
173,178,Rank Scores,54.8%,Medium,9.45858
174,179,Largest Number,32.0%,Medium,39.1519
175,180,Consecutive Numbers,44.4%,Medium,16.7116
176,181,Employees Earning More Than Their Managers,64.2%,Easy,26.2131
177,183,Customers Who Never Order,60.5%,Easy,7.17148
178,184,Department Highest Salary,44.0%,Medium,13.9631
179,185,Department Top Three Salaries,43.9%,Hard,41.0486
180,186,Reverse Words in a String II,49.3%,Medium,12.2673
181,187,Repeated DNA Sequences,43.0%,Medium,15.6604
182,188,Best Time to Buy and Sell Stock IV,31.8%,Hard,39.4653
183,189,Rotate Array,37.2%,Medium,11.2674
184,190,Reverse Bits,45.7%,Easy,6.50811
185,191,Number of 1 Bits,57.0%,Easy,4.24648
186,192,Word Frequency,25.5%,Medium,15.3473
187,193,Valid Phone Numbers,25.6%,Easy,28.641
188,196,Delete Duplicate Emails,49.4%,Easy,5.42262
189,197,Rising Temperature,41.5%,Easy,1.36782
190,198,House Robber,45.0%,Medium,21.2319
191,199,Binary Tree Right Side View,58.2%,Medium,41.1823
192,200,Number of Islands,52.0%,Medium,98.3681
193,201,Bitwise AND of Numbers Range,41.1%,Medium,1.32679
194,202,Happy Number,52.2%,Easy,18.3271
195,203,Remove Linked List Elements,41.3%,Easy,14.8067
196,204,Count Primes,32.8%,Medium,21.9541
197,205,Isomorphic Strings,41.6%,Easy,28.6588
198,206,Reverse Linked List,68.3%,Easy,49.8462
199,207,Course Schedule,44.7%,Medium,53.8499
200,208,Implement Trie (Prefix Tree),55.8%,Medium,30.6015
201,209,Minimum Size Subarray Sum,41.6%,Medium,20.6077
202,210,Course Schedule II,44.9%,Medium,56.9218
203,211,Design Add and Search Words Data Structure,42.5%,Medium,38.0987
204,212,Word Search II,38.4%,Hard,53.8752
205,213,House Robber II,38.8%,Medium,1.88725
206,214,Shortest Palindrome,31.3%,Hard,9.75537
207,215,Kth Largest Element in an Array,61.4%,Medium,49.6623
208,216,Combination Sum III,62.6%,Medium,3.47252
209,217,Contains Duplicate,59.0%,Easy,7.03097
210,218,The Skyline Problem,37.8%,Hard,49.4022
211,219,Contains Duplicate II,40.1%,Easy,8.20739
212,220,Contains Duplicate III,21.5%,Medium,7.56908
213,221,Maximal Square,41.3%,Medium,58.0606
214,222,Count Complete Tree Nodes,53.3%,Medium,4.10844
215,223,Rectangle Area,39.4%,Medium,43.4107
216,224,Basic Calculator,39.5%,Hard,50.7423
217,225,Implement Stack using Queues,50.4%,Easy,20.2031
218,226,Invert Binary Tree,69.8%,Easy,16.2193
219,227,Basic Calculator II,40.0%,Medium,44.7939
220,228,Summary Ranges,44.1%,Easy,19.2434
221,229,Majority Element II,40.7%,Medium,25.4207
222,230,Kth Smallest Element in a BST,65.1%,Medium,25.5076
223,231,Power of Two,44.0%,Easy,10.0472
224,232,Implement Queue using Stacks,55.3%,Easy,25.6422
225,233,Number of Digit One,32.6%,Hard,17.581
226,234,Palindrome Linked List,44.6%,Easy,40.1025
227,235,Lowest Common Ancestor of a Binary Search Tree,54.9%,Easy,35.4225
228,236,Lowest Common Ancestor of a Binary Tree,52.7%,Medium,59.3033
229,237,Delete Node in a Linked List,70.0%,Easy,8.25563
230,238,Product of Array Except Self,62.7%,Medium,63.2992
231,239,Sliding Window Maximum,45.7%,Hard,67.1326
232,240,Search a 2D Matrix II,46.9%,Medium,71.7475
233,241,Different Ways to Add Parentheses,59.7%,Medium,9.64491
234,242,Valid Anagram,60.2%,Easy,19.3781
235,243,Shortest Word Distance,63.4%,Easy,15.169
236,244,Shortest Word Distance II,57.4%,Medium,4.24762
237,249,Group Shifted Strings,60.8%,Medium,0.995207
238,252,Meeting Rooms,56.2%,Easy,28.568
239,253,Meeting Rooms II,48.4%,Medium,70.9215
240,256,Paint House,56.7%,Medium,4.94969
241,257,Binary Tree Paths,56.6%,Easy,20.0787
242,258,Add Digits,59.8%,Easy,5.93674
243,260,Single Number III,65.9%,Medium,12.8958
244,261,Graph Valid Tree,44.7%,Medium,22.0485
245,262,Trips and Users,37.0%,Hard,19.9904
246,264,Ugly Number II,44.2%,Medium,8.9961
247,266,Palindrome Permutation,64.1%,Easy,10.7637
248,268,Missing Number,57.6%,Easy,30.3539
249,269,Alien Dictionary,34.3%,Hard,61.5343
250,270,Closest Binary Search Tree Value,52.3%,Easy,25.2973
251,272,Closest Binary Search Tree Value II,54.7%,Hard,7.27934
252,273,Integer to English Words,29.0%,Hard,77.4748
253,274,H-Index,37.0%,Medium,14.9446
254,277,Find the Celebrity,45.4%,Medium,51.1426
255,278,First Bad Version,39.9%,Easy,1.72139
256,279,Perfect Squares,51.1%,Medium,14.0113
257,281,Zigzag Iterator,60.5%,Medium,34.0687
258,282,Expression Add Operators,38.7%,Hard,3.19212
259,283,Move Zeroes,59.6%,Easy,17.3163
260,284,Peeking Iterator,52.4%,Medium,32.8978
261,285,Inorder Successor in BST,45.3%,Medium,30.6191
