,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,0.494247
1,3,Longest Substring Without Repeating Characters,32.4%,Medium,0.997154
2,4,Median of Two Sorted Arrays,32.9%,Hard,1.58493
3,7,Reverse Integer,26.2%,Medium,13.7628
4,15,3Sum,29.8%,Medium,0.301508
5,20,Valid Parentheses,40.5%,Easy,0.790674
6,100,Same Tree,54.9%,Easy,5.49812
7,125,Valid Palindrome,39.9%,Easy,4.86709
8,239,Sliding Window Maximum,45.7%,Hard,1.31294
9,242,Valid Anagram,60.2%,Easy,1.61269
10,560,Subarray Sum Equals K,43.7%,Medium,3.2016
11,1201,Ugly Number III,27.3%,Medium,100
12,1224,Maximum Equal Frequency,36.2%,Hard,0
13,1239,Maximum Length of a Concatenated String with Unique Characters,50.6%,Medium,10.2573
14,1402,Reducing Dishes,72.4%,Hard,23.7401
15,1466,Reorder Routes to Make All Paths Lead to the City Zero,61.5%,Medium,54.8528
16,1531,String Compression II,36.4%,Hard,85.9655
17,1521,Find a Value of a Mysterious Function Closest to Target,43.7%,Hard,0
18,1647,Minimum Deletions to Make Character Frequencies Unique,55.9%,Medium,4.95866
19,1775,Equal Sum Arrays With Minimum Number of Operations,50.9%,Medium,0
