,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,100
1,2,Add Two Numbers,37.2%,Medium,83.5962
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,35.3833
3,4,Median of Two Sorted Arrays,32.9%,Hard,70.3167
4,5,Longest Palindromic Substring,31.4%,Medium,45.7154
5,6,Zigzag Conversion,40.0%,Medium,8.15399
6,7,Reverse Integer,26.2%,Medium,52.5441
7,8,String to Integer (atoi),16.1%,Medium,47.2206
8,9,Palindrome Number,51.6%,Easy,8.73078
9,10,Regular Expression Matching,28.0%,Hard,29.7433
10,11,Container With Most Water,53.2%,Medium,12.544
11,12,Integer to Roman,58.4%,Medium,22.0804
12,13,Roman to Integer,57.7%,Easy,21.8577
13,14,Longest Common Prefix,38.1%,Easy,29.4074
14,15,3Sum,29.8%,Medium,44.423
15,16,3Sum Closest,46.9%,Medium,17.1807
16,17,Letter Combinations of a Phone Number,51.9%,Medium,29.0378
17,18,4Sum,36.7%,Medium,13.4823
18,19,Remove Nth Node From End of List,37.1%,Medium,5.30588
19,20,Valid Parentheses,40.5%,Easy,33.3847
20,21,Merge Two Sorted Lists,58.3%,Easy,26.2689
21,22,Generate Parentheses,68.3%,Medium,18.6618
22,23,Merge k Sorted Lists,45.0%,Hard,40.0592
23,24,Swap Nodes in Pairs,55.9%,Medium,10.9336
24,25,Reverse Nodes in k-Group,48.7%,Hard,14.525
25,26,Remove Duplicates from Sorted Array,47.7%,Easy,6.4165
26,27,Remove Element,50.4%,Easy,1.0796
27,28,Implement strStr(),35.7%,Easy,10.9502
28,29,Divide Two Integers,17.0%,Medium,7.64564
29,30,Substring with Concatenation of All Words,27.3%,Hard,10.4775
30,31,Next Permutation,34.7%,Medium,26.0528
31,32,Longest Valid Parentheses,30.7%,Hard,17.9361
32,33,Search in Rotated Sorted Array,37.0%,Medium,27.7413
33,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,9.93337
34,35,Search Insert Position,42.5%,Easy,2.07399
35,36,Valid Sudoku,53.4%,Medium,27.4328
36,37,Sudoku Solver,51.5%,Hard,14.6445
37,38,Count and Say,47.6%,Medium,24.0621
38,39,Combination Sum,62.5%,Medium,16.2239
39,40,Combination Sum II,51.5%,Medium,1.12151
40,41,First Missing Positive,35.2%,Hard,19.3508
41,42,Trapping Rain Water,54.2%,Hard,63.6921
42,43,Multiply Strings,36.2%,Medium,12.4928
43,44,Wildcard Matching,26.1%,Hard,12.3239
44,45,Jump Game II,35.1%,Medium,12.8833
45,46,Permutations,69.9%,Medium,29.1075
46,47,Permutations II,52.1%,Medium,3.48977
47,48,Rotate Image,64.0%,Medium,31.2854
48,49,Group Anagrams,62.3%,Medium,39.9946
49,50,"Pow(x, n)",31.6%,Medium,8.64347
50,51,N-Queens,54.6%,Hard,18.0443
51,53,Maximum Subarray,48.9%,Easy,55.4786
52,54,Spiral Matrix,39.3%,Medium,79.4493
53,55,Jump Game,36.8%,Medium,4.52786
54,56,Merge Intervals,43.2%,Medium,48.2054
55,57,Insert Interval,36.6%,Medium,10.8857
56,59,Spiral Matrix II,60.4%,Medium,14.7379
57,60,Permutation Sequence,40.9%,Hard,1.66885
58,61,Rotate List,33.0%,Medium,7.38866
59,62,Unique Paths,58.1%,Medium,11.7663
60,63,Unique Paths II,36.6%,Medium,2.40554
61,64,Minimum Path Sum,58.1%,Medium,8.08668
62,66,Plus One,42.1%,Easy,2.54575
63,67,Add Binary,48.9%,Easy,4.96289
64,68,Text Justification,32.9%,Hard,11.4995
65,69,Sqrt(x),36.0%,Easy,9.46288
66,70,Climbing Stairs,50.0%,Easy,7.17104
67,72,Edit Distance,49.2%,Hard,14.8976
68,73,Set Matrix Zeroes,46.7%,Medium,6.00351
69,74,Search a 2D Matrix,40.7%,Medium,8.03654
70,75,Sort Colors,52.8%,Medium,5.52116
71,76,Minimum Window Substring,37.9%,Hard,19.4416
72,77,Combinations,61.1%,Medium,6.90082
73,78,Subsets,68.4%,Medium,6.96823
74,79,Word Search,38.9%,Medium,9.72244
75,80,Remove Duplicates from Sorted Array II,47.8%,Medium,1.00256
76,81,Search in Rotated Sorted Array II,34.2%,Medium,1.17351
77,82,Remove Duplicates from Sorted List II,41.2%,Medium,1.72824
78,83,Remove Duplicates from Sorted List,47.8%,Easy,5.13358
79,84,Largest Rectangle in Histogram,39.0%,Hard,5.20691
80,85,Maximal Rectangle,40.9%,Hard,15.1793
81,86,Partition List,46.6%,Medium,14.592
82,87,Scramble String,35.2%,Hard,14.3853
83,88,Merge Sorted Array,42.2%,Easy,15.1835
84,90,Subsets II,51.5%,Medium,3.34345
85,91,Decode Ways,28.9%,Medium,9.52457
86,92,Reverse Linked List II,42.5%,Medium,20.7669
87,93,Restore IP Addresses,39.9%,Medium,11.7275
88,94,Binary Tree Inorder Traversal,68.8%,Easy,1.67798
89,95,Unique Binary Search Trees II,47.3%,Medium,7.91023
90,96,Unique Binary Search Trees,56.4%,Medium,0.926171
91,97,Interleaving String,34.1%,Medium,45.6692
92,98,Validate Binary Search Tree,29.7%,Medium,6.47276
93,99,Recover Binary Search Tree,44.8%,Medium,2.20742
94,100,Same Tree,54.9%,Easy,3.99031
95,101,Symmetric Tree,50.2%,Easy,9.61536
96,102,Binary Tree Level Order Traversal,59.2%,Medium,14.588
97,103,Binary Tree Zigzag Level Order Traversal,52.1%,Medium,13.6107
98,104,Maximum Depth of Binary Tree,70.1%,Easy,7.95233
