,#,Title,Acceptance,Difficulty,FrequencyFrequency of problems that appear in real interviews,Frequency
0,1,Two Sum,47.8%,Easy,,1.2414
1,2,Add Two Numbers,37.2%,Medium,,8.52923
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,,5.53068
3,4,Median of Two Sorted Arrays,32.9%,Hard,,1.76751
4,6,Zigzag Conversion,40.0%,Medium,,1.04696
5,7,Reverse Integer,26.2%,Medium,,0.156997
6,8,String to Integer (atoi),16.1%,Medium,,0.627585
7,9,Palindrome Number,51.6%,Easy,,0.416154
8,11,Container With Most Water,53.2%,Medium,,0.333824
9,12,Integer to Roman,58.4%,Medium,,0.472875
10,13,Roman to Integer,57.7%,Easy,,0.615575
11,14,Longest Common Prefix,38.1%,Easy,,1.91187
12,15,3Sum,29.8%,Medium,,0.758759
13,17,Letter Combinations of a Phone Number,51.9%,Medium,,0.532833
14,20,Valid Parentheses,40.5%,Easy,,1.98008
15,21,Merge Two Sorted Lists,58.3%,Easy,,1.25834
16,22,Generate Parentheses,68.3%,Medium,,1.58524
17,23,Merge k Sorted Lists,45.0%,Hard,,0.967063
18,25,Reverse Nodes in k-Group,48.7%,Hard,,0.564751
19,28,Implement strStr(),35.7%,Easy,,0.52692
20,31,Next Permutation,34.7%,Medium,,1.02211
21,32,Longest Valid Parentheses,30.7%,Hard,,0.59853
22,33,Search in Rotated Sorted Array,37.0%,Medium,,2.46316
23,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,,0.77401
24,35,Search Insert Position,42.5%,Easy,,0.246509
25,37,Sudoku Solver,51.5%,Hard,,0.91364
26,38,Count and Say,47.6%,Medium,,2.65748
27,42,Trapping Rain Water,54.2%,Hard,,1.32773
28,44,Wildcard Matching,26.1%,Hard,,3.9126
29,45,Jump Game II,35.1%,Medium,,0.283219
30,46,Permutations,69.9%,Medium,,0.948726
31,48,Rotate Image,64.0%,Medium,,1.05237
32,49,Group Anagrams,62.3%,Medium,,0.872383
33,50,"Pow(x, n)",31.6%,Medium,,0.571199
34,51,N-Queens,54.6%,Hard,,1.03681
