,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,1.24813
1,15,3Sum,29.8%,Medium,1.35265
2,20,Valid Parentheses,40.5%,Easy,2.96104
3,32,Longest Valid Parentheses,30.7%,Hard,16.9088
4,39,Combination Sum,62.5%,Medium,1.11222
5,42,Trapping Rain Water,54.2%,Hard,6.31806
6,44,Wildcard Matching,26.1%,Hard,6.08732
7,46,Permutations,69.9%,Medium,0.953874
8,49,Group Anagrams,62.3%,Medium,1.96393
9,53,Maximum Subarray,48.9%,Easy,0.702042
10,85,Maximal Rectangle,40.9%,Hard,5.86349
11,98,Validate Binary Search Tree,29.7%,Medium,0.676319
12,105,Construct Binary Tree from Preorder and Inorder Traversal,55.4%,Medium,6.96933
13,121,Best Time to Buy and Sell Stock,52.9%,Easy,7.0135
14,123,Best Time to Buy and Sell Stock III,42.2%,Hard,1.2488
15,126,Word Ladder II,25.8%,Hard,1.59561
16,127,Word Ladder,33.7%,Hard,3.16209
17,138,Copy List with Random Pointer,44.5%,Medium,4.00988
18,146,LRU Cache,38.3%,Medium,6.32937
19,150,Evaluate Reverse Polish Notation,40.7%,Medium,3.43635
20,151,Reverse Words in a String,26.8%,Medium,1.07788
21,188,Best Time to Buy and Sell Stock IV,31.8%,Hard,15.7004
22,198,House Robber,45.0%,Medium,0.179721
23,200,Number of Islands,52.0%,Medium,5.74681
24,208,Implement Trie (Prefix Tree),55.8%,Medium,0.507034
25,212,Word Search II,38.4%,Hard,0.262102
26,221,Maximal Square,41.3%,Medium,16.9145
27,225,Implement Stack using Queues,50.4%,Easy,1.11071
28,230,Kth Smallest Element in a BST,65.1%,Medium,0.424301
29,232,Implement Queue using Stacks,55.3%,Easy,0.52891
30,238,Product of Array Except Self,62.7%,Medium,0.20702
31,239,Sliding Window Maximum,45.7%,Hard,29.2817
32,240,Search a 2D Matrix II,46.9%,Medium,6.75814
33,241,Different Ways to Add Parentheses,59.7%,Medium,41.2824
34,253,Meeting Rooms II,48.4%,Medium,0.375448
35,259,3Sum Smaller,49.9%,Medium,79.608
36,264,Ugly Number II,44.2%,Medium,4.18872
37,282,Expression Add Operators,38.7%,Hard,11.1001
38,285,Inorder Successor in BST,45.3%,Medium,19.2038
39,295,Find Median from Data Stream,49.5%,Hard,6.94211
40,297,Serialize and Deserialize Binary Tree,52.1%,Hard,7.87788
41,301,Remove Invalid Parentheses,45.9%,Hard,0.910749
42,322,Coin Change,39.0%,Medium,0.917562
43,332,Reconstruct Itinerary,39.4%,Hard,3.47301
44,340,Longest Substring with At Most K Distinct Characters,46.7%,Medium,0.983146
45,343,Integer Break,52.6%,Medium,24.1613
46,359,Logger Rate Limiter,74.0%,Easy,0.87429
47,362,Design Hit Counter,66.5%,Medium,2.13512
48,370,Range Addition,66.5%,Medium,80.4515
49,380,Insert Delete GetRandom O(1),50.7%,Medium,0.885443
50,460,LFU Cache,38.3%,Hard,7.51809
51,518,Coin Change 2,55.1%,Medium,0.798793
52,560,Subarray Sum Equals K,43.7%,Medium,0.508724
53,588,Design In-Memory File System,47.4%,Hard,3.1688
54,628,Maximum Product of Three Numbers,46.7%,Easy,5.00331
55,647,Palindromic Substrings,63.7%,Medium,19.111
56,718,Maximum Length of Repeated Subarray,51.2%,Medium,0
57,724,Find Pivot Index,49.2%,Easy,6.59791
58,752,Open the Lock,55.0%,Medium,13.8293
59,772,Basic Calculator III,46.2%,Hard,3.28989
60,706,Design HashMap,63.8%,Easy,0.706746
61,829,Consecutive Numbers Sum,40.2%,Hard,100
62,622,Design Circular Queue,48.1%,Medium,14.2628
63,489,Robot Room Cleaner,74.6%,Hard,2.15051
64,867,Transpose Matrix,61.4%,Easy,2.39305
65,887,Super Egg Drop,26.9%,Hard,3.70972
66,935,Knight Dialer,48.1%,Medium,6.23536
67,1010,Pairs of Songs With Total Durations Divisible by 60,51.9%,Medium,32.8292
68,1048,Longest String Chain,57.0%,Medium,60.0594
69,1091,Shortest Path in Binary Matrix,41.3%,Medium,3.3812
70,1248,Count Number of Nice Subarrays,57.5%,Medium,13.7829
71,1395,Count Number of Teams,70.8%,Medium,2.48606
72,1515,Best Position for a Service Centre,39.7%,Hard,0
