,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,6.59585
1,15,3Sum,29.8%,Medium,0.803376
2,33,Search in Rotated Sorted Array,37.0%,Medium,2.3033
3,121,Best Time to Buy and Sell Stock,52.9%,Easy,1.3175
4,134,Gas Station,43.2%,Medium,2.10969
5,146,LRU Cache,38.3%,Medium,1.38239
6,151,Reverse Words in a String,26.8%,Medium,2.54915
7,206,Reverse Linked List,68.3%,Easy,4.28454
8,232,Implement Queue using Stacks,55.3%,Easy,4.96835
9,253,Meeting Rooms II,48.4%,Medium,5.50128
10,300,Longest Increasing Subsequence,47.3%,Medium,2.69121
11,355,Design Twitter,33.4%,Medium,11.2064
12,394,Decode String,54.6%,Medium,4.73188
13,443,String Compression,46.2%,Medium,58.5484
14,526,Beautiful Arrangement,63.4%,Medium,58.5157
15,532,K-diff Pairs in an Array,36.9%,Medium,44.9119
16,761,Special Binary String,59.5%,Hard,100
17,829,Consecutive Numbers Sum,40.2%,Hard,81.0721
18,1010,Pairs of Songs With Total Durations Divisible by 60,51.9%,Medium,54.4048
19,1046,Last Stone Weight,62.7%,Easy,9.53066
20,1202,Smallest String With Swaps,51.0%,Medium,7.431
21,1223,Dice Roll Simulation,47.5%,Hard,38.154
22,1290,Convert Binary Number in a Linked List to Integer,81.8%,Easy,11.3233
23,1334,Find the City With the Smallest Number of Neighbors at a Threshold Distance,50.0%,Medium,43.493
24,1347,Minimum Number of Steps to Make Two Strings Anagram,75.4%,Medium,30.2512
25,1353,Maximum Number of Events That Can Be Attended,32.1%,Medium,41.7532
26,1383,Maximum Performance of a Team,41.4%,Hard,66.3165
27,1529,Bulb Switcher IV,72.5%,Medium,72.1074
28,1992,Find All Groups of Farmland,65.2%,Medium,0
