,#,Title,Acceptance,Difficulty,Frequency
0,300,Longest Increasing Subsequence,47.3%,Medium,0.107941
1,312,Burst Balloons,54.8%,Hard,60.2293
2,368,Largest Divisible Subset,39.1%,Medium,7.55337
3,402,Remove K Digits,28.9%,Medium,14.9094
4,844,Backspace String Compare,47.4%,Easy,2.03087
5,996,Number of Squareful Arrays,49.0%,Hard,4.65385
6,1330,Reverse Subarray To Maximize Array Value,38.0%,Hard,18.9051
7,1960,Maximum Product of the Length of Two Palindromic Substrings,27.4%,Hard,0
8,1223,Dice Roll Simulation,47.5%,Hard,6.09793
9,1310,XOR Queries of a Subarray,70.7%,Medium,5.64098
10,1617,Count Subtrees With Max Distance Between Cities,64.5%,Hard,0
11,1682,Longest Palindromic Subsequence II,51.1%,Medium,0
12,1739,Building Boxes,50.8%,Hard,100
13,2003,Smallest Missing Genetic Value in Each Subtree,40.7%,Hard,58.6758
