,#,Title,Acceptance,Difficulty,Frequency
0,2,Add Two Numbers,37.2%,Medium,9.93251
1,3,Longest Substring Without Repeating Characters,32.4%,Medium,5.43721
2,42,Trapping Rain Water,54.2%,Hard,12.1373
3,56,Merge Intervals,43.2%,Medium,10.8879
4,78,Subsets,68.4%,Medium,0
5,79,Word Search,38.9%,Medium,3.86759
6,97,Interleaving String,34.1%,Medium,8.80763
7,114,Flatten Binary Tree to Linked List,55.7%,Medium,13.8531
8,139,Word Break,43.3%,Medium,1.4702
9,155,Min Stack,48.8%,Easy,2.20021
10,163,Missing Ranges,29.8%,Easy,8.73434
11,227,Basic Calculator II,40.0%,Medium,19.5705
12,261,Graph Valid Tree,44.7%,Medium,13.4684
13,270,Closest Binary Search Tree Value,52.3%,Easy,8.20107
14,300,Longest Increasing Subsequence,47.3%,Medium,1.80779
15,340,Longest Substring with At Most K Distinct Characters,46.7%,Medium,0
16,394,Decode String,54.6%,Medium,12.666
17,560,Subarray Sum Equals K,43.7%,Medium,3.22043
18,715,Range Module,42.5%,Hard,0
19,724,Find Pivot Index,49.2%,Easy,0
20,759,Employee Free Time,70.2%,Hard,24.9814
21,776,Split BST,57.8%,Medium,0
22,792,Number of Matching Subsequences,49.7%,Medium,7.98841
23,886,Possible Bipartition,46.4%,Medium,68.2659
24,1004,Max Consecutive Ones III,61.6%,Medium,5.14947
25,1254,Number of Closed Islands,62.7%,Medium,56.7154
26,1296,Divide Array in Sets of K Consecutive Numbers,56.0%,Medium,100
