,#,Title,Acceptance,Difficulty,Frequency
0,10,Regular Expression Matching,28.0%,Hard,55.3089
1,44,Wildcard Matching,26.1%,Hard,7.61088
2,68,Text Justification,32.9%,Hard,55.7528
3,453,Minimum Moves to Equal Array Elements,52.7%,Medium,46.8726
4,761,Special Binary String,59.5%,Hard,72.0139
5,780,Reaching Points,30.8%,Hard,18.8866
6,920,Number of Music Playlists,48.7%,Hard,100
7,945,Minimum Increment to Make Array Unique,48.0%,Medium,0
8,1112,Highest Grade For Each Student,73.0%,Medium,4.81802
9,1137,N-th Tribonacci Number,60.6%,Easy,0
10,1366,Rank Teams by Votes,58.2%,Medium,12.4216
