,#,Title,Acceptance,Difficulty,Frequency
0,23,Merge k Sorted Lists,45.0%,Hard,8.01575
1,36,Valid Sudoku,53.4%,Medium,2.01988
2,63,Unique Paths II,36.6%,Medium,15.0139
3,79,Word Search,38.9%,Medium,5.06894
4,146,LRU Cache,38.3%,Medium,80.2612
5,200,Number of Islands,52.0%,Medium,30.2363
6,304,Range Sum Query 2D - Immutable,45.4%,Medium,7.45487
7,311,Sparse Matrix Multiplication,65.0%,Medium,23.7145
8,695,Max Area of Island,68.0%,Medium,3.79032
9,528,Random Pick with Weight,45.6%,Medium,2.52142
10,980,Unique Paths III,77.6%,Hard,55.2487
11,1094,Car Pooling,59.5%,Medium,7.39643
12,1258,Synonymous Sentences,57.5%,Medium,100
