,#,Title,Acceptance,Difficulty,Frequency
0,72,Edit Distance,49.2%,Hard,2.12673
1,91,Decode Ways,28.9%,Medium,1.26476
2,116,Populating Next Right Pointers in Each Node,53.1%,Medium,1.08881
3,124,Binary Tree Maximum Path Sum,36.8%,Hard,1.00781
4,133,Clone Graph,43.4%,Medium,2.82736
5,146,LRU Cache,38.3%,Medium,5.2719
6,243,Shortest Word Distance,63.4%,Easy,5.14603
7,348,Design Tic-Tac-Toe,56.7%,Medium,5.5132
8,364,Nested List Weight Sum II,66.1%,Medium,79.2162
9,402,Remove K Digits,28.9%,Medium,11.2967
10,460,LFU Cache,38.3%,Hard,13.9964
11,863,All Nodes Distance K in Binary Tree,59.8%,Medium,9.11527
12,1239,Maximum Length of a Concatenated String with Unique Characters,50.6%,Medium,100
13,1293,Shortest Path in a Grid with Obstacles Elimination,44.0%,Hard,12.2896
14,1374,Generate a String With Characters That Have Odd Counts,77.2%,Easy,46.6063
