,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,26.0523
1,2,Add Two Numbers,37.2%,Medium,3.08175
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,17.5395
3,5,Longest Palindromic Substring,31.4%,Medium,19.6351
4,6,Zigzag Conversion,40.0%,Medium,5.24027
5,7,Reverse Integer,26.2%,Medium,5.90489
6,8,String to Integer (atoi),16.1%,Medium,10.3475
7,10,Regular Expression Matching,28.0%,Hard,10.5758
8,13,Roman to Integer,57.7%,Easy,1.2185
9,14,Longest Common Prefix,38.1%,Easy,2.42581
10,15,3Sum,29.8%,Medium,11.364
11,17,Letter Combinations of a Phone Number,51.9%,Medium,18.0698
12,20,Valid Parentheses,40.5%,Easy,14.3881
13,21,Merge Two Sorted Lists,58.3%,Easy,3.23944
14,23,Merge k Sorted Lists,45.0%,Hard,41.4251
15,24,Swap Nodes in Pairs,55.9%,Medium,2.87413
16,25,Reverse Nodes in k-Group,48.7%,Hard,13.846
17,26,Remove Duplicates from Sorted Array,47.7%,Easy,0.605846
18,31,Next Permutation,34.7%,Medium,2.9014
19,33,Search in Rotated Sorted Array,37.0%,Medium,12.1065
20,39,Combination Sum,62.5%,Medium,14.1648
21,40,Combination Sum II,51.5%,Medium,4.11989
22,41,First Missing Positive,35.2%,Hard,6.54312
23,42,Trapping Rain Water,54.2%,Hard,7.97319
24,44,Wildcard Matching,26.1%,Hard,7.68201
25,45,Jump Game II,35.1%,Medium,2.2311
26,46,Permutations,69.9%,Medium,20.304
27,48,Rotate Image,64.0%,Medium,4.05
28,49,Group Anagrams,62.3%,Medium,37.8513
29,50,"Pow(x, n)",31.6%,Medium,13.0247
30,51,N-Queens,54.6%,Hard,19.7058
31,53,Maximum Subarray,48.9%,Easy,10.4879
32,54,Spiral Matrix,39.3%,Medium,33.9076
33,56,Merge Intervals,43.2%,Medium,16.8136
34,62,Unique Paths,58.1%,Medium,1.39769
35,64,Minimum Path Sum,58.1%,Medium,0.586538
36,66,Plus One,42.1%,Easy,2.39665
37,68,Text Justification,32.9%,Hard,4.58653
38,70,Climbing Stairs,50.0%,Easy,2.01473
39,73,Set Matrix Zeroes,46.7%,Medium,1.09179
40,74,Search a 2D Matrix,40.7%,Medium,2.92459
41,75,Sort Colors,52.8%,Medium,5.81569
42,76,Minimum Window Substring,37.9%,Hard,2.02535
43,78,Subsets,68.4%,Medium,6.08205
44,79,Word Search,38.9%,Medium,3.05909
45,83,Remove Duplicates from Sorted List,47.8%,Easy,0.358214
46,84,Largest Rectangle in Histogram,39.0%,Hard,7.18795
47,97,Interleaving String,34.1%,Medium,3.92031
48,98,Validate Binary Search Tree,29.7%,Medium,0.853494
49,101,Symmetric Tree,50.2%,Easy,0.625659
50,102,Binary Tree Level Order Traversal,59.2%,Medium,3.08466
51,103,Binary Tree Zigzag Level Order Traversal,52.1%,Medium,42.4952
52,114,Flatten Binary Tree to Linked List,55.7%,Medium,6.13943
53,121,Best Time to Buy and Sell Stock,52.9%,Easy,7.921
54,122,Best Time to Buy and Sell Stock II,60.4%,Medium,1.20781
55,125,Valid Palindrome,39.9%,Easy,4.3922
56,127,Word Ladder,33.7%,Hard,12.54
57,129,Sum Root to Leaf Numbers,53.8%,Medium,2.20482
58,130,Surrounded Regions,31.7%,Medium,8.60543
59,138,Copy List with Random Pointer,44.5%,Medium,56.3638
60,139,Word Break,43.3%,Medium,24.2689
61,140,Word Break II,39.2%,Hard,10.4616
62,141,Linked List Cycle,44.3%,Easy,7.52606
63,143,Reorder List,44.0%,Medium,7.1375
64,146,LRU Cache,38.3%,Medium,100
65,153,Find Minimum in Rotated Sorted Array,47.4%,Medium,7.62766
66,155,Min Stack,48.8%,Easy,2.37169
67,160,Intersection of Two Linked Lists,47.5%,Easy,2.60276
68,176,Second Highest Salary,34.7%,Medium,4.02319
69,179,Largest Number,32.0%,Medium,9.23549
70,185,Department Top Three Salaries,43.9%,Hard,6.73963
71,189,Rotate Array,37.2%,Medium,2.35467
72,198,House Robber,45.0%,Medium,3.58586
73,199,Binary Tree Right Side View,58.2%,Medium,23.1324
74,200,Number of Islands,52.0%,Medium,33.3955
75,202,Happy Number,52.2%,Easy,2.5423
76,205,Isomorphic Strings,41.6%,Easy,10.2356
77,206,Reverse Linked List,68.3%,Easy,12.437
78,207,Course Schedule,44.7%,Medium,4.33895
79,208,Implement Trie (Prefix Tree),55.8%,Medium,4.48838
80,210,Course Schedule II,44.9%,Medium,2.83172
81,211,Design Add and Search Words Data Structure,42.5%,Medium,9.53878
82,213,House Robber II,38.8%,Medium,13.1589
83,215,Kth Largest Element in an Array,61.4%,Medium,16.9463
84,221,Maximal Square,41.3%,Medium,25.4458
85,224,Basic Calculator,39.5%,Hard,30.4552
86,226,Invert Binary Tree,69.8%,Easy,1.45236
87,227,Basic Calculator II,40.0%,Medium,9.78024
88,230,Kth Smallest Element in a BST,65.1%,Medium,2.12975
89,232,Implement Queue using Stacks,55.3%,Easy,12.9373
90,234,Palindrome Linked List,44.6%,Easy,2.30961
91,236,Lowest Common Ancestor of a Binary Tree,52.7%,Medium,10.8547
92,238,Product of Array Except Self,62.7%,Medium,5.19842
93,240,Search a 2D Matrix II,46.9%,Medium,8.52856
94,244,Shortest Word Distance II,57.4%,Medium,20.7081
95,250,Count Univalue Subtrees,54.2%,Medium,20.3534
96,252,Meeting Rooms,56.2%,Easy,2.66188
97,253,Meeting Rooms II,48.4%,Medium,34.0012
98,268,Missing Number,57.6%,Easy,1.41104
99,269,Alien Dictionary,34.3%,Hard,4.34074
100,278,First Bad Version,39.9%,Easy,1.47781
