,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,6.52172
1,3,Longest Substring Without Repeating Characters,32.4%,Medium,0.613466
2,20,Valid Parentheses,40.5%,Easy,24.8684
3,21,Merge Two Sorted Lists,58.3%,Easy,0.902582
4,33,Search in Rotated Sorted Array,37.0%,Medium,10.2846
5,36,Valid Sudoku,53.4%,Medium,0.297726
6,38,Count and Say,47.6%,Medium,1.15734
7,42,Trapping Rain Water,54.2%,Hard,1.46672
8,49,Group Anagrams,62.3%,Medium,2.3271
9,53,Maximum Subarray,48.9%,Easy,2.12209
10,54,Spiral Matrix,39.3%,Medium,1.43995
11,56,Merge Intervals,43.2%,Medium,1.50842
12,63,Unique Paths II,36.6%,Medium,0.254838
13,70,Climbing Stairs,50.0%,Easy,3.65097
14,73,Set Matrix Zeroes,46.7%,Medium,14.3649
15,75,Sort Colors,52.8%,Medium,0.352502
16,79,Word Search,38.9%,Medium,0.412862
17,98,Validate Binary Search Tree,29.7%,Medium,0.456958
18,114,Flatten Binary Tree to Linked List,55.7%,Medium,0.238715
19,121,Best Time to Buy and Sell Stock,52.9%,Easy,8.50692
20,122,Best Time to Buy and Sell Stock II,60.4%,Medium,0.927831
21,127,Word Ladder,33.7%,Hard,6.29654
22,143,Reorder List,44.0%,Medium,1.10413
23,146,LRU Cache,38.3%,Medium,6.73103
24,151,Reverse Words in a String,26.8%,Medium,1.49667
25,198,House Robber,45.0%,Medium,2.30126
26,200,Number of Islands,52.0%,Medium,13.006
27,206,Reverse Linked List,68.3%,Easy,0.308048
28,215,Kth Largest Element in an Array,61.4%,Medium,0.599776
29,216,Combination Sum III,62.6%,Medium,0.674555
30,238,Product of Array Except Self,62.7%,Medium,2.19347
31,239,Sliding Window Maximum,45.7%,Hard,0.160367
32,253,Meeting Rooms II,48.4%,Medium,1.95554
33,295,Find Median from Data Stream,49.5%,Hard,11.0485
34,332,Reconstruct Itinerary,39.4%,Hard,10.3639
35,416,Partition Equal Subset Sum,45.7%,Medium,0.632303
36,423,Reconstruct Original Digits from English,51.5%,Medium,1.18764
37,438,Find All Anagrams in a String,46.5%,Medium,0.922084
38,443,String Compression,46.2%,Medium,31.1753
39,532,K-diff Pairs in an Array,36.9%,Medium,1.61924
40,611,Valid Triangle Number,49.2%,Medium,0
41,647,Palindromic Substrings,63.7%,Medium,5.69471
42,692,Top K Frequent Words,53.9%,Medium,5.5799
43,694,Number of Distinct Islands,59.0%,Medium,4.46391
44,695,Max Area of Island,68.0%,Medium,0.636476
45,697,Degree of an Array,55.2%,Easy,4.74213
46,724,Find Pivot Index,49.2%,Easy,4.96979
47,739,Daily Temperatures,66.1%,Medium,1.8944
48,426,Convert Binary Search Tree to Sorted Doubly Linked List,63.3%,Medium,1.17167
49,787,Cheapest Flights Within K Stops,36.8%,Medium,3.03591
50,706,Design HashMap,63.8%,Easy,0.68609
51,528,Random Pick with Weight,45.6%,Medium,1.80927
52,973,K Closest Points to Origin,65.7%,Medium,5.61217
53,974,Subarray Sums Divisible by K,52.4%,Medium,24.2307
54,1008,Construct Binary Search Tree from Preorder Traversal,79.8%,Medium,0.486933
55,1101,The Earliest Moment When Everyone Become Friends,64.3%,Medium,0
56,1151,Minimum Swaps to Group All 1's Together,59.0%,Medium,0
57,1041,Robot Bounded In Circle,54.5%,Medium,0.342334
58,1197,Minimum Knight Moves,39.1%,Medium,78.6574
59,1328,Break a Palindrome,52.2%,Medium,0
60,1507,Reformat Date,60.9%,Easy,100
61,1283,Find the Smallest Divisor Given a Threshold,52.0%,Medium,12.0492
62,1451,Rearrange Words in a Sentence,61.3%,Medium,0
63,1465,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,36.9%,Medium,69.9169
64,1492,The kth Factor of n,62.4%,Medium,52.5179
65,1481,Least Number of Unique Integers after K Removals,58.6%,Medium,19.4402
66,1487,Making File Names Unique,33.4%,Medium,26.1027
67,1560,Most Visited Sector in a Circular Track,57.7%,Easy,0
68,1611,Minimum One Bit Operations to Make Integers Zero,61.6%,Hard,0
